﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211750000641彭玉蓮1-PV-3000N-V 1211750000641,1211750000636彭玉蓮2-PV-3000N-V 1211750000636,1211750000631彭玉蓮3-PV-3000N-V 1211750000631,11O1751002233彭玉蓮4-PV-5000W-HV 11O1751002233
2018-04-20,00:00:00,0,0,0,0
2018-04-20,00:20:00,0,0,0,0
2018-04-20,00:40:00,0,0,0,0
2018-04-20,01:00:00,0,0,0,0
2018-04-20,01:20:00,0,0,0,0
2018-04-20,01:40:00,0,0,0,0
2018-04-20,02:00:00,0,0,0,0
2018-04-20,02:20:00,0,0,0,0
2018-04-20,02:40:00,0,0,0,0
2018-04-20,03:00:00,0,0,0,0
2018-04-20,03:20:00,0,0,0,0
2018-04-20,03:40:00,0,0,0,0
2018-04-20,04:00:00,0,0,0,0
2018-04-20,04:20:00,0,0,0,0
2018-04-20,04:40:00,0,0,0,0
2018-04-20,05:00:00,0,0,0,0
2018-04-20,05:20:00,5.0E-5,5.0E-5,0,0
2018-04-20,05:40:00,0.0529,0.0547,0.04615,0.07335
2018-04-20,06:00:00,0.1404,0.15135,0.13975,0.2569
2018-04-20,06:20:00,0.2339,0.26405,0.23955,0.4353
2018-04-20,06:40:00,0.31195,0.34645,0.31625,0.5702
2018-04-20,07:00:00,0.55165,0.61255,0.5597,0.99695
2018-04-20,07:20:00,0.78655,0.87435,0.7973,1.4222
2018-04-20,07:40:00,1.0714,1.19095,1.08515,1.93655
2018-04-20,08:00:00,1.3724,1.5221,1.3941,2.4766
2018-04-20,08:20:00,1.22805,1.34305,1.2432,2.2101
2018-04-20,08:40:00,1.18815,1.30535,1.2031,2.152
2018-04-20,09:00:00,1.0444,1.14125,1.0502,1.8906
2018-04-20,09:20:00,1.50605,1.6454,1.51005,2.73285
2018-04-20,09:40:00,1.4644,1.59935,1.4677,2.6601
2018-04-20,10:00:00,2.0207,2.19545,2.01275,3.6678
2018-04-20,10:20:00,1.89255,2.05365,1.88705,3.43085
2018-04-20,10:40:00,1.35945,1.4563,1.34405,2.45125
2018-04-20,11:00:00,1.93955,2.10795,1.9399,3.50415
2018-04-20,11:20:00,2.24135,2.4278,2.24045,4.0354
2018-04-20,11:40:00,2.02475,2.1782,2.0187,3.63565
2018-04-20,12:00:00,1.42215,1.53315,1.41765,2.55805
2018-04-20,12:20:00,1.11905,1.21175,1.1182,2.01575
2018-04-20,12:40:00,1.1312,1.22445,1.1301,2.0391
2018-04-20,13:00:00,1.2089,1.30865,1.2078,2.1812
2018-04-20,13:20:00,1.49,1.6164,1.4894,2.69395
2018-04-20,13:40:00,2.19715,2.37615,2.19295,3.9682
2018-04-20,14:00:00,1.80355,1.94415,1.78755,3.25115
2018-04-20,14:20:00,1.4699,1.58645,1.4648,2.64845
2018-04-20,14:40:00,1.1119,1.20095,1.1096,2.0001
2018-04-20,15:00:00,0.7984,0.86055,0.79685,1.43205
2018-04-20,15:20:00,0.8572,0.92905,0.85945,1.54195
2018-04-20,15:40:00,0.7842,0.84895,0.78535,1.4077
2018-04-20,16:00:00,0.40465,0.43775,0.40595,0.724
2018-04-20,16:20:00,0.2793,0.3013,0.28015,0.50335
2018-04-20,16:40:00,0.27695,0.29855,0.27785,0.4993
2018-04-20,17:00:00,0.18255,0.1959,0.18285,0.33085
2018-04-20,17:20:00,0.0698,0.07375,0.06905,0.1324
2018-04-20,17:40:00,0.01465,0.0138,0.0128,0.04915
2018-04-20,18:00:00,0.0004,0.0002,0.00015,0.0194
2018-04-20,18:20:00,0,0,0,0.0127
2018-04-20,18:40:00,0,0,0,0.0127
2018-04-20,19:00:00,0,0,0,0.00415
2018-04-20,19:20:00,0,0,0,0
2018-04-20,19:40:00,0,0,0,0
2018-04-20,20:00:00,0,0,0,0
2018-04-20,20:20:00,0,0,0,0
2018-04-20,20:40:00,0,0,0,0
2018-04-20,21:00:00,0,0,0,0
2018-04-20,21:20:00,0,0,0,0
2018-04-20,21:40:00,0,0,0,0
2018-04-20,22:00:00,0,0,0,0
2018-04-20,22:20:00,0,0,0,0
2018-04-20,22:40:00,0,0,0,0
2018-04-20,23:00:00,0,0,0,0
2018-04-20,23:20:00,0,0,0,0
2018-04-20,23:40:00,0,0,0,0
