﻿﻿﻿﻿﻿﻿﻿inDate,inTime,60Y1448000430PV-10000T-U 60Y1448000430彰濱建泰,60Y1448000420PV-10000T-U 60Y1448000420彰濱建泰,60Y1448000360PV-10000T-U 60Y1448000360彰濱建泰
2017-12-13,00:00:00,0,0,0
2017-12-13,00:20:00,0,0,0
2017-12-13,00:40:00,0,0,0
2017-12-13,01:00:00,0,0,0
2017-12-13,01:20:00,0,0,0
2017-12-13,01:40:00,0,0,0
2017-12-13,02:00:00,0,0,0
2017-12-13,02:20:00,0,0,0
2017-12-13,02:40:00,0,0,0
2017-12-13,03:00:00,0,0,0
2017-12-13,03:20:00,0,0,0
2017-12-13,03:40:00,0,0,0
2017-12-13,04:00:00,0,0,0
2017-12-13,04:20:00,0,0,0
2017-12-13,04:40:00,0,0,0
2017-12-13,05:00:00,0,0,0
2017-12-13,05:20:00,0,0,0
2017-12-13,05:40:00,0,0,0
2017-12-13,06:00:00,0,0,0
2017-12-13,06:20:00,0,0,0
2017-12-13,06:40:00,0.1543,0.15355,0.205
2017-12-13,07:00:00,0.3773,0.3706,0.39705
2017-12-13,07:20:00,0.6024,0.59955,0.64275
2017-12-13,07:40:00,0.8528,0.8427,0.90015
2017-12-13,08:00:00,1.30565,1.29345,1.36625
2017-12-13,08:20:00,1.8378,1.8247,1.9147
2017-12-13,08:40:00,3.0666,3.05255,3.14815
2017-12-13,09:00:00,3.2489,3.24245,3.34095
2017-12-13,09:20:00,4.9534,4.9406,5.04025
2017-12-13,09:40:00,6.4091,6.417,6.43455
2017-12-13,10:00:00,5.55995,5.54085,5.60565
2017-12-13,10:20:00,5.6673,5.6574,5.7075
2017-12-13,10:40:00,4.24315,4.23955,4.32345
2017-12-13,11:00:00,3.94255,3.92215,4.03705
2017-12-13,11:20:00,4.26765,4.23835,4.3675
2017-12-13,11:40:00,3.6135,3.5828,3.7131
2017-12-13,12:00:00,4.4154,4.38835,4.51655
2017-12-13,12:20:00,2.6974,2.67105,2.7902
2017-12-13,12:40:00,2.5253,2.4988,2.61675
2017-12-13,13:00:00,3.1602,3.12915,3.26125
2017-12-13,13:20:00,3.15005,3.1223,3.25105
2017-12-13,13:40:00,3.2352,3.2116,3.3332
2017-12-13,14:00:00,1.97625,1.9582,2.05565
2017-12-13,14:20:00,1.9118,1.894,1.9889
2017-12-13,14:40:00,1.5747,1.56005,1.6423
2017-12-13,15:00:00,1.62535,1.6123,1.69295
2017-12-13,15:20:00,1.3615,1.3527,1.42255
2017-12-13,15:40:00,1.2575,1.24995,1.31265
2017-12-13,16:00:00,0.7232,0.7224,0.7692
2017-12-13,16:20:00,0.3627,0.35505,0.385
2017-12-13,16:40:00,0.16675,0.18925,0.1992
2017-12-13,17:00:00,0,0,0.0435
2017-12-13,17:20:00,0,0,0
2017-12-13,17:40:00,0,0,0
2017-12-13,18:00:00,0,0,0
2017-12-13,18:20:00,0,0,0
2017-12-13,18:40:00,0,0,0
2017-12-13,19:00:00,0,0,0
2017-12-13,19:20:00,0,0,0
2017-12-13,19:40:00,0,0,0
2017-12-13,20:00:00,0,0,0
2017-12-13,20:20:00,0,0,0
2017-12-13,20:40:00,0,0,0
2017-12-13,21:00:00,0,0,0
2017-12-13,21:20:00,0,0,0
2017-12-13,21:40:00,0,0,0
2017-12-13,22:00:00,0,0,0
2017-12-13,22:20:00,0,0,0
2017-12-13,22:40:00,0,0,0
2017-12-13,23:00:00,0,0,0
2017-12-13,23:20:00,0,0,0
2017-12-13,23:40:00,0,0,0
