﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11S1644000076PV-3000N-V 11S1644000076嘉美博#1,11S1634000040PV-3000N-V 11S1634000040PV-嘉美博#2,11S1644000068PV-3000N-V 11S1644000068嘉美博#3,11S1644000078PV-3000N-V 11S1644000078嘉美博#4,11H1652000819PV-5000W-HV 11H1652000819嘉美博#5,11H1643000704PV-5000W-HV 11H1643000704嘉美博#6,11H1652000821PV-5000W-HV 11H1652000821嘉美博#7,11I1545000025PV-5000W-HV 11I1545000025嘉美博#8,11H1652000825PV-5000W-HV 11H1652000825嘉美博#9
2018-04-08,00:00:00,0,0,0,0,0,0,0,0,0
2018-04-08,00:20:00,0,0,0,0,0,0,0,0,0
2018-04-08,00:40:00,0,0,0,0,0,0,0,0,0
2018-04-08,01:00:00,0,0,0,0,0,0,0,0,0
2018-04-08,01:20:00,0,0,0,0,0,0,0,0,0
2018-04-08,01:40:00,0,0,0,0,0,0,0,0,0
2018-04-08,02:00:00,0,0,0,0,0,0,0,0,0
2018-04-08,02:20:00,0,0,0,0,0,0,0,0,0
2018-04-08,02:40:00,0,0,0,0,0,0,0,0,0
2018-04-08,03:00:00,0,0,0,0,0,0,0,0,0
2018-04-08,03:20:00,0,0,0,0,0,0,0,0,0
2018-04-08,03:40:00,0,0,0,0,0,0,0,0,0
2018-04-08,04:00:00,0,0,0,0,0,0,0,0,0
2018-04-08,04:20:00,0,0,0,0,0,0,0,0,0
2018-04-08,04:40:00,0,0,0,0,0,0,0,0,0
2018-04-08,05:00:00,0,0,0,0,0,0,0,0,0
2018-04-08,05:20:00,0,0,0,0,0,0,0,0,0
2018-04-08,05:40:00,5.0E-5,0.00035,0.00185,0.0014,0,0,0.02,0.0102,0.02295
2018-04-08,06:00:00,0.0082,0.0201,0.0923,0.09235,0.07555,0.08795,0.0828,0.09775,0.11855
2018-04-08,06:20:00,0.04295,0.0545,0.19685,0.18145,0.28955,0.20955,0.1804,0.2039,0.20935
2018-04-08,06:40:00,0.11305,0.1216,0.40575,0.32155,0.51055,0.4309,0.36235,0.38885,0.3776
2018-04-08,07:00:00,0.2452,0.2445,0.8611,0.7538,1.04305,0.9681,0.858,0.8858,0.8293
2018-04-08,07:20:00,0.40775,0.38655,1.17265,1.0485,1.4926,1.44075,1.2671,1.30535,1.21435
2018-04-08,07:40:00,0.6208,0.579,1.42045,1.27825,1.9249,1.89295,1.66585,1.7157,1.59155
2018-04-08,08:00:00,0.83925,0.77335,1.6258,1.4725,2.31165,2.29875,2.02185,2.0857,1.9342
2018-04-08,08:20:00,1.04445,0.9637,1.76095,1.61985,2.6513,2.657,2.34515,2.4118,2.2407
2018-04-08,08:40:00,1.2446,1.14025,1.88785,1.7352,2.96165,2.9749,2.624,2.688,2.5139
2018-04-08,09:00:00,1.4483,1.3213,2.017,1.85795,3.26495,3.30765,2.93635,3.0399,2.8263
