﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1532000157PV-3000N-V 10N1532000157伸港林東溪,10N1532000142PV-3000N-V 10N1532000142伸港林東溪,10N1532000146PV-3000N-V 10N1532000146伸港林東溪,10N1532000147PV-3000N-V 10N1532000147伸港林東溪,10N1532000141PV-3000N-V 10N1532000141伸港林東溪,10N1532000148PV-3000N-V 10N1532000148伸港林東溪,10N1532000143PV-3000N-V 10N1532000143伸港林東溪,10N1532000145PV-3000N-V 10N1532000145伸港林東溪,10N1532000150PV-3000N-V 10N1532000150伸港林東溪,10N1532000149PV-3000N-V 10N1532000149伸港林東溪,10N1532000154PV-3000N-V 10N1532000154伸港林東溪
2017-11-11,00:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,00:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,00:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,01:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,01:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,01:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,02:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,02:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,02:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,03:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,03:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,03:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,04:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,04:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,04:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,05:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,05:20:00,0,0,0,0,0,0,0,5.0E-5,0,0,0
2017-11-11,05:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,06:00:00,0,0,0,0,0,0,0,0,0.0002,0,0
2017-11-11,06:20:00,0.00455,0.0067,0.00325,0.001,0,0,0.00235,0.01025,0.0025,0,0.0042
2017-11-11,06:40:00,0.052,0.055,0.04795,0.04075,0.0525,0.04315,0.049,0.06135,0.0457,0.05095,0.0525
2017-11-11,07:00:00,0.13135,0.1093,0.10055,0.1221,0.12605,0.13915,0.1296,0.14405,0.1353,0.1356,0.14135
2017-11-11,07:20:00,0.2537,0.2255,0.22455,0.25335,0.2641,0.2633,0.26895,0.28095,0.2597,0.26135,0.27175
2017-11-11,07:40:00,0.39045,0.38665,0.36375,0.39585,0.4021,0.4282,0.41785,0.43585,0.4224,0.4307,0.42735
2017-11-11,08:00:00,0.4082,0.4045,0.401,0.4366,0.4426,0.44725,0.4345,0.4556,0.4425,0.44905,0.4463
2017-11-11,08:20:00,0.60695,0.54315,0.53905,0.59365,0.59555,0.6654,0.64875,0.6731,0.6614,0.6666,0.66325
2017-11-11,08:40:00,0.8367,0.78985,0.8244,0.91015,0.9043,0.9199,0.8989,0.82705,0.8193,0.87245,0.8731
2017-11-11,09:00:00,0.81085,0.80175,0.8009,0.8831,0.7893,0.8558,0.87585,0.836,0.82805,0.8937,0.88955
2017-11-11,09:20:00,1.4591,1.3837,1.37765,1.6018,1.4402,1.46785,1.4318,1.6115,1.54285,1.6101,1.603
2017-11-11,09:40:00,1.2112,1.0963,1.19365,1.25905,1.21575,1.18155,1.2124,1.33005,1.32945,1.3316,1.2262
2017-11-11,10:00:00,0.72015,0.6769,0.7127,0.7404,0.738,0.79145,0.7744,0.7945,0.748,0.7121,0.74775
2017-11-11,10:20:00,0.65515,0.5825,0.58345,0.671,0.67395,0.68155,0.7049,0.72205,0.7131,0.71775,0.7131
2017-11-11,10:40:00,0.84395,0.7903,0.8373,0.83405,0.8776,0.8901,0.83095,0.92925,0.92155,0.9255,0.9222
2017-11-11,11:00:00,0.87875,0.8232,0.82575,0.9045,0.8119,0.92145,0.94955,0.9196,0.95945,0.91615,0.96085
2017-11-11,11:20:00,0.77745,0.64135,0.7287,0.84445,0.8019,0.8581,0.7523,0.8134,0.84955,0.80475,0.8017
2017-11-11,11:40:00,0.5488,0.52035,0.52005,0.5905,0.5675,0.57435,0.565,0.5783,0.5953,0.5754,0.57355
2017-11-11,12:00:00,0.58885,0.58255,0.5553,0.60515,0.5778,0.6176,0.6038,0.45,0.6384,0.61855,0.5738
2017-11-11,12:20:00,0.91995,0.8193,0.86725,0.9513,0.9511,0.96505,0.94545,0.96335,0.95535,1.00965,1.0054
2017-11-11,12:40:00,0.706,0.69845,0.6992,0.76565,0.76785,0.77865,0.7621,0.77945,0.7711,0.7752,0.77135
2017-11-11,13:00:00,0.7689,0.7226,0.72485,0.83385,0.8355,0.8067,0.8298,0.849,0.83945,0.80085,0.79635
2017-11-11,13:20:00,0.7712,0.7242,0.7624,0.80085,0.83615,0.8466,0.8289,0.84895,0.79435,0.8471,0.8419
2017-11-11,13:40:00,0.48205,0.4755,0.47395,0.48985,0.5204,0.52645,0.5136,0.53065,0.52065,0.52685,0.52525
2017-11-11,14:00:00,0.40955,0.40585,0.40155,0.4358,0.44325,0.42325,0.4144,0.4539,0.44265,0.44955,0.4473
2017-11-11,14:20:00,0.26065,0.26065,0.25495,0.2757,0.28535,0.28665,0.2775,0.2919,0.26785,0.2899,0.2726
2017-11-11,14:40:00,0.13785,0.1397,0.1281,0.1367,0.14905,0.1471,0.14225,0.14625,0.1418,0.143,0.14725
2017-11-11,15:00:00,0.2074,0.1964,0.20085,0.2026,0.21495,0.2155,0.20545,0.20905,0.2173,0.2293,0.22355
2017-11-11,15:20:00,0.21885,0.2092,0.21285,0.2276,0.2399,0.2379,0.23,0.22825,0.23215,0.239,0.23535
2017-11-11,15:40:00,0.1852,0.16795,0.175,0.17395,0.1936,0.1839,0.18815,0.20295,0.18795,0.2049,0.20015
2017-11-11,16:00:00,0.08805,0.08975,0.08525,0.0823,0.09425,0.0832,0.08345,0.09285,0.0832,0.0974,0.0937
2017-11-11,16:20:00,0.03585,0.03885,0.03305,0.02315,0.0382,0.036,0.03185,0.0467,0.0298,0.03935,0.0371
2017-11-11,16:40:00,0.00715,0.0089,0.0052,0.00195,0.0063,0.0047,0.003,0.0112,0.00315,0.0079,0.00515
2017-11-11,17:00:00,0,0,0,0.0002,0.0002,5.0E-5,5.0E-5,0.0002,0.0001,0.0001,0
2017-11-11,17:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,17:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,18:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,18:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,18:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,19:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,19:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,19:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,20:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,20:20:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,20:40:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,21:00:00,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,21:20:00,0,0,0,0,0,0,0,0,0,0,0
