﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211743000499曾泓喻1-PV-3000N-V 1211743000499,1211743000510曾泓喻2-PV-3000N-V 1211743000510,1211743000520曾泓喻3-PV-3000N-V 1211743000520,1211743000521曾泓喻4-PV-3000N-V 1211743000521,1211746000539曾泓喻5-PV-3000N-V 1211746000539,1211743000504曾泓喻6-PV-3000N-V 1211743000504,1211743000505曾泓喻7-PV-3000N-V 1211743000505,1211743000507曾泓喻8-PV-3000N-V 1211743000507
2018-01-19,00:00:00,0,0,0,0,0,0,0,0
2018-01-19,00:20:00,0,0,0,0,0,0,0,0
2018-01-19,00:40:00,0,0,0,0,0,0,0,0
2018-01-19,01:00:00,0,0,0,0,0,0,0,0
2018-01-19,01:20:00,0,0,0,0,0,0,0,0
2018-01-19,01:40:00,0,0,0,0,0,0,0,0
2018-01-19,02:00:00,0,0,0,0,0,0,0,0
2018-01-19,02:20:00,0,0,0,0,0,0,0,0
2018-01-19,02:40:00,0,0,0,0,0,0,0,0
2018-01-19,03:00:00,0,0,0,0,0,0,0,0
2018-01-19,03:20:00,0,0,0,0,0,0,0,0
2018-01-19,03:40:00,0,0,0,0,0,0,0,0
2018-01-19,04:00:00,0,0,0,0,0,0,0,0
2018-01-19,04:20:00,0,0,0,0,0,0,0,0
2018-01-19,04:40:00,0,0,0,0,0,0,0,0
2018-01-19,05:00:00,0,0,0,0,0,0,0,0
2018-01-19,05:20:00,0,0,0,0,0,0,0,0
2018-01-19,05:40:00,0,0,0,0,0,0,0,0
2018-01-19,06:00:00,0,0,0,0,0,0,0,0
2018-01-19,06:20:00,0,0,0,0,0,0,0,0
2018-01-19,06:40:00,0,5.0E-5,0,0,0,0,0,5.0E-5
2018-01-19,07:00:00,0.0172,0.01485,0.0075,0.0263,0.01145,0.0124,0.00205,0.01175
2018-01-19,07:20:00,0.06525,0.061,0.0497,0.08715,0.0551,0.0582,0.0378,0.0641
2018-01-19,07:40:00,0.15685,0.1493,0.1442,0.18725,0.14765,0.1484,0.1472,0.1689
2018-01-19,08:00:00,0.30745,0.29635,0.2969,0.35345,0.29925,0.2991,0.3357,0.34905
2018-01-19,08:20:00,0.4243,0.4109,0.4177,0.4836,0.41855,0.4166,0.4782,0.4882
2018-01-19,08:40:00,0.45715,0.44465,0.45285,0.52125,0.4524,0.4506,0.51895,0.5301
2018-01-19,09:00:00,0.50245,0.4884,0.4988,0.57075,0.49755,0.49535,0.5777,0.58195
2018-01-19,09:20:00,0.8185,0.7912,0.819,0.91785,0.81335,0.8071,0.9586,0.9526
2018-01-19,09:40:00,0.8267,0.80155,0.827,0.93015,0.8231,0.8172,0.9682,0.96555
2018-01-19,10:00:00,0.91265,0.8842,0.91385,1.02375,0.90795,0.8994,1.07035,1.066
2018-01-19,10:20:00,0.84055,0.815,0.8403,0.94425,0.83515,0.82775,0.982,0.98275
2018-01-19,10:40:00,0.7741,0.7504,0.7725,0.86995,0.7669,0.76,0.9004,0.9002
2018-01-19,11:00:00,1.2185,1.18585,1.2254,1.3652,1.22025,1.20575,1.434,1.4287
2018-01-19,11:20:00,1.31485,1.2735,1.3215,1.461,1.3104,1.29595,1.5465,1.5388
2018-01-19,11:40:00,1.28895,1.2495,1.29535,1.42745,1.2775,1.27385,1.5193,1.5155
2018-01-19,12:00:00,1.0537,1.02395,1.05655,1.17105,1.0434,1.043,1.23825,1.2419
2018-01-19,12:20:00,1.03795,1.00765,1.03965,1.1517,1.02555,1.02295,1.21055,1.1898
2018-01-19,12:40:00,0.62635,0.6087,0.62215,0.7005,0.6167,0.61675,0.71515,0.72955
2018-01-19,13:00:00,0.34135,0.33065,0.33215,0.38775,0.3308,0.3331,0.371,0.39185
2018-01-19,13:20:00,0.65345,0.6333,0.64945,0.7267,0.6364,0.6402,0.754,0.7583
2018-01-19,13:40:00,0.74015,0.7189,0.7374,0.8238,0.7277,0.73,0.86155,0.8627
2018-01-19,14:00:00,0.53455,0.51935,0.5292,0.59895,0.524,0.5261,0.6132,0.62055
2018-01-19,14:20:00,0.5669,0.5505,0.5618,0.6336,0.555,0.55735,0.6524,0.65915
2018-01-19,14:40:00,0.48415,0.47005,0.4777,0.54375,0.47255,0.47365,0.5528,0.56125
2018-01-19,15:00:00,0.51925,0.50255,0.5135,0.5798,0.5001,0.50395,0.5923,0.60175
2018-01-19,15:20:00,1.04295,1.0225,1.04435,1.1512,1.02245,1.03325,1.2406,1.23585
2018-01-19,15:40:00,0.4491,0.4368,0.44285,0.5058,0.4323,0.437,0.5071,0.5228
2018-01-19,16:00:00,0.5634,0.55055,0.5583,0.62595,0.42875,0.55515,0.65435,0.66835
2018-01-19,16:20:00,0.26635,0.25925,0.25675,0.30495,0.24535,0.2584,0.28535,0.30355
2018-01-19,16:40:00,0.1555,0.1505,0.1437,0.1842,0.13855,0.14845,0.15135,0.1732
2018-01-19,17:00:00,0.0393,0.0365,0.026,0.0582,0.0311,0.03325,0.0154,0.0346
2018-01-19,17:20:00,0.0024,0.0014,5.0E-5,0.01415,0.00025,0.00065,0,0.0001
2018-01-19,17:40:00,0,0,0,0.0065,0,0,0,0
2018-01-19,18:00:00,0,0,0,0.00015,0,0,0,0
2018-01-19,18:20:00,0,0,0,0,0,0,0,0
2018-01-19,18:40:00,0,0,0,0,0,0,0,0
2018-01-19,19:00:00,0,0,0,0,0,0,0,0
2018-01-19,19:20:00,0,0,0,0,0,0,0,0
2018-01-19,19:40:00,0,0,0,0,0,0,0,0
2018-01-19,20:00:00,0,0,0,0,0,0,0,0
2018-01-19,20:20:00,0,0,0,0,0,0,0,0
2018-01-19,20:40:00,0,0,0,0,0,0,0,0
2018-01-19,21:00:00,0,0,0,0,0,0,0,0
2018-01-19,21:20:00,0,0,0,0,0,0,0,0
2018-01-19,21:40:00,0,0,0,0,0,0,0,0
2018-01-19,22:00:00,0,0,0,0,0,0,0,0
2018-01-19,22:20:00,0,0,0,0,0,0,0,0
2018-01-19,22:40:00,0,0,0,0,0,0,0,0
2018-01-19,23:00:00,0,0,0,0,0,0,0,0
2018-01-19,23:20:00,0,0,0,0,0,0,0,0
2018-01-19,23:40:00,0,0,0,0,0,0,0,0
