﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1505000005PV-5000W-V 11C1505000005彰化福興-吳心,11C1505000002PV-5000W-V 11C1505000002彰化福興-吳心,11C1505000003PV-5000W-V 11C1505000003彰化福興-吳心,11C1505000006PV-5000W-V 11C1505000006彰化福興-吳心,11C1505000004PV-5000W-V 11C1505000004彰化福興-吳心,11C1505000001PV-5000W-V 11C1505000001彰化福興-吳心
2018-04-03,00:00:00,0,0,0,0,0,0
2018-04-03,00:20:00,0,0,0,0,0,0
2018-04-03,00:40:00,0,0,0,0,0,0
2018-04-03,01:00:00,0,0,0,0,0,0
2018-04-03,01:20:00,0,0,0,0,0,0
2018-04-03,01:40:00,0,0,0,0,0,0
2018-04-03,02:00:00,0,0,0,0,0,0
2018-04-03,02:20:00,0,0,0,0,0,0
2018-04-03,02:40:00,0,0,0,0,0,0
2018-04-03,03:00:00,0,0,0,0,0,0
2018-04-03,03:20:00,0,0,0,0,0,0
2018-04-03,03:40:00,0,0,0,0,0,0
2018-04-03,04:00:00,0,0,0,0,0,0
2018-04-03,04:20:00,0,0,0,0,0,0
2018-04-03,04:40:00,0,0,0,0,0,0
2018-04-03,05:00:00,0,0,0,0,0,0
2018-04-03,05:20:00,0,0,0,0,0,0
2018-04-03,05:40:00,0,0,0,0,0,0
2018-04-03,06:00:00,0.0126,0.016,0.01705,0.01835,0.01965,0.01615
2018-04-03,06:20:00,0.1058,0.1134,0.11405,0.11475,0.1176,0.11115
2018-04-03,06:40:00,0.29205,0.3013,0.3043,0.30115,0.3045,0.2977
2018-04-03,07:00:00,0.50265,0.51495,0.517,0.5104,0.51315,0.50745
2018-04-03,07:20:00,0.7385,0.67645,0.7535,0.74525,0.74895,0.705
2018-04-03,07:40:00,1.23055,0.95945,1.24255,1.23555,1.2383,1.0515
2018-04-03,08:00:00,1.58105,1.4308,1.5918,1.5847,1.59535,1.32695
2018-04-03,08:20:00,2.05055,2.06695,2.06155,2.0549,2.07885,2.0379
2018-04-03,08:40:00,1.83175,1.8269,1.83535,1.841,1.86985,1.84955
2018-04-03,09:00:00,2.0209,2.07315,2.04135,2.0267,2.03955,2.06225
2018-04-03,09:20:00,2.67325,2.7341,2.70795,2.6737,2.69225,2.7084
2018-04-03,09:40:00,2.6083,2.81445,2.7863,2.75085,2.7818,2.79055
2018-04-03,10:00:00,3.0289,3.1129,3.0677,3.0278,3.0757,3.09075
2018-04-03,10:20:00,3.17685,3.2801,3.21655,3.1788,3.2311,3.2532
2018-04-03,10:40:00,3.2731,3.38225,3.32305,3.2678,3.31595,3.33115
2018-04-03,11:00:00,3.41845,3.5355,3.47305,3.4109,3.45275,3.4808
2018-04-03,11:20:00,3.4873,3.60485,3.5502,3.47635,3.5134,3.5416
2018-04-03,11:40:00,3.4781,3.59925,3.53835,3.4678,3.5188,3.5442
2018-04-03,12:00:00,3.53815,3.64655,3.60735,3.521,3.56045,3.576
2018-04-03,12:20:00,3.5189,3.62765,3.59445,3.50025,3.52995,3.54265
2018-04-03,12:40:00,2.8331,2.9168,2.8875,2.81835,2.8404,2.8499
2018-04-03,13:00:00,2.81605,2.8913,2.8597,2.8121,2.83785,2.85005
2018-04-03,13:20:00,3.0743,3.16095,3.12605,3.067,3.08745,3.1
2018-04-03,13:40:00,2.89975,2.99845,2.953,2.89535,2.72595,2.93725
2018-04-03,14:00:00,2.62275,2.69475,2.66935,2.6157,2.64125,2.6585
2018-04-03,14:20:00,2.66345,2.73395,2.71005,2.657,2.676,2.6833
2018-04-03,14:40:00,2.53735,2.60965,2.57755,2.5309,2.55395,2.5668
2018-04-03,15:00:00,2.27295,2.3328,2.3139,2.26635,2.28645,2.28825
2018-04-03,15:20:00,1.93215,1.9842,1.9662,1.92735,1.94735,1.9475
2018-04-03,15:40:00,1.618,1.66315,1.6483,1.5264,1.6306,1.5771
2018-04-03,16:00:00,1.33175,1.37205,1.30835,1.15575,1.34595,1.2241
2018-04-03,16:20:00,1.04775,1.08245,0.96235,0.9353,1.06235,0.95695
2018-04-03,16:40:00,0.70955,0.73265,0.68285,0.66625,0.72365,0.64295
2018-04-03,17:00:00,0.3625,0.38045,0.37335,0.3627,0.37445,0.352
2018-04-03,17:20:00,0.26105,0.2757,0.27435,0.2679,0.27395,0.2611
2018-04-03,17:40:00,0.11075,0.1201,0.1202,0.1186,0.12265,0.11425
2018-04-03,18:00:00,0.014,0.0174,0.01685,0.0184,0.01935,0.01665
2018-04-03,18:20:00,0,0,0,0,0,0
2018-04-03,18:40:00,0,0,0,0,0,0
2018-04-03,19:00:00,0,0,0,0,0,0
2018-04-03,19:20:00,0,0,0,0,0,0
2018-04-03,19:40:00,0,0,0,0,0,0
2018-04-03,20:00:00,0,0,0,0,0,0
2018-04-03,20:20:00,0,0,0,0,0,0
2018-04-03,20:40:00,0,0,0,0,0,0
2018-04-03,21:00:00,0,0,0,0,0,0
2018-04-03,21:20:00,0,0,0,0,0,0
2018-04-03,21:40:00,0,0,0,0,0,0
2018-04-03,22:00:00,0,0,0,0,0,0
2018-04-03,22:20:00,0,0,0,0,0,0
2018-04-03,22:40:00,0,0,0,0,0,0
2018-04-03,23:00:00,0,0,0,0,0,0
2018-04-03,23:20:00,0,0,0,0,0,0
2018-04-03,23:40:00,0,0,0,0,0,0
