﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211727000287震興一期1-PV-3000N-V 1211727000287,1211727000292震興一期2-PV-3000N-V 1211727000292,11O1730000878震興一期3-PV-5000W-HV 11O1730000878,11O1730000868震興一期4-PV-5000W-HV 11O1730000868,1211727000288震興二期1-PV-3000N-V 1211727000288,11O1730000881震興二期2-PV-5000W-HV 11O1730000881,11O1730000879震興二期3-PV-5000W-HV 11O1730000879
2018-01-25,00:00:00,0,0,0,0,0,0,0
2018-01-25,00:20:00,0,0,0,0,0,0,0
2018-01-25,00:40:00,0,0,0,0,0,0,0
2018-01-25,01:00:00,0,0,0,0,0,0,0
2018-01-25,01:20:00,0,0,0,0,0,0,0
2018-01-25,01:40:00,0,0,0,0,0,0,0
2018-01-25,02:00:00,0,0,0,0,0,0,0
2018-01-25,02:20:00,0,0,0,0,0,0,0
2018-01-25,02:40:00,0,0,0,0,0,0,0
2018-01-25,03:00:00,0,0,0,0,0,0,0
2018-01-25,03:20:00,0,0,0,0,0,0,0
2018-01-25,03:40:00,0,0,0,0,0,0,0
2018-01-25,04:00:00,0,0,0,0,0,0,0
2018-01-25,04:20:00,0,0,0,0,0,0,0
2018-01-25,04:40:00,0,0,0,0,0,0,0
2018-01-25,05:00:00,0,0,0,0,0,0,0
2018-01-25,05:20:00,0,0,0,0,0,0,0
2018-01-25,05:40:00,0,0,0,0,0,0,0
2018-01-25,06:00:00,0,0,0,0,0,0,0
2018-01-25,06:20:00,0,0,0,0,0,0,0
2018-01-25,06:40:00,0,0.00425,0,0,0.0133,0,0.0064
2018-01-25,07:00:00,0.0335,0.0883,0.1345,0.16265,0.0898,0.13155,0.1887
2018-01-25,07:20:00,0.09705,0.1556,0.2673,0.3005,0.16005,0.2828,0.31505
2018-01-25,07:40:00,0.1491,0.20985,0.35175,0.39765,0.2045,0.36095,0.41115
2018-01-25,08:00:00,0.3736,0.44515,0.7019,0.8221,0.39025,0.7423,0.85045
2018-01-25,08:20:00,0.43815,0.5226,0.7713,0.95855,0.42225,0.82335,0.98425
2018-01-25,08:40:00,0.5852,0.61585,0.94415,1.1266,0.5205,1.0831,1.1621
2018-01-25,09:00:00,1.0759,1.0588,1.75545,1.93815,0.7347,1.8986,1.96855
2018-01-25,09:20:00,1.2091,1.15995,2.0737,2.09635,1.1309,2.1053,2.1653
2018-01-25,09:40:00,0.9814,0.95645,1.71765,1.7592,0.9538,1.70615,1.7993
2018-01-25,10:00:00,1.3374,1.27665,2.30675,2.32505,1.27945,2.30945,2.37425
2018-01-25,10:20:00,1.81815,1.6993,3.07225,3.06375,1.7487,3.1017,3.14705
2018-01-25,10:40:00,1.3086,1.24325,2.25905,2.25505,1.2459,2.21555,2.3046
2018-01-25,11:00:00,1.9059,1.78245,3.26165,3.22265,1.8319,3.2131,3.29125
2018-01-25,11:20:00,1.36725,1.29305,2.35625,2.34575,1.32975,2.3425,2.4284
2018-01-25,11:40:00,1.9246,1.79415,3.2958,3.26655,1.85035,3.25165,3.334
2018-01-25,12:00:00,1.7141,1.6134,2.9481,2.9398,1.6763,2.935,3.00095
2018-01-25,12:20:00,1.933,1.80705,3.3049,3.27555,1.88325,3.28985,3.35685
2018-01-25,12:40:00,1.2364,1.17025,2.1518,2.1322,1.22215,2.17565,2.20545
2018-01-25,13:00:00,0.98845,0.94925,1.7513,1.7446,0.9753,1.7225,1.80635
2018-01-25,13:20:00,1.03775,0.9949,1.8346,1.8262,1.0213,1.7959,1.88395
2018-01-25,13:40:00,1.0303,0.93325,1.8217,1.8027,1.04295,1.75425,1.7785
2018-01-25,14:00:00,0.71365,0.70055,1.29245,1.28945,0.7278,1.29125,1.341
2018-01-25,14:20:00,0.86625,0.8388,1.5407,1.53365,0.8839,1.56555,1.5959
2018-01-25,14:40:00,0.8572,0.82685,1.53355,1.51205,0.8549,1.5077,1.55165
2018-01-25,15:00:00,0.9567,0.919,1.69355,1.6738,0.9524,1.68965,1.7206
2018-01-25,15:20:00,1.0319,0.98305,1.82455,1.7998,0.9907,1.7514,1.7952
2018-01-25,15:40:00,0.851,0.82225,1.52635,1.50135,0.83315,1.43875,1.5101
2018-01-25,16:00:00,0.7495,0.72595,1.35425,1.3321,0.6958,1.1669,1.33265
2018-01-25,16:20:00,0.31765,0.3422,0.6372,0.63685,0.3248,0.54595,0.6429
2018-01-25,16:40:00,0.04905,0.10315,0.1877,0.20425,0.1166,0.1904,0.2154
2018-01-25,17:00:00,0.0095,0.06645,0.11975,0.13845,0.07785,0.12215,0.1457
2018-01-25,17:20:00,0.0024,0.0299,0.06435,0.08205,0.0432,0.0672,0.09135
2018-01-25,17:40:00,0,5.0E-5,0.00705,0.0246,0.00575,0.01095,0.03095
2018-01-25,18:00:00,0,0,0.00155,0.00755,0.0018,0.0027,0.0092
2018-01-25,18:20:00,0,0,0,0,0,0,0
2018-01-25,18:40:00,0,0,0,0,0,0,0
