﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211711000104青宇企業1-PV-3000N-V 1211711000104,1211711000110青宇企業2-PV-3000N-V 1211711000110,1211711000111青宇企業3-PV-3000N-V 1211711000111,1211713000172青宇企業4-PV-3000N-V 1211713000172,11O1725000590青宇企業5-PV-5000W-HV 11O1725000590
2018-02-22,00:00:00,0,0,0,0,0
2018-02-22,00:20:00,0,0,0,0,0
2018-02-22,00:40:00,0,0,0,0,0
2018-02-22,01:00:00,0,0,0,0,0
2018-02-22,01:20:00,0,0,0,0,0
2018-02-22,01:40:00,0,0,0,0,0
2018-02-22,02:00:00,0,0,0,0,0
2018-02-22,02:20:00,0,0,0,0,0
2018-02-22,02:40:00,0,0,0,0,0
2018-02-22,03:00:00,0,0,0,0,0
2018-02-22,03:20:00,0,0,0,0,0
2018-02-22,03:40:00,0,0,0,0,0
2018-02-22,04:00:00,0,0,0,0,0
2018-02-22,04:20:00,0,0,0,0,0
2018-02-22,04:40:00,0,0,0,0,0
2018-02-22,05:00:00,0,0,0,0,0
2018-02-22,05:20:00,0,0,0,0,0
2018-02-22,05:40:00,0,0,0,0,0
2018-02-22,06:00:00,0,0,0,0,0
2018-02-22,06:20:00,0,0,0,0.0024,0
2018-02-22,06:40:00,0.05075,0.04675,0.0574,0.0688,0.0675
2018-02-22,07:00:00,0.1459,0.13165,0.1535,0.16025,0.22605
2018-02-22,07:20:00,0.2,0.18195,0.20375,0.20945,0.30935
2018-02-22,07:40:00,0.3173,0.2949,0.32445,0.3229,0.4973
2018-02-22,08:00:00,0.35845,0.336,0.36675,0.36385,0.5605
2018-02-22,08:20:00,0.48665,0.462,0.4994,0.49025,0.7481
2018-02-22,08:40:00,0.5782,0.5518,0.5917,0.57945,0.89575
2018-02-22,09:00:00,0.5751,0.5479,0.5883,0.5761,0.893
2018-02-22,09:20:00,0.4853,0.45935,0.497,0.48845,0.74505
2018-02-22,09:40:00,0.7085,0.6738,0.72245,0.7051,1.1019
2018-02-22,10:00:00,0.85675,0.82015,0.87355,0.84935,1.3449
2018-02-22,10:20:00,0.88905,0.85295,0.90555,0.88045,1.3976
2018-02-22,10:40:00,1.41415,1.3787,1.44545,1.39625,2.22195
2018-02-22,11:00:00,2.17135,2.1452,2.2324,2.15135,3.40815
2018-02-22,11:20:00,1.9867,1.9623,2.03995,1.96185,3.14245
2018-02-22,11:40:00,2.08915,2.0511,2.13475,2.05835,3.3458
2018-02-22,12:00:00,1.87155,1.8224,1.90315,1.83995,2.9829
2018-02-22,12:20:00,1.50845,1.4589,1.5289,1.48445,2.40755
2018-02-22,12:40:00,1.16725,1.12155,1.18385,1.151,1.8585
2018-02-22,13:00:00,0.7934,0.75875,0.80775,0.7877,1.24645
2018-02-22,13:20:00,0.8615,0.8251,0.8771,0.8548,1.35315
2018-02-22,13:40:00,0.72655,0.6937,0.7409,0.7235,1.1332
2018-02-22,14:00:00,0.61975,0.58785,0.63045,0.62185,0.9628
2018-02-22,14:20:00,0.79285,0.75395,0.80525,0.7931,1.24065
2018-02-22,14:40:00,0.1539,0.13695,0.15715,0.16635,0.2368
2018-02-22,15:00:00,0.07385,0.0587,0.07385,0.0873,0.11285
2018-02-22,15:20:00,0.1146,0.0977,0.1177,0.12895,0.17535
2018-02-22,15:40:00,0.4011,0.38035,0.41315,0.4126,0.6227
2018-02-22,16:00:00,0.27235,0.2543,0.2815,0.28625,0.4271
2018-02-22,16:20:00,0.1728,0.15585,0.17845,0.18785,0.2682
2018-02-22,16:40:00,0.1058,0.0922,0.10905,0.1218,0.16305
2018-02-22,17:00:00,0.073,0.05935,0.07365,0.088,0.11095
2018-02-22,17:20:00,0.00785,0.0033,0.0075,0.01815,0.01465
2018-02-22,17:40:00,0.00125,0.0001,0.00035,0.0062,0.0024
2018-02-22,18:00:00,0.00025,0,5.0E-5,0.00275,0.0006
2018-02-22,18:20:00,0,0,0,0,0
2018-02-22,18:40:00,0,0,0,0,0
2018-02-22,19:00:00,0,0,0,0,0
2018-02-22,19:20:00,0,0,0,0,0
2018-02-22,19:40:00,0,0,0,0,0
2018-02-22,20:00:00,0,0,0,0,0
2018-02-22,20:20:00,0,0,0,0,0
2018-02-22,20:40:00,0,0,0,0,0
2018-02-22,21:00:00,0,0,0,0,0
2018-02-22,21:20:00,0,0,0,0,0
2018-02-22,21:40:00,0,0,0,0,0
2018-02-22,22:00:00,0,0,0,0,0
2018-02-22,22:20:00,0,0,0,0,0
2018-02-22,22:40:00,0,0,0,0,0
2018-02-22,23:00:00,0,0,0,0,0
2018-02-22,23:20:00,0,0,0,0,0
2018-02-22,23:40:00,0,0,0,0,0
