﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211727000268詠升三號1-PV-3000N-V 1211727000268,1211727000266詠升三號2-PV-3000N-V 1211727000266,1211724000242詠升三號3-PV-3000N-V 1211724000242,1211724000238詠升三號4-PV-3000N-V 1211724000238,11O1730000872詠升三號5-PV-5000W-HV 11O1730000872,1211724000234詠升一號1-PV-3000N-V 1211724000234,1211724000230詠升一號2-PV-3000N-V 1211724000230,1211724000231詠升一號3-PV-3000N-V 1211724000231,1211727000269詠升一號4-PV-3000N-V 1211727000269,11O1730000873詠升一號5-PV-5000W-HV 11O1730000873
2018-03-11,00:00:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,00:20:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,00:40:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,01:00:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,01:20:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,01:40:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,02:00:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,02:20:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,02:40:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,03:00:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,03:20:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,03:40:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,04:00:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,04:20:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,04:40:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,05:00:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,05:20:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,05:40:00,0,0,0,0,0,0,0,0,0,0
2018-03-11,06:00:00,5.0E-5,0.0003,5.0E-5,0,0,0.00055,0.0008,0,0.00055,0
2018-03-11,06:20:00,0.02995,0.0434,0.0378,0.01185,0.0576,0.05475,0.06525,0.04545,0.0417,0.0536
2018-03-11,06:40:00,0.1033,0.12455,0.11525,0.06715,0.2323,0.14285,0.15605,0.145,0.12925,0.2423
2018-03-11,07:00:00,0.1609,0.1929,0.1772,0.116,0.3547,0.25945,0.27535,0.27565,0.2068,0.4598
2018-03-11,07:20:00,0.20775,0.24935,0.2324,0.1522,0.47415,0.43695,0.43965,0.46065,0.2732,0.7338
2018-03-11,07:40:00,0.24165,0.2966,0.39365,0.1781,1.03355,0.6693,0.6812,0.70045,0.41565,1.07515
2018-03-11,08:00:00,0.28565,0.7146,0.86325,0.2052,1.4305,0.9302,0.9713,0.97465,0.8852,1.40185
2018-03-11,08:20:00,0.57465,1.2343,1.17855,0.23445,1.91275,1.1905,1.2407,1.244,1.22265,1.88955
2018-03-11,08:40:00,1.4827,1.5074,1.43785,0.257,2.3139,1.45145,1.50865,1.511,1.4935,2.2979
2018-03-11,09:00:00,1.7279,1.7445,1.66575,0.2796,2.672,1.68045,1.7387,1.74085,1.72825,2.65485
2018-03-11,09:20:00,1.9249,1.9332,1.85,0.31355,2.95225,1.8638,1.92605,1.936,1.91485,2.92815
2018-03-11,09:40:00,2.13935,2.13825,2.0382,0.36455,3.2469,2.0681,2.13825,2.1564,2.11655,3.22985
2018-03-11,10:00:00,2.26075,2.27375,2.15815,0.65065,3.4317,2.20215,2.27335,2.3008,2.2492,3.42915
