﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11O1743001504謝聰旗1-PV-5000W-HV 11O1743001504,1211740000461謝聰旗2-PV-3000N-V 1211740000461
2018-02-04,00:00:00,0,0
2018-02-04,00:20:00,0,0
2018-02-04,00:40:00,0,0
2018-02-04,01:00:00,0,0
2018-02-04,01:20:00,0,0
2018-02-04,01:40:00,0,0
2018-02-04,02:00:00,0,0
2018-02-04,02:20:00,0,0
2018-02-04,02:40:00,0,0
2018-02-04,03:00:00,0,0
2018-02-04,03:20:00,0,0
2018-02-04,03:40:00,0,0
2018-02-04,04:00:00,0,0
2018-02-04,04:20:00,0,0
2018-02-04,04:40:00,0,0
2018-02-04,05:00:00,0,0
2018-02-04,05:20:00,0,0
2018-02-04,05:40:00,0,0
2018-02-04,06:00:00,0,0
2018-02-04,06:20:00,0,0
2018-02-04,06:40:00,0,0
2018-02-04,07:00:00,0.05865,0.03025
2018-02-04,07:20:00,0.1339,0.0769
2018-02-04,07:40:00,0.1694,0.0959
2018-02-04,08:00:00,0.18605,0.1046
2018-02-04,08:20:00,0.19385,0.10805
2018-02-04,08:40:00,0.2889,0.16305
2018-02-04,09:00:00,0.3843,0.21865
2018-02-04,09:20:00,0.44515,0.25175
2018-02-04,09:40:00,0.38725,0.21745
2018-02-04,10:00:00,0.3693,0.20665
2018-02-04,10:20:00,0.4992,0.27905
2018-02-04,10:40:00,0.64265,0.35825
2018-02-04,11:00:00,0.6205,0.34795
2018-02-04,11:20:00,0.9614,0.5367
2018-02-04,11:40:00,0.83375,0.4711
2018-02-04,12:00:00,0.8167,0.45875
2018-02-04,12:20:00,0.66465,0.37415
2018-02-04,12:40:00,0.91845,0.51895
2018-02-04,13:00:00,1.0351,0.5867
2018-02-04,13:20:00,0.4959,0.2792
2018-02-04,13:40:00,0.57255,0.32235
2018-02-04,14:00:00,0.5734,0.31745
2018-02-04,14:20:00,0.67185,0.37855
2018-02-04,14:40:00,0.45175,0.25245
2018-02-04,15:00:00,0.2826,0.1562
2018-02-04,15:20:00,0.2982,0.1649
2018-02-04,15:40:00,0.18325,0.102
2018-02-04,16:00:00,0.14985,0.08225
2018-02-04,16:20:00,0.0935,0.0515
2018-02-04,16:40:00,0.0952,0.0519
2018-02-04,17:00:00,0.06145,0.02415
2018-02-04,17:20:00,0.01895,0.0015
2018-02-04,17:40:00,0.00665,0
2018-02-04,18:00:00,0.0022,0
2018-02-04,18:20:00,0,0
2018-02-04,18:40:00,0,0
2018-02-04,19:00:00,0,0
2018-02-04,19:20:00,0,0
2018-02-04,19:40:00,0,0
2018-02-04,20:00:00,0,0
2018-02-04,20:20:00,0,0
2018-02-04,20:40:00,0,0
2018-02-04,21:00:00,0,0
2018-02-04,21:20:00,0,0
2018-02-04,21:40:00,0,0
2018-02-04,22:00:00,0,0
2018-02-04,22:20:00,0,0
2018-02-04,22:40:00,0,0
2018-02-04,23:00:00,0,0
2018-02-04,23:20:00,0,0
2018-02-04,23:40:00,0,0
