﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211746000545林玲華1-PV-3000N-V 1211746000545,1211746000526林玲華2-PV-3000N-V 1211746000526
2018-04-05,00:00:00,0,0
2018-04-05,00:20:00,0,0
2018-04-05,00:40:00,0,0
2018-04-05,01:00:00,0,0
2018-04-05,01:20:00,0,0
2018-04-05,01:40:00,0,0
2018-04-05,02:00:00,0,0
2018-04-05,02:20:00,0,0
2018-04-05,02:40:00,0,0
2018-04-05,03:00:00,0,0
2018-04-05,03:20:00,0,0
2018-04-05,03:40:00,0,0
2018-04-05,04:00:00,0,0
2018-04-05,04:20:00,0,0
2018-04-05,04:40:00,0,0
2018-04-05,05:00:00,0,0
2018-04-05,05:20:00,0,0
2018-04-05,05:40:00,0.0001,0
2018-04-05,06:00:00,0.04395,0.03055
2018-04-05,06:20:00,0.1651,0.15395
2018-04-05,06:40:00,0.32485,0.31415
2018-04-05,07:00:00,0.53065,0.52035
2018-04-05,07:20:00,0.7635,0.75385
2018-04-05,07:40:00,1.00985,1.00065
2018-04-05,08:00:00,1.26645,1.2604
2018-04-05,08:20:00,1.491,1.4879
2018-04-05,08:40:00,1.71525,1.71525
2018-04-05,09:00:00,1.92855,1.9322
2018-04-05,09:20:00,2.05155,2.06045
2018-04-05,09:40:00,2.2768,2.2856
2018-04-05,10:00:00,2.3595,2.37445
2018-04-05,10:20:00,2.4977,2.5146
2018-04-05,10:40:00,2.3341,2.3501
2018-04-05,11:00:00,2.2183,2.2386
2018-04-05,11:20:00,2.43485,2.46015
2018-04-05,11:40:00,2.5853,2.6029
2018-04-05,12:00:00,2.8239,2.8398
2018-04-05,12:20:00,2.67745,2.69725
2018-04-05,12:40:00,2.4688,2.4959
2018-04-05,13:00:00,2.8457,2.8649
2018-04-05,13:20:00,2.3132,2.3287
2018-04-05,13:40:00,1.76235,1.77705
2018-04-05,14:00:00,2.3783,2.39445
2018-04-05,14:20:00,2.13125,2.15235
2018-04-05,14:40:00,1.746,1.774
2018-04-05,15:00:00,1.7196,1.7549
2018-04-05,15:20:00,1.52115,1.56395
2018-04-05,15:40:00,1.23685,1.3261
2018-04-05,16:00:00,0.99515,1.22495
2018-04-05,16:20:00,0.6219,0.7439
2018-04-05,16:40:00,0.35855,0.3818
2018-04-05,17:00:00,0.22195,0.21825
2018-04-05,17:20:00,0.29775,0.3084
2018-04-05,17:40:00,0.15595,0.14945
2018-04-05,18:00:00,0.01695,0.0105
2018-04-05,18:20:00,5.0E-5,0
2018-04-05,18:40:00,0,0
2018-04-05,19:00:00,0,0
2018-04-05,19:20:00,0,0
2018-04-05,19:40:00,0,0
2018-04-05,20:00:00,0,0
2018-04-05,20:20:00,0,0
2018-04-05,20:40:00,0,0
2018-04-05,21:00:00,0,0
2018-04-05,21:20:00,0,0
2018-04-05,21:40:00,0,0
2018-04-05,22:00:00,0,0
2018-04-05,22:20:00,0,0
2018-04-05,22:40:00,0,0
2018-04-05,23:00:00,0,0
2018-04-05,23:20:00,0,0
2018-04-05,23:40:00,0,0
