﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000173PV-5000W-V 10D1638000173陳慶修#1,1151449000296PV-5000W-V 1151449000296陳慶修#2,10D1638000183PV-5000W-V 10D1638000183陳慶修#3
2018-04-06,00:00:00,0,0,0
2018-04-06,00:20:00,0,0,0
2018-04-06,00:40:00,0,0,0
2018-04-06,01:00:00,0,0,0
2018-04-06,01:20:00,0,0,0
2018-04-06,01:40:00,0,0,0
2018-04-06,02:00:00,0,0,0
2018-04-06,02:20:00,0,0,0
2018-04-06,02:40:00,0,0,0
2018-04-06,03:00:00,0,0,0
2018-04-06,03:20:00,0,0,0
2018-04-06,03:40:00,0,0,0
2018-04-06,04:00:00,0,0,0
2018-04-06,04:20:00,0,0,0
2018-04-06,04:40:00,0,0,0
2018-04-06,05:00:00,0,0,0
2018-04-06,05:20:00,0,0,0
2018-04-06,05:40:00,0,0,0
2018-04-06,06:00:00,0.0603,0.07085,0.06055
2018-04-06,06:20:00,0.07325,0.10905,0.0782
2018-04-06,06:40:00,0.3327,0.2851,0.3211
2018-04-06,07:00:00,0.74805,0.70975,0.7702
2018-04-06,07:20:00,1.0055,0.9266,1.00565
2018-04-06,07:40:00,1.52845,1.5499,1.57365
2018-04-06,08:00:00,0.7882,0.9332,0.8146
2018-04-06,08:20:00,1.04935,0.8854,0.96385
2018-04-06,08:40:00,1.74295,1.78765,1.8076
2018-04-06,09:00:00,2.46595,2.2961,2.35935
2018-04-06,09:20:00,2.5698,2.67295,2.5984
2018-04-06,09:40:00,3.142,3.07655,3.1132
2018-04-06,10:00:00,2.90425,2.94765,2.94135
2018-04-06,10:20:00,2.97835,2.84565,2.88185
2018-04-06,10:40:00,3.68985,3.8341,3.71615
2018-04-06,11:00:00,4.12225,3.9743,4.13295
2018-04-06,11:20:00,4.3164,4.24845,4.3103
2018-04-06,11:40:00,1.37895,1.84335,1.4926
2018-04-06,12:00:00,2.99615,2.8062,2.96605
2018-04-06,12:20:00,3.7636,3.60565,3.6755
2018-04-06,12:40:00,4.05195,4.20835,4.11865
2018-04-06,13:00:00,3.74475,3.86215,3.8376
2018-04-06,13:20:00,3.09555,3.26705,3.0674
2018-04-06,13:40:00,2.71015,2.6878,2.6291
2018-04-06,14:00:00,2.83105,2.7737,2.6172
2018-04-06,14:20:00,3.38935,3.39525,3.20825
2018-04-06,14:40:00,2.8579,2.9555,2.56335
2018-04-06,15:00:00,2.40245,2.44955,2.06715
2018-04-06,15:20:00,2.41705,2.52935,2.04205
2018-04-06,15:40:00,1.7476,1.9306,1.4746
2018-04-06,16:00:00,0.93135,0.9915,0.79085
2018-04-06,16:20:00,0.82995,0.92815,0.7295
2018-04-06,16:40:00,0.7063,0.7397,0.63545
2018-04-06,17:00:00,0.3807,0.4463,0.35845
2018-04-06,17:20:00,0.18295,0.24995,0.18455
2018-04-06,17:40:00,0.0361,0.08295,0.0424
2018-04-06,18:00:00,0.00045,0.013,0.0011
2018-04-06,18:20:00,0,0,0
2018-04-06,18:40:00,0,0,0
2018-04-06,19:00:00,0,0,0
2018-04-06,19:20:00,0,0,0
2018-04-06,19:40:00,0,0,0
2018-04-06,20:00:00,0,0,0
2018-04-06,20:20:00,0,0,0
2018-04-06,20:40:00,0,0,0
2018-04-06,21:00:00,0,0,0
2018-04-06,21:20:00,0,0,0
2018-04-06,21:40:00,0,0,0
2018-04-06,22:00:00,0,0,0
2018-04-06,22:20:00,0,0,0
2018-04-06,22:40:00,0,0,0
2018-04-06,23:00:00,0,0,0
2018-04-06,23:20:00,0,0,0
2018-04-06,23:40:00,0,0,0
