﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151428000083PV-5000W-V 1151428000083后里李聰棋,1151428000087PV-5000W-V 1151428000087后里李聰棋,1151428000108PV-5000W-V 1151428000108后里李聰棋,1151428000105PV-5000W-V 1151428000105后里李聰棋,1151428000106PV-5000W-V 1151428000106后里李聰棋,1151428000109PV-5000W-V 1151428000109后里李聰棋
2018-02-19,00:00:00,0,0,0,0,0,0
2018-02-19,00:20:00,0,0,0,0,0,0
2018-02-19,00:40:00,0,0,0,0,0,0
2018-02-19,01:00:00,0,0,0,0,0,0
2018-02-19,01:20:00,0,0,0,0,0,0
2018-02-19,01:40:00,0,0,0,0,0,0
2018-02-19,02:00:00,0,0,0,0,0,0
2018-02-19,02:20:00,0,0,0,0,0,0
2018-02-19,02:40:00,0,0,0,0,0,0
2018-02-19,03:00:00,0,0,0,0,0,0
2018-02-19,03:20:00,0,0,0,0,0,0
2018-02-19,03:40:00,0,0,0,0,0,0
2018-02-19,04:00:00,0,0,0,0,0,0
2018-02-19,04:20:00,0,0,0,0,0,0
2018-02-19,04:40:00,0,0,0,0,0,0
2018-02-19,05:00:00,0,0,0,0,0,0
2018-02-19,05:20:00,0,0,0,0,0,0
2018-02-19,05:40:00,0,0,0,0,0,0
2018-02-19,06:00:00,0,0,0,0,0,0
2018-02-19,06:20:00,0,0,0,0,0,0
2018-02-19,06:40:00,0.0498,0.01275,0.0083,0.0096,0.0015,0.01205
2018-02-19,07:00:00,0.22215,0.1118,0.1089,0.10015,0.08135,0.1111
2018-02-19,07:20:00,0.5095,0.3004,0.3113,0.2094,0.2805,0.2377
2018-02-19,07:40:00,0.8462,0.68815,0.63885,0.4177,0.5847,0.37525
2018-02-19,08:00:00,1.1845,1.0278,0.99215,0.8958,0.91255,0.49715
2018-02-19,08:20:00,1.5397,1.37015,1.3346,1.3365,1.25585,0.7818
2018-02-19,08:40:00,2.11395,1.7847,1.7381,1.7493,1.60615,1.1436
2018-02-19,09:00:00,1.31625,1.7799,1.751,1.7206,1.97135,1.48125
2018-02-19,09:20:00,1.4429,1.36795,1.3253,1.33635,1.2743,1.3301
2018-02-19,09:40:00,1.63215,1.6437,1.6075,1.6112,1.50615,1.6258
2018-02-19,10:00:00,1.8737,1.74945,1.68825,1.71965,1.61455,1.7213
2018-02-19,10:20:00,2.56275,2.14495,2.06,2.0852,1.93615,2.07885
2018-02-19,10:40:00,2.50905,2.6881,2.63805,2.6248,2.6618,2.6659
2018-02-19,11:00:00,2.5911,2.44765,2.39055,2.38055,2.39565,2.40695
2018-02-19,11:20:00,2.1944,2.50945,2.43775,2.4186,2.5225,2.43225
2018-02-19,11:40:00,2.9071,2.51855,2.43475,2.44785,2.396,2.45475
2018-02-19,12:00:00,2.91915,3.06205,3.0018,2.9504,2.7475,3.00205
2018-02-19,12:20:00,2.72955,2.70695,2.62945,2.63215,2.89395,2.6431
2018-02-19,12:40:00,3.0326,2.99495,2.9348,2.90365,2.80395,2.9436
2018-02-19,13:00:00,2.8744,2.7641,2.71125,2.6643,2.8095,2.70025
2018-02-19,13:20:00,2.8202,2.86275,2.7805,2.75855,2.7742,2.7913
2018-02-19,13:40:00,2.92515,2.8996,2.83315,2.78995,2.88035,2.83665
2018-02-19,14:00:00,2.63825,2.7867,2.7255,2.6788,2.7812,2.73485
2018-02-19,14:20:00,2.57525,2.4125,2.34435,2.3563,2.379,2.36335
2018-02-19,14:40:00,2.62715,2.8222,2.7971,2.72975,2.71785,2.79065
2018-02-19,15:00:00,2.4056,2.49805,2.49095,2.44145,2.55455,2.50885
2018-02-19,15:20:00,2.0976,2.23725,2.2335,2.19205,2.33425,2.25425
2018-02-19,15:40:00,1.86535,1.95735,1.94135,1.903,2.00265,1.9425
2018-02-19,16:00:00,1.53725,1.68845,1.67595,1.63855,1.74655,1.6692
2018-02-19,16:20:00,1.20075,1.3739,1.3706,1.3378,1.4478,1.366
2018-02-19,16:40:00,0.70225,0.9395,0.94375,0.9114,1.07405,0.93975
2018-02-19,17:00:00,0.45245,0.54745,0.54565,0.5296,0.59595,0.54785
2018-02-19,17:20:00,0.1782,0.29285,0.2974,0.32245,0.3904,0.34225
2018-02-19,17:40:00,0.0467,0.0933,0.0819,0.08795,0.12,0.1032
2018-02-19,18:00:00,0.0156,0.02055,0.0192,0.0167,0.02905,0.01985
2018-02-19,18:20:00,0.00165,0.0099,0.0103,0.00845,0.01375,0.0086
2018-02-19,18:40:00,0,0,0,0,0,0
2018-02-19,19:00:00,0,0,0,0,0,0
2018-02-19,19:20:00,0,0,0,0,0,0
2018-02-19,19:40:00,0,0,0,0,0,0
2018-02-19,20:00:00,0,0,0,0,0,0
2018-02-19,20:20:00,0,0,0,0,0,0
2018-02-19,20:40:00,0,0,0,0,0,0
2018-02-19,21:00:00,0,0,0,0,0,0
2018-02-19,21:20:00,0,0,0,0,0,0
2018-02-19,21:40:00,0,0,0,0,0,0
2018-02-19,22:00:00,0,0,0,0,0,0
2018-02-19,22:20:00,0,0,0,0,0,0
2018-02-19,22:40:00,0,0,0,0,0,0
2018-02-19,23:00:00,0,0,0,0,0,0
2018-02-19,23:20:00,0,0,0,0,0,0
2018-02-19,23:40:00,0,0,0,0,0,0
