﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151428000071PV-5000W-V 1151428000071大甲澄朗,10N1431000143PV-3000N-V 10N1431000143大甲澄朗,10N1431000144PV-3000N-V 10N1431000144大甲澄朗,1151644000340PV-5000W-V 1151644000340大甲澄朗
2017-11-30,00:00:00,0.0166,0,0,0
2017-11-30,00:20:00,0.0166,0,0,0
2017-11-30,00:40:00,0.0166,0,0,0
2017-11-30,01:00:00,0.0166,0,0,0
2017-11-30,01:20:00,0.0166,0,0,0
2017-11-30,01:40:00,0.0166,0,0,0
2017-11-30,02:00:00,0.0166,0,0,0
2017-11-30,02:20:00,0.0166,0,0,0
2017-11-30,02:40:00,0.0166,0,0,0
2017-11-30,03:00:00,0.0166,0,0,0
2017-11-30,03:20:00,0.0166,0,0,0
2017-11-30,03:40:00,0.0166,0,0,0
2017-11-30,04:00:00,0.0166,0,0,0
2017-11-30,04:20:00,0.0166,0,0,0
2017-11-30,04:40:00,0.0166,0,0,0
2017-11-30,05:00:00,0.0166,0,0,0
2017-11-30,05:20:00,0.0166,0,0,0
2017-11-30,05:40:00,0.0166,0,0,0
2017-11-30,06:00:00,0.0166,0,0,0
2017-11-30,06:20:00,0.0166,0,0,5.0E-5
2017-11-30,06:40:00,0.02945,0,0,0.01755
2017-11-30,07:00:00,0.07925,0.0188,0.00035,0.05735
2017-11-30,07:20:00,0.1498,0.10335,0.0063,0.1271
2017-11-30,07:40:00,0.19425,0.1319,0.0211,0.1728
2017-11-30,08:00:00,0.1996,0.1362,0.03005,0.1769
2017-11-30,08:20:00,0.32885,0.2111,0.11285,0.29345
2017-11-30,08:40:00,0.4635,0.2935,0.1953,0.42505
2017-11-30,09:00:00,0.53015,0.33635,0.2337,0.4816
2017-11-30,09:20:00,0.61155,0.38295,0.2855,0.55495
2017-11-30,09:40:00,0.7611,0.47755,0.3816,0.6912
2017-11-30,10:00:00,0.6883,0.43005,0.33305,0.6301
2017-11-30,10:20:00,0.76595,0.48295,0.38465,0.6868
2017-11-30,10:40:00,1.00805,0.62615,0.5333,0.9084
2017-11-30,11:00:00,0.99925,0.62035,0.52485,0.898
2017-11-30,11:20:00,1.1057,0.67945,0.58765,0.99025
2017-11-30,11:40:00,0.82625,0.51035,0.41565,0.7398
2017-11-30,12:00:00,0.9331,0.58825,0.49195,0.83335
2017-11-30,12:20:00,0.8449,0.52135,0.42695,0.75385
2017-11-30,12:40:00,0.7656,0.4663,0.3709,0.6738
2017-11-30,13:00:00,0.58355,0.36355,0.26315,0.51245
2017-11-30,13:20:00,0.56215,0.3501,0.252,0.49175
2017-11-30,13:40:00,0.4308,0.26785,0.1704,0.37625
2017-11-30,14:00:00,0.26725,0.17295,0.07275,0.23415
2017-11-30,14:20:00,0.22775,0.14965,0.04705,0.2007
2017-11-30,14:40:00,0.1967,0.1316,0.0277,0.173
2017-11-30,15:00:00,0.15685,0.1057,0.0068,0.13585
2017-11-30,15:20:00,0.14955,0.1015,0.00515,0.12645
2017-11-30,15:40:00,0.1209,0.0792,0.00075,0.0954
2017-11-30,16:00:00,0.11235,0.0762,0.0006,0.08675
2017-11-30,16:20:00,0.0843,0.05145,0.00045,0.061
2017-11-30,16:40:00,0.0353,0.02325,0.00015,0.0228
2017-11-30,17:00:00,0.0166,5.0E-5,5.0E-5,0
2017-11-30,17:20:00,0.0166,0,0,0
2017-11-30,17:40:00,0.0166,0,0,0
2017-11-30,18:00:00,0.0166,0,0,0
2017-11-30,18:20:00,0.0166,0,0,0
2017-11-30,18:40:00,0.0166,0,0,0
2017-11-30,19:00:00,0.0166,0,0,0
2017-11-30,19:20:00,0.0166,0,0,0
2017-11-30,19:40:00,0.0166,0,0,0
2017-11-30,20:00:00,0.0166,0,0,0
2017-11-30,20:20:00,0.0166,0,0,0
2017-11-30,20:40:00,0.0166,0,0,0
2017-11-30,21:00:00,0.0166,0,0,0
2017-11-30,21:20:00,0.0166,0,0,0
2017-11-30,21:40:00,0.0166,0,0,0
2017-11-30,22:00:00,0.0166,0,0,0
2017-11-30,22:20:00,0.0166,0,0,0
2017-11-30,22:40:00,0.0166,0,0,0
2017-11-30,23:00:00,0.0166,0,0,0
2017-11-30,23:20:00,0.0166,0,0,0
2017-11-30,23:40:00,0.0166,0,0,0
