﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151446000280PV-5000W-V 1151446000280大甲台灣時規,1151446000251PV-5000W-V 1151446000251大甲台灣時規,1151446000262PV-5000W-V 1151446000262大甲台灣時規,1151446000259PV-5000W-V 1151446000259大甲台灣時規,1151446000260PV-5000W-V 1151446000260大甲台灣時規,1151446000261PV-5000W-V 1151446000261大甲台灣時規
2018-03-11,00:00:00,0,0,0,0,0,0
2018-03-11,00:20:00,0,0,0,0,0,0
2018-03-11,00:40:00,0,0,0,0,0,0
2018-03-11,01:00:00,0,0,0,0,0,0
2018-03-11,01:20:00,0,0,0,0,0,0
2018-03-11,01:40:00,0,0,0,0,0,0
2018-03-11,02:00:00,0,0,0,0,0,0
2018-03-11,02:20:00,0,0,0,0,0,0
2018-03-11,02:40:00,0,0,0,0,0,0
2018-03-11,03:00:00,0,0,0,0,0,0
2018-03-11,03:20:00,0,0,0,0,0,0
2018-03-11,03:40:00,0,0,0,0,0,0
2018-03-11,04:00:00,0,0,0,0,0,0
2018-03-11,04:20:00,0,0,0,0,0,0
2018-03-11,04:40:00,0,0,0,0,0,0
2018-03-11,05:00:00,0,0,0,0,0,0
2018-03-11,05:20:00,0,0,0,0,0,0
2018-03-11,05:40:00,0,0,0,0,0,0
2018-03-11,06:00:00,0,0.00035,0.0007,0.0001,0,0.0003
2018-03-11,06:20:00,0.0396,0.0601,0.0902,0.0643,0.0669,0.06635
2018-03-11,06:40:00,0.249,0.2123,0.41155,0.2676,0.2016,0.2614
2018-03-11,07:00:00,0.61455,0.6203,0.7816,0.51815,0.45245,0.56795
2018-03-11,07:20:00,1.0371,1.07175,1.1563,1.04735,1.0077,0.99295
2018-03-11,07:40:00,1.424,1.479,1.51615,1.4516,1.4387,1.36865
2018-03-11,08:00:00,1.7186,1.787,1.82475,1.76445,1.7529,1.67035
2018-03-11,08:20:00,2.01235,2.11245,2.1448,2.06215,2.07175,1.9645
2018-03-11,08:40:00,2.26425,2.36765,2.41145,2.31925,2.3457,2.21845
2018-03-11,09:00:00,2.5288,2.63595,2.68525,2.58875,2.62095,2.48675
2018-03-11,09:20:00,2.7288,2.8353,2.887,2.7841,2.82275,2.6878
2018-03-11,09:40:00,2.89565,3.0007,3.05275,2.94465,2.9882,2.8529
2018-03-11,10:00:00,3.08215,3.1846,3.23425,3.1214,3.16205,3.0187
2018-03-11,10:20:00,3.21465,3.31125,3.35,3.25335,3.2779,3.1366
2018-03-11,10:40:00,3.3097,3.4088,3.4485,3.35235,3.3803,3.23975
2018-03-11,11:00:00,3.43385,3.5379,3.5846,3.48045,3.5191,3.3783
2018-03-11,11:20:00,3.5003,3.59805,3.6462,3.546,3.5888,3.4451
2018-03-11,11:40:00,3.53895,3.63685,3.68045,3.58935,3.6221,3.4815
2018-03-11,12:00:00,3.539,3.6452,3.70195,3.62305,3.66075,3.5327
2018-03-11,12:20:00,3.49895,3.59565,3.64315,3.57585,3.60975,3.4872
2018-03-11,12:40:00,3.44835,3.53655,3.57625,3.52945,3.5567,3.43765
2018-03-11,13:00:00,3.36035,3.44315,3.4846,3.44945,3.46925,3.35955
2018-03-11,13:20:00,3.2419,3.3182,3.35285,3.3331,3.34545,3.24215
2018-03-11,13:40:00,3.08515,3.1491,3.17475,3.1752,3.1742,3.0792
2018-03-11,14:00:00,2.8855,2.93625,2.95375,2.96995,2.9568,2.8731
2018-03-11,14:20:00,2.6557,2.69435,2.7021,2.7394,2.71445,2.6401
2018-03-11,14:40:00,2.3963,2.4235,2.4219,2.4757,2.44135,2.3774
2018-03-11,15:00:00,2.1384,2.1502,2.1408,2.21255,2.16825,2.11215
2018-03-11,15:20:00,1.8514,1.8538,1.8386,1.91995,1.8711,1.827
2018-03-11,15:40:00,1.53055,1.52195,1.50155,1.59205,1.5423,1.43865
2018-03-11,16:00:00,1.20945,1.1927,1.1667,1.26395,1.2131,1.12255
2018-03-11,16:20:00,0.87305,0.85215,0.82475,0.9176,0.87225,0.79575
2018-03-11,16:40:00,0.5829,0.56315,0.5379,0.6192,0.5835,0.5499
2018-03-11,17:00:00,0.3308,0.32005,0.3021,0.3598,0.33795,0.32365
2018-03-11,17:20:00,0.1328,0.1426,0.1371,0.1632,0.1554,0.14865
2018-03-11,17:40:00,0.03465,0.0522,0.0525,0.06245,0.0632,0.0564
2018-03-11,18:00:00,0.0063,0.0116,0.0131,0.0199,0.02025,0.0187
2018-03-11,18:20:00,0.0029,0.00365,0.00355,0.0064,0.0063,0.00585
2018-03-11,18:40:00,0,0,0,0,0,0
2018-03-11,19:00:00,0,0,0,0,0,0
2018-03-11,19:20:00,0,0,0,0,0,0
2018-03-11,19:40:00,0,0,0,0,0,0
2018-03-11,20:00:00,0,0,0,0,0,0
2018-03-11,20:20:00,0,0,0,0,0,0
2018-03-11,20:40:00,0,0,0,0,0,0
2018-03-11,21:00:00,0,0,0,0,0,0
2018-03-11,21:20:00,0,0,0,0,0,0
2018-03-11,21:40:00,0,0,0,0,0,0
2018-03-11,22:00:00,0,0,0,0,0,0
2018-03-11,22:20:00,0,0,0,0,0,0
2018-03-11,22:40:00,0,0,0,0,0,0
2018-03-11,23:00:00,0,0,0,0,0,0
2018-03-11,23:20:00,0,0,0,0,0,0
2018-03-11,23:40:00,0,0,0,0,0,0
