﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11D1507000039PV-3000N-V 11D1507000039 國際街-01,11D1507000044PV-3000N-V 11D1507000044 國際街-02,10N1532000161PV-3000N-V 10N1532000161 國際街-03,11D1507000038PV-3000N-V 11D1507000038 國際街-04
2017-10-23,00:00:00,0,0,0,0
2017-10-23,00:20:00,0,0,0,0
2017-10-23,00:40:00,0,0,0,0
2017-10-23,01:00:00,0,0,0,0
2017-10-23,01:20:00,0,0,0,0
2017-10-23,01:40:00,0,0,0,0
2017-10-23,02:00:00,0,0,0,0
2017-10-23,02:20:00,0,0,0,0
2017-10-23,02:40:00,0,0,0,0
2017-10-23,03:00:00,0,0,0,0
2017-10-23,03:20:00,0,0,0,0
2017-10-23,03:40:00,0,0,0,0
2017-10-23,04:00:00,0,0,0,0
2017-10-23,04:20:00,0,0,0,0
2017-10-23,04:40:00,0,0,0,0
2017-10-23,05:00:00,0,0,0,0
2017-10-23,05:20:00,0,0,0,0
2017-10-23,05:40:00,0,0,0,0
2017-10-23,06:00:00,0.0123,0.00835,0.00345,0.00335
2017-10-23,06:20:00,0.08675,0.0754,0.0762,0.06665
2017-10-23,06:40:00,0.21655,0.203,0.20955,0.19965
2017-10-23,07:00:00,0.3917,0.38805,0.4018,0.3845
2017-10-23,07:20:00,0.5974,0.60515,0.62575,0.5987
2017-10-23,07:40:00,0.81005,0.82315,0.8546,0.8191
2017-10-23,08:00:00,1.0194,1.0429,1.08375,1.04255
2017-10-23,08:20:00,1.2043,1.23635,1.28605,1.23935
2017-10-23,08:40:00,1.37435,1.41395,1.47165,1.42205
2017-10-23,09:00:00,1.5197,1.5671,1.6284,1.5749
2017-10-23,09:20:00,1.65735,1.70955,1.77535,1.7164
2017-10-23,09:40:00,1.7798,1.7444,1.7215,1.8516
2017-10-23,10:00:00,1.74045,1.79055,1.8494,1.79815
2017-10-23,10:20:00,1.96255,2.02005,2.0861,2.02225
2017-10-23,10:40:00,1.94365,1.9926,2.0613,2.0035
2017-10-23,11:00:00,1.9025,1.91405,1.9656,1.92175
2017-10-23,11:20:00,2.1639,2.16085,2.2362,2.17605
2017-10-23,11:40:00,2.21505,2.16215,2.23915,2.1795
2017-10-23,12:00:00,2.21385,2.14545,2.2253,2.16725
2017-10-23,12:20:00,2.1716,2.1038,2.17915,2.1273
2017-10-23,12:40:00,2.11655,2.04845,2.1221,2.07675
2017-10-23,13:00:00,2.03345,1.8671,1.95395,1.99605
2017-10-23,13:20:00,1.92865,1.71225,1.5658,1.89875
2017-10-23,13:40:00,1.7114,1.50545,1.3806,1.8126
2017-10-23,14:00:00,1.32225,1.1234,1.2091,1.67915
2017-10-23,14:20:00,1.02635,0.813,0.97345,1.5262
2017-10-23,14:40:00,0.62165,0.61095,0.6386,1.33715
2017-10-23,15:00:00,0.29815,0.3652,0.27685,0.93605
2017-10-23,15:20:00,0.291,0.2626,0.2494,0.66345
2017-10-23,15:40:00,0.24655,0.2225,0.2113,0.36355
2017-10-23,16:00:00,0.1995,0.17815,0.16885,0.21405
2017-10-23,16:20:00,0.15,0.13365,0.1253,0.1904
2017-10-23,16:40:00,0.0908,0.08,0.07505,0.08685
2017-10-23,17:00:00,0.03205,0.0249,0.0234,0.0197
2017-10-23,17:20:00,0.00075,0.00015,0.0001,0.0001
2017-10-23,17:40:00,0,0,0,0
2017-10-23,18:00:00,0,0,0,0
2017-10-23,18:20:00,0,0,0,0
2017-10-23,18:40:00,0,0,0,0
2017-10-23,19:00:00,0,0,0,0
2017-10-23,19:20:00,0,0,0,0
2017-10-23,19:40:00,0,0,0,0
2017-10-23,20:00:00,0,0,0,0
2017-10-23,20:20:00,0,0,0,0
2017-10-23,20:40:00,0,0,0,0
2017-10-23,21:00:00,0,0,0,0
2017-10-23,21:20:00,0,0,0,0
2017-10-23,21:40:00,0,0,0,0
2017-10-23,22:00:00,0,0,0,0
2017-10-23,22:20:00,0,0,0,0
2017-10-23,22:40:00,0,0,0,0
2017-10-23,23:00:00,0,0,0,0
2017-10-23,23:20:00,0,0,0,0
2017-10-23,23:40:00,0,0,0,0
