﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10R1634000104PV-3000N-V 10R1634000104台西海產路#1,10R1634000096PV-3000N-V 10R1634000096台西海產路#2,10R1634000099PV-3000N-V 10R1634000099台西海產路#3,10R1634000079PV-3000N-V 10R1634000079台西海產路#4,10R1631000069PV-3000N-V 10R1631000069台西海產路#5,10R1634000081PV-3000N-V 10R1634000081台西海產路#6
2017-11-09,00:00:00,0,0,0,0,0,0
2017-11-09,00:20:00,0,0,0,0,0,0
2017-11-09,00:40:00,0,0,0,0,0,0
2017-11-09,01:00:00,0,0,0,0,0,0
2017-11-09,01:20:00,0,0,0,0,0,0
2017-11-09,01:40:00,0,0,0,0,0,0
2017-11-09,02:00:00,0,0,0,0,0,0
2017-11-09,02:20:00,0,0,0,0,0,0
2017-11-09,02:40:00,0,0,0,0,0,0
2017-11-09,03:00:00,0,0,0,0,0,0
2017-11-09,03:20:00,0,0,0,0,0,0
2017-11-09,03:40:00,0,0,0,0,0,0
2017-11-09,04:00:00,0,0,0,0,0,0
2017-11-09,04:20:00,0,0,0,0,0,0
2017-11-09,04:40:00,0,0,0,0,0,0
2017-11-09,05:00:00,0,0,0,0,0,0
2017-11-09,05:20:00,0,0,0,0,0,0
2017-11-09,05:40:00,0,0,0,0,0,0
2017-11-09,06:00:00,0,0,0,0,0,0
2017-11-09,06:20:00,5.0E-5,0,0,0.00125,5.0E-5,0.0001
2017-11-09,06:40:00,0.01055,0.0163,0.01745,0.0235,0.0131,0.0138
2017-11-09,07:00:00,0.0521,0.06235,0.0636,0.0706,0.05235,0.05075
2017-11-09,07:20:00,0.13675,0.1615,0.15335,0.16965,0.1309,0.1238
2017-11-09,07:40:00,0.28615,0.2913,0.31185,0.29505,0.25965,0.25435
2017-11-09,08:00:00,0.40635,0.40025,0.4375,0.404,0.362,0.35405
2017-11-09,08:20:00,0.47635,0.5661,0.51065,0.5727,0.4309,0.41035
2017-11-09,08:40:00,1.0386,0.99975,1.10645,1.01475,0.9321,0.9264
2017-11-09,09:00:00,0.95965,0.90585,1.0182,0.92015,0.83805,0.85455
2017-11-09,09:20:00,1.11775,1.1106,1.18715,1.1273,1.00465,1.0033
2017-11-09,09:40:00,1.47225,1.38,1.5618,1.41015,1.30745,1.3262
2017-11-09,10:00:00,1.5494,1.47335,1.64115,1.5071,1.3784,1.3956
2017-11-09,10:20:00,1.5316,1.42425,1.6254,1.4608,1.3596,1.3847
2017-11-09,10:40:00,1.7318,1.6479,1.83525,1.68635,1.54755,1.56495
2017-11-09,11:00:00,1.7826,1.6872,1.8858,1.7281,1.59195,1.61375
2017-11-09,11:20:00,1.7863,1.66385,1.8941,1.7065,1.5852,1.6162
2017-11-09,11:40:00,1.83565,1.69575,1.9474,1.74005,1.62945,1.65915
2017-11-09,12:00:00,1.80735,1.67455,1.9164,1.7168,1.60135,1.63255
2017-11-09,12:20:00,1.7851,1.65625,1.8912,1.697,1.5855,1.61135
2017-11-09,12:40:00,1.7339,1.5992,1.83075,1.63865,1.5324,1.5653
2017-11-09,13:00:00,1.682,1.5547,1.77575,1.5919,1.4911,1.5202
2017-11-09,13:20:00,1.59265,1.4574,1.67825,1.4882,1.4065,1.43975
2017-11-09,13:40:00,1.4955,1.35755,1.57425,1.3836,1.32095,1.3524
2017-11-09,14:00:00,1.356,1.23345,1.4251,1.2557,1.19375,1.22825
2017-11-09,14:20:00,1.24665,1.1231,1.3083,1.1399,1.0996,1.1299
2017-11-09,14:40:00,1.04385,0.93285,1.093,0.9459,0.9125,0.9435
2017-11-09,15:00:00,0.88175,0.77055,0.92225,0.77985,0.7692,0.79835
2017-11-09,15:20:00,0.67345,0.58535,0.70395,0.59105,0.58625,0.61115
2017-11-09,15:40:00,0.5162,0.4383,0.5392,0.4436,0.44685,0.4688
2017-11-09,16:00:00,0.3112,0.2338,0.3294,0.23835,0.2643,0.2837
2017-11-09,16:20:00,0.1359,0.1106,0.14685,0.11525,0.1186,0.1262
2017-11-09,16:40:00,0.05445,0.0338,0.0644,0.04115,0.0485,0.05485
2017-11-09,17:00:00,0.0027,0.00015,0.0063,0.0011,0.0027,0.00465
2017-11-09,17:20:00,0,0,0,0,0,0
2017-11-09,17:40:00,0,0,0,0,0,0
2017-11-09,18:00:00,0,0,0,0,0,0
2017-11-09,18:20:00,0,0,0,0,0,0
2017-11-09,18:40:00,0,0,0,0,0,0
2017-11-09,19:00:00,0,0,0,0,0,0
2017-11-09,19:20:00,0,0,0,0,0,0
2017-11-09,19:40:00,0,0,0,0,0,0
2017-11-09,20:00:00,0,0,0,0,0,0
2017-11-09,20:20:00,0,0,0,0,0,0
2017-11-09,20:40:00,0,0,0,0,0,0
2017-11-09,21:00:00,0,0,0,0,0,0
2017-11-09,21:20:00,0,0,0,0,0,0
2017-11-09,21:40:00,0,0,0,0,0,0
2017-11-09,22:00:00,0,0,0,0,0,0
2017-11-09,22:20:00,0,0,0,0,0,0
2017-11-09,22:40:00,0,0,0,0,0,0
2017-11-09,23:00:00,0,0,0,0,0,0
2017-11-09,23:20:00,0,0,0,0,0,0
2017-11-09,23:40:00,0,0,0,0,0,0
