﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10R1634000101PV-3000N-V 10R1634000101布袋#1,10R1634000103PV-3000N-V 10R1634000103布袋#2,10R1634000100PV-3000N-V 10R1634000100布袋#3,10R1634000089PV-3000N-V 10R1634000089布袋#4
2018-03-23,00:00:00,0,0,0,0
2018-03-23,00:20:00,0,0,0,0
2018-03-23,00:40:00,0,0,0,0
2018-03-23,01:00:00,0,0,0,0
2018-03-23,01:20:00,0,0,0,0
2018-03-23,01:40:00,0,0,0,0
2018-03-23,02:00:00,0,0,0,0
2018-03-23,02:20:00,0,0,0,0
2018-03-23,02:40:00,0,0,0,0
2018-03-23,03:00:00,0,0,0,0
2018-03-23,03:20:00,0,0,0,0
2018-03-23,03:40:00,0,0,0,0
2018-03-23,04:00:00,0,0,0,0
2018-03-23,04:20:00,0,0,0,0
2018-03-23,04:40:00,0,0,0,0
2018-03-23,05:00:00,0,0,0,0
2018-03-23,05:20:00,0,0,0,0
2018-03-23,05:40:00,0,0,0,0
2018-03-23,06:00:00,0.00285,0.00485,0.0037,0.00755
2018-03-23,06:20:00,0.0361,0.0527,0.0586,0.06565
2018-03-23,06:40:00,0.0795,0.1126,0.1332,0.1396
2018-03-23,07:00:00,0.11445,0.17165,0.21565,0.21725
2018-03-23,07:20:00,0.1427,0.2252,0.4462,0.3082
2018-03-23,07:40:00,0.1721,0.28175,0.7637,0.56555
2018-03-23,08:00:00,0.19445,0.06615,1.0152,1.01655
2018-03-23,08:20:00,0.21315,0.1391,1.3092,1.2328
2018-03-23,08:40:00,0.2357,0.01965,1.53595,1.4316
2018-03-23,09:00:00,0.2577,1.24585,1.7755,1.6098
2018-03-23,09:20:00,0.28975,1.92365,1.94855,1.75695
2018-03-23,09:40:00,0.3266,2.0669,2.0849,1.88765
2018-03-23,10:00:00,0.3692,2.2044,2.22155,2.01265
2018-03-23,10:20:00,0.3175,2.31045,2.328,2.1119
2018-03-23,10:40:00,0.57195,2.41325,2.4311,2.2091
2018-03-23,11:00:00,2.271,2.48965,2.50275,2.2841
2018-03-23,11:20:00,2.4949,2.5414,2.5537,2.32885
2018-03-23,11:40:00,2.54035,2.5742,2.5853,2.3632
2018-03-23,12:00:00,2.57385,2.5989,2.6145,2.3847
2018-03-23,12:20:00,2.5782,2.5938,2.6178,2.38955
2018-03-23,12:40:00,2.54195,2.5421,2.56715,2.3453
2018-03-23,13:00:00,2.53185,2.51615,2.53885,2.32305
2018-03-23,13:20:00,2.5046,2.4715,2.4926,2.2866
2018-03-23,13:40:00,2.44895,2.4018,2.41565,2.21565
2018-03-23,14:00:00,2.3689,2.3105,2.31885,2.13035
2018-03-23,14:20:00,2.25185,2.18235,2.18215,2.0065
2018-03-23,14:40:00,2.107,2.0306,2.02235,1.8556
2018-03-23,15:00:00,1.9402,1.8589,1.845,1.692
2018-03-23,15:20:00,1.75325,1.66735,1.6479,1.51625
2018-03-23,15:40:00,1.53,1.4446,1.4226,1.31555
2018-03-23,16:00:00,1.27385,1.1941,1.16985,1.0884
2018-03-23,16:20:00,0.98955,0.9205,0.8969,0.8387
2018-03-23,16:40:00,0.7159,0.65985,0.63045,0.5875
2018-03-23,17:00:00,0.3971,0.32735,0.24575,0.2198
2018-03-23,17:20:00,0.16725,0.1442,0.13325,0.13245
2018-03-23,17:40:00,0.06455,0.0574,0.05435,0.0548
2018-03-23,18:00:00,0.0038,0.00255,0.00275,0.0033
2018-03-23,18:20:00,0,0,0,0
2018-03-23,18:40:00,0,0,0,0
2018-03-23,19:00:00,0,0,0,0
2018-03-23,19:20:00,0,0,0,0
2018-03-23,19:40:00,0,0,0,0
2018-03-23,20:00:00,0,0,0,0
2018-03-23,20:20:00,0,0,0,0
2018-03-23,20:40:00,0,0,0,0
2018-03-23,21:00:00,0,0,0,0
2018-03-23,21:20:00,0,0,0,0
2018-03-23,21:40:00,0,0,0,0
2018-03-23,22:00:00,0,0,0,0
2018-03-23,22:20:00,0,0,0,0
2018-03-23,22:40:00,0,0,0,0
2018-03-23,23:00:00,0,0,0,0
2018-03-23,23:20:00,0,0,0,0
2018-03-23,23:40:00,0,0,0,0
