﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1438000371PV-5000W-V 10D1438000371,10D1438000369PV-5000W-V 10D1438000369,10D1438000372PV-5000W-V 10D1438000372,10D1438000373PV-5000W-V 10D1438000373,10D1438000374PV-5000W-V 10D1438000374
2018-03-22,00:00:00,0,0,0,0,0
2018-03-22,00:20:00,0,0,0,0,0
2018-03-22,00:40:00,0,0,0,0,0
2018-03-22,01:00:00,0,0,0,0,0
2018-03-22,01:20:00,0,0,0,0,0
2018-03-22,01:40:00,0,0,0,0,0
2018-03-22,02:00:00,0,0,0,0,0
2018-03-22,02:20:00,0,0,0,0,0
2018-03-22,02:40:00,0,0,0,0,0
2018-03-22,03:00:00,0,0,0,0,0
2018-03-22,03:20:00,0,0,0,0,0
2018-03-22,03:40:00,0,0,0,0,0
2018-03-22,04:00:00,0,0,0,0,0
2018-03-22,04:20:00,0,0,0,0,0
2018-03-22,04:40:00,0,0,0,0,0
2018-03-22,05:00:00,0,0,0,0,0
2018-03-22,05:20:00,0,0,0,0,0
2018-03-22,05:40:00,0,0,0,0,0
2018-03-22,06:00:00,0.02045,0.0182,0.0276,0.02935,0.02945
2018-03-22,06:20:00,0.14365,0.13805,0.15945,0.15795,0.16195
2018-03-22,06:40:00,0.37245,0.367,0.3888,0.3872,0.394
2018-03-22,07:00:00,0.6539,0.6595,0.68425,0.68375,0.6933
2018-03-22,07:20:00,1.03,1.0124,1.0334,1.0327,1.0426
2018-03-22,07:40:00,1.47595,1.44915,1.4639,1.46325,1.48585
2018-03-22,08:00:00,1.87355,1.8413,1.84895,1.85025,1.8819
2018-03-22,08:20:00,2.19525,2.16,2.16385,2.165,2.20075
2018-03-22,08:40:00,2.4821,2.44645,2.44985,2.44965,2.4922
2018-03-22,09:00:00,2.76495,2.7297,2.73005,2.73285,2.78915
2018-03-22,09:20:00,3.03745,3.0005,3.00985,3.01305,3.076
2018-03-22,09:40:00,3.2303,3.20635,3.20235,3.20435,3.27215
2018-03-22,10:00:00,3.4151,3.38815,3.38065,3.37995,3.45425
2018-03-22,10:20:00,3.5461,3.50965,3.5077,3.50965,3.5903
2018-03-22,10:40:00,3.68225,3.6475,3.64415,3.64255,3.73095
2018-03-22,11:00:00,3.82325,3.7843,3.7807,3.78075,3.88465
2018-03-22,11:20:00,3.90775,3.86325,3.87035,3.8717,3.98155
2018-03-22,11:40:00,3.98055,3.92985,3.93335,3.93765,4.0628
2018-03-22,12:00:00,4.04195,3.98185,3.9906,3.98715,4.1073
2018-03-22,12:20:00,4.0268,3.9728,3.97665,3.98195,4.10525
2018-03-22,12:40:00,4.00605,3.9474,3.9533,3.95975,4.0763
2018-03-22,13:00:00,3.9003,3.86085,3.8508,3.8696,3.9831
2018-03-22,13:20:00,3.79385,3.75995,3.7549,3.77035,3.87035
2018-03-22,13:40:00,3.67245,3.63495,3.6374,3.64465,3.732
2018-03-22,14:00:00,3.43805,3.4101,3.4064,3.4156,3.4923
2018-03-22,14:20:00,3.2617,3.23415,3.231,3.2412,3.31565
2018-03-22,14:40:00,3.01905,2.99805,2.9444,2.9955,3.0534
2018-03-22,15:00:00,2.75625,2.7413,2.73125,2.74495,2.7882
2018-03-22,15:20:00,2.4331,2.4207,2.4155,2.42655,2.45615
2018-03-22,15:40:00,2.0827,2.07515,2.0694,2.0793,2.08625
2018-03-22,16:00:00,1.6755,1.6705,1.66615,1.6786,1.68575
2018-03-22,16:20:00,1.2861,1.28855,1.2879,1.29955,1.31065
2018-03-22,16:40:00,0.91615,0.9192,0.92285,0.93135,0.93795
2018-03-22,17:00:00,0.57675,0.5774,0.58925,0.59505,0.5987
2018-03-22,17:20:00,0.29195,0.2902,0.3079,0.31055,0.313
2018-03-22,17:40:00,0.09425,0.0929,0.117,0.116,0.11825
2018-03-22,18:00:00,0.01545,0.01135,0.0264,0.02405,0.0244
2018-03-22,18:20:00,0.00745,0.005,0.01075,0.0096,0.01005
2018-03-22,18:40:00,0,0,0,0,0
2018-03-22,19:00:00,0,0,0,0,0
2018-03-22,19:20:00,0,0,0,0,0
2018-03-22,19:40:00,0,0,0,0,0
2018-03-22,20:00:00,0,0,0,0,0
2018-03-22,20:20:00,0,0,0,0,0
2018-03-22,20:40:00,0,0,0,0,0
2018-03-22,21:00:00,0,0,0,0,0
2018-03-22,21:20:00,0,0,0,0,0
2018-03-22,21:40:00,0,0,0,0,0
2018-03-22,22:00:00,0,0,0,0,0
2018-03-22,22:20:00,0,0,0,0,0
2018-03-22,22:40:00,0,0,0,0,0
2018-03-22,23:00:00,0,0,0,0,0
2018-03-22,23:20:00,0,0,0,0,0
2018-03-22,23:40:00,0,0,0,0,0
