﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000178PV-5000W-V 10D1638000178胡聰明#1,10D1636000153PV-5000W-V 10D1636000153胡聰明#2
2017-11-11,00:00:00,0,0
2017-11-11,00:20:00,0,0
2017-11-11,00:40:00,0,0
2017-11-11,01:00:00,0,0
2017-11-11,01:20:00,0,0
2017-11-11,01:40:00,0,0
2017-11-11,02:00:00,0,0
2017-11-11,02:20:00,0,0
2017-11-11,02:40:00,0,0
2017-11-11,03:00:00,0,0
2017-11-11,03:20:00,0,0
2017-11-11,03:40:00,0,0
2017-11-11,04:00:00,0,0
2017-11-11,04:20:00,0,0
2017-11-11,04:40:00,0,0
2017-11-11,05:00:00,0,0
2017-11-11,05:20:00,0,0
2017-11-11,05:40:00,0,0
2017-11-11,06:00:00,0,0
2017-11-11,06:20:00,0.00215,0.0032
2017-11-11,06:40:00,0.02765,0.0283
2017-11-11,07:00:00,0.09145,0.0971
2017-11-11,07:20:00,0.13305,0.14
2017-11-11,07:40:00,0.26745,0.2752
2017-11-11,08:00:00,0.3544,0.36275
2017-11-11,08:20:00,0.42435,0.43405
2017-11-11,08:40:00,0.2784,0.28735
2017-11-11,09:00:00,0.28565,0.29225
2017-11-11,09:20:00,0.34075,0.34585
2017-11-11,09:40:00,0.4243,0.43035
2017-11-11,10:00:00,0.3803,0.3855
2017-11-11,10:20:00,0.46275,0.47095
2017-11-11,10:40:00,0.49875,0.5075
2017-11-11,11:00:00,0.60505,0.6151
2017-11-11,11:20:00,0.6144,0.6235
2017-11-11,11:40:00,0.63595,0.64675
2017-11-11,12:00:00,0.83665,0.8458
2017-11-11,12:20:00,0.78225,0.7925
2017-11-11,12:40:00,1.3341,1.35075
2017-11-11,13:00:00,1.3235,1.3397
2017-11-11,13:20:00,1.13535,1.15725
2017-11-11,13:40:00,0.64275,0.652
2017-11-11,14:00:00,0.579,0.58395
2017-11-11,14:20:00,0.48305,0.48765
2017-11-11,14:40:00,0.3872,0.39195
2017-11-11,15:00:00,0.21515,0.22145
2017-11-11,15:20:00,0.2868,0.2953
2017-11-11,15:40:00,0.23005,0.23775
2017-11-11,16:00:00,0.05375,0.05465
2017-11-11,16:20:00,0.0045,0.0071
2017-11-11,16:40:00,0,0
2017-11-11,17:00:00,0,0
2017-11-11,17:20:00,0,0
2017-11-11,17:40:00,0,0
2017-11-11,18:00:00,0,0
2017-11-11,18:20:00,0,0
2017-11-11,18:40:00,0,0
2017-11-11,19:00:00,0,0
2017-11-11,19:20:00,0,0
2017-11-11,19:40:00,0,0
2017-11-11,20:00:00,0,0
2017-11-11,20:20:00,0,0
2017-11-11,20:40:00,0,0
2017-11-11,21:00:00,0,0
2017-11-11,21:20:00,0,0
2017-11-11,21:40:00,0,0
2017-11-11,22:00:00,0,0
2017-11-11,22:20:00,0,0
2017-11-11,22:40:00,0,0
2017-11-11,23:00:00,0,0
2017-11-11,23:20:00,0,0
2017-11-11,23:40:00,0,0
