﻿﻿﻿﻿﻿﻿﻿inDate,inTime,6151434000113PV-15000T-U 6151434000113 仁德懷恩,6151434000114PV-15000T-U 6151434000114 仁德懷恩
2018-02-24,00:00:00,0,0
2018-02-24,00:20:00,0,0
2018-02-24,00:40:00,0,0
2018-02-24,01:00:00,0,0
2018-02-24,01:20:00,0,0
2018-02-24,01:40:00,0,0
2018-02-24,02:00:00,0,0
2018-02-24,02:20:00,0,0
2018-02-24,02:40:00,0,0
2018-02-24,03:00:00,0,0
2018-02-24,03:20:00,0,0
2018-02-24,03:40:00,0,0
2018-02-24,04:00:00,0,0
2018-02-24,04:20:00,0,0
2018-02-24,04:40:00,0,0
2018-02-24,05:00:00,0,0
2018-02-24,05:20:00,0,0
2018-02-24,05:40:00,0,0
2018-02-24,06:00:00,0,0
2018-02-24,06:20:00,0,0
2018-02-24,06:40:00,0,0
2018-02-24,07:00:00,0.0089,0.008
2018-02-24,07:20:00,0.1772,0.17785
2018-02-24,07:40:00,0.1988,0.20685
2018-02-24,08:00:00,0.38295,0.3973
2018-02-24,08:20:00,0.3394,0.34725
2018-02-24,08:40:00,0.6974,0.74805
2018-02-24,09:00:00,0.69005,0.72
2018-02-24,09:20:00,1.3753,1.4522
2018-02-24,09:40:00,1.00595,1.07045
2018-02-24,10:00:00,1.27075,1.34455
2018-02-24,10:20:00,2.8498,3.00615
2018-02-24,10:40:00,2.4935,2.66435
2018-02-24,11:00:00,2.5535,2.6451
2018-02-24,11:20:00,4.228,4.32875
2018-02-24,11:40:00,4.64665,4.76055
2018-02-24,12:00:00,4.7412,4.84405
2018-02-24,12:20:00,2.99355,3.1633
2018-02-24,12:40:00,2.95995,3.1287
2018-02-24,13:00:00,2.74725,2.9056
2018-02-24,13:20:00,3.527,3.52255
2018-02-24,13:40:00,5.3455,5.46395
2018-02-24,14:00:00,3.26965,3.3857
2018-02-24,14:20:00,3.635,3.6917
2018-02-24,14:40:00,4.9362,4.9471
2018-02-24,15:00:00,7.44455,7.43995
2018-02-24,15:20:00,4.95745,5.05355
2018-02-24,15:40:00,4.11915,4.12415
2018-02-24,16:00:00,3.46775,3.72265
2018-02-24,16:20:00,2.1187,2.8443
2018-02-24,16:40:00,1.1312,1.53615
2018-02-24,17:00:00,0.58645,0.78875
2018-02-24,17:20:00,0.2179,0.25465
2018-02-24,17:40:00,0.0028,0.0041
2018-02-24,18:00:00,0,0
2018-02-24,18:20:00,0,0
2018-02-24,18:40:00,0,0
2018-02-24,19:00:00,0,0
2018-02-24,19:20:00,0,0
2018-02-24,19:40:00,0,0
2018-02-24,20:00:00,0,0
2018-02-24,20:20:00,0,0
2018-02-24,20:40:00,0,0
2018-02-24,21:00:00,0,0
2018-02-24,21:20:00,0,0
2018-02-24,21:40:00,0,0
2018-02-24,22:00:00,0,0
2018-02-24,22:20:00,0,0
2018-02-24,22:40:00,0,0
2018-02-24,23:00:00,0,0
2018-02-24,23:20:00,0,0
2018-02-24,23:40:00,0,0
