﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151416000002PV-5000W-V 1151416000002國姓林月敏一場9.12kW,1151416000003PV-5000W-V 1151416000003國姓林月敏一場
2018-03-28,00:00:00,0,0
2018-03-28,00:20:00,0,0
2018-03-28,00:40:00,0,0
2018-03-28,01:00:00,0,0
2018-03-28,01:20:00,0,0
2018-03-28,01:40:00,0,0
2018-03-28,02:00:00,0,0
2018-03-28,02:20:00,0,0
2018-03-28,02:40:00,0,0
2018-03-28,03:00:00,0,0
2018-03-28,03:20:00,0,0
2018-03-28,03:40:00,0,0
2018-03-28,04:00:00,0,0
2018-03-28,04:20:00,0,0
2018-03-28,04:40:00,0,0
2018-03-28,05:00:00,0,0
2018-03-28,05:20:00,0,0
2018-03-28,05:40:00,0,0
2018-03-28,06:00:00,0.02495,0.02515
2018-03-28,06:20:00,0.1107,0.11025
2018-03-28,06:40:00,0.26975,0.23895
2018-03-28,07:00:00,0.50115,0.4287
2018-03-28,07:20:00,0.7836,0.7267
2018-03-28,07:40:00,1.0807,1.09795
2018-03-28,08:00:00,1.36085,1.3992
2018-03-28,08:20:00,1.6586,1.71045
2018-03-28,08:40:00,1.92715,1.9955
2018-03-28,09:00:00,2.15515,2.22075
2018-03-28,09:20:00,2.3834,2.49535
2018-03-28,09:40:00,2.59375,2.70905
2018-03-28,10:00:00,2.75165,2.90315
2018-03-28,10:20:00,2.92965,3.1556
2018-03-28,10:40:00,3.075,3.3661
2018-03-28,11:00:00,3.1869,3.4986
2018-03-28,11:20:00,3.28325,3.67955
2018-03-28,11:40:00,3.392,3.9347
2018-03-28,12:00:00,3.35955,3.9163
2018-03-28,12:20:00,3.3915,3.95495
2018-03-28,12:40:00,3.40065,3.9785
2018-03-28,13:00:00,3.2322,3.7754
2018-03-28,13:20:00,3.1877,3.7381
2018-03-28,13:40:00,3.15985,3.69115
2018-03-28,14:00:00,2.9711,3.48805
2018-03-28,14:20:00,2.6975,3.23175
2018-03-28,14:40:00,2.3938,2.83955
2018-03-28,15:00:00,2.21915,2.61435
2018-03-28,15:20:00,1.9559,2.33995
2018-03-28,15:40:00,1.6611,1.9713
2018-03-28,16:00:00,1.38055,1.6404
2018-03-28,16:20:00,1.07705,1.28035
2018-03-28,16:40:00,0.66935,0.94775
2018-03-28,17:00:00,0.36315,0.5957
2018-03-28,17:20:00,0.1837,0.22355
2018-03-28,17:40:00,0.0992,0.1134
2018-03-28,18:00:00,0.0238,0.0217
2018-03-28,18:20:00,0.0109,0.0064
2018-03-28,18:40:00,0,0
2018-03-28,19:00:00,0,0
2018-03-28,19:20:00,0,0
2018-03-28,19:40:00,0,0
2018-03-28,20:00:00,0,0
2018-03-28,20:20:00,0,0
2018-03-28,20:40:00,0,0
2018-03-28,21:00:00,0,0
2018-03-28,21:20:00,0,0
2018-03-28,21:40:00,0,0
2018-03-28,22:00:00,0,0
2018-03-28,22:20:00,0,0
2018-03-28,22:40:00,0,0
2018-03-28,23:00:00,0,0
2018-03-28,23:20:00,0,0
2018-03-28,23:40:00,0,0
