﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1450000065PV-4000W-V 10L1450000065
2017-12-08,00:00:00,0
2017-12-08,00:20:00,0
2017-12-08,00:40:00,0
2017-12-08,01:00:00,0
2017-12-08,01:20:00,0
2017-12-08,01:40:00,0
2017-12-08,02:00:00,0
2017-12-08,02:20:00,0
2017-12-08,02:40:00,0
2017-12-08,03:00:00,0
2017-12-08,03:20:00,0
2017-12-08,03:40:00,0
2017-12-08,04:00:00,0
2017-12-08,04:20:00,0
2017-12-08,04:40:00,0
2017-12-08,05:00:00,0
2017-12-08,05:20:00,0
2017-12-08,05:40:00,0
2017-12-08,06:00:00,0
2017-12-08,06:20:00,0
2017-12-08,06:40:00,0.01405
2017-12-08,07:00:00,0.05785
2017-12-08,07:20:00,0.20425
2017-12-08,07:40:00,0.46945
2017-12-08,08:00:00,0.33415
2017-12-08,08:20:00,0.3935
2017-12-08,08:40:00,0.37955
2017-12-08,09:00:00,0.41785
2017-12-08,09:20:00,0.7016
2017-12-08,09:40:00,0.91805
2017-12-08,10:00:00,0.96315
2017-12-08,10:20:00,0.8252
2017-12-08,10:40:00,0.6961
2017-12-08,11:00:00,0.8007
2017-12-08,11:20:00,0.9131
2017-12-08,11:40:00,1.19675
2017-12-08,12:00:00,1.45145
2017-12-08,12:20:00,1.25785
2017-12-08,12:40:00,0.9619
2017-12-08,13:00:00,0.85905
2017-12-08,13:20:00,0.75655
2017-12-08,13:40:00,0.7161
2017-12-08,14:00:00,0.3701
2017-12-08,14:20:00,0.26615
2017-12-08,14:40:00,0.22705
2017-12-08,15:00:00,0.1588
2017-12-08,15:20:00,0.1274
2017-12-08,15:40:00,0.09065
2017-12-08,16:00:00,0.06125
2017-12-08,16:20:00,0.0387
2017-12-08,16:40:00,0.02555
2017-12-08,17:00:00,0.0104
2017-12-08,17:20:00,0
2017-12-08,17:40:00,0
2017-12-08,18:00:00,0
2017-12-08,18:20:00,0
2017-12-08,18:40:00,0
2017-12-08,19:00:00,0
2017-12-08,19:20:00,0
2017-12-08,19:40:00,0
2017-12-08,20:00:00,0
2017-12-08,20:20:00,0
2017-12-08,20:40:00,0
2017-12-08,21:00:00,0
2017-12-08,21:20:00,0
2017-12-08,21:40:00,0
2017-12-08,22:00:00,0
2017-12-08,22:20:00,0
2017-12-08,22:40:00,0
2017-12-08,23:00:00,0
2017-12-08,23:20:00,0
2017-12-08,23:40:00,0
