﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1449000272PV-3000N-V 10N1449000272國姓長福,11C1506000029PV-5000W-V 11C1506000029國姓長福,11C1506000030PV-5000W-V 11C1506000030國姓長福,11C1506000043PV-5000W-V 11C1506000043 國姓長福
2018-02-08,00:00:00,0,0,0,0
2018-02-08,00:20:00,0,0,0,0
2018-02-08,00:40:00,0,0,0,0
2018-02-08,01:00:00,0,0,0,0
2018-02-08,01:20:00,0,0,0,0
2018-02-08,01:40:00,0,0,0,0
2018-02-08,02:00:00,0,0,0,0
2018-02-08,02:20:00,0,0,0,0
2018-02-08,02:40:00,0,0,0,0
2018-02-08,03:00:00,0,0,0,0
2018-02-08,03:20:00,0,0,0,0
2018-02-08,03:40:00,0,0,0,0
2018-02-08,04:00:00,0,0,0,0
2018-02-08,04:20:00,0,0,0,0
2018-02-08,04:40:00,0,0,0,0
2018-02-08,05:00:00,0,0,0,0
2018-02-08,05:20:00,0,0,0,0
2018-02-08,05:40:00,0,0,0,0
2018-02-08,06:00:00,0,0,0,0
2018-02-08,06:20:00,0,0,0,0
2018-02-08,06:40:00,0,0.0074,0.0081,0
2018-02-08,07:00:00,0.008,0.0206,0.02125,0.01665
2018-02-08,07:20:00,0.04715,0.0676,0.0695,0.07505
2018-02-08,07:40:00,0.14575,0.21745,0.2196,0.22685
2018-02-08,08:00:00,0.20015,0.3074,0.3101,0.3166
2018-02-08,08:20:00,0.2657,0.4132,0.4165,0.42205
2018-02-08,08:40:00,0.2409,0.3725,0.37585,0.3808
2018-02-08,09:00:00,0.47375,0.75385,0.7569,0.75805
2018-02-08,09:20:00,0.40565,0.64245,0.6452,0.64735
2018-02-08,09:40:00,0.3926,0.61935,0.6245,0.6268
2018-02-08,10:00:00,0.57655,0.9198,0.92475,0.9253
2018-02-08,10:20:00,0.61835,0.98755,0.9922,0.98885
2018-02-08,10:40:00,0.5441,0.86345,0.869,0.8696
2018-02-08,11:00:00,0.60635,0.96545,0.96935,0.9694
2018-02-08,11:20:00,0.55475,0.8829,0.88735,0.88695
2018-02-08,11:40:00,0.7694,1.23035,1.23885,1.23465
2018-02-08,12:00:00,0.76165,1.21615,1.2238,1.22055
2018-02-08,12:20:00,0.7458,1.1927,1.19815,1.19625
2018-02-08,12:40:00,0.96525,1.55035,1.55545,1.5491
2018-02-08,13:00:00,0.66425,1.05965,1.0644,1.06235
2018-02-08,13:20:00,0.76615,1.22345,1.2313,1.2273
2018-02-08,13:40:00,0.6707,1.0691,1.0751,1.07185
2018-02-08,14:00:00,0.5228,0.8298,0.8347,0.8347
2018-02-08,14:20:00,0.55485,0.88205,0.8866,0.88685
2018-02-08,14:40:00,0.35145,0.5508,0.55375,0.55765
2018-02-08,15:00:00,0.2875,0.44715,0.4503,0.4558
2018-02-08,15:20:00,0.31475,0.49145,0.4957,0.49975
2018-02-08,15:40:00,0.2845,0.44275,0.4463,0.4511
2018-02-08,16:00:00,0.21845,0.3364,0.33895,0.34505
2018-02-08,16:20:00,0.1096,0.16105,0.1628,0.1708
2018-02-08,16:40:00,0.06095,0.08535,0.08915,0.0936
2018-02-08,17:00:00,0.0247,0.0429,0.0431,0.04765
2018-02-08,17:20:00,0.00825,0.01715,0.01785,0.01305
2018-02-08,17:40:00,0.0001,0.0147,0.0161,0
2018-02-08,18:00:00,0,0.0016,0.00195,0
2018-02-08,18:20:00,0,0,0,0
2018-02-08,18:40:00,0,0,0,0
2018-02-08,19:00:00,0,0,0,0
2018-02-08,19:20:00,0,0,0,0
2018-02-08,19:40:00,0,0,0,0
2018-02-08,20:00:00,0,0,0,0
2018-02-08,20:20:00,0,0,0,0
2018-02-08,20:40:00,0,0,0,0
2018-02-08,21:00:00,0,0,0,0
2018-02-08,21:20:00,0,0,0,0
2018-02-08,21:40:00,0,0,0,0
2018-02-08,22:00:00,0,0,0,0
2018-02-08,22:20:00,0,0,0,0
2018-02-08,22:40:00,0,0,0,0
2018-02-08,23:00:00,0,0,0,0
2018-02-08,23:20:00,0,0,0,0
2018-02-08,23:40:00,0,0,0,0
