﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1532000144PV-3000N-V 10N1532000144 伸港主光-01,11D1514000073PV-3000N-V 11D1514000073 伸港主光-02,11D1507000055PV-3000N-V 11D1507000055 伸港主光-03,11D1514000062PV-3000N-V 11D1514000062 伸港主光-04,11D1514000077PV-3000N-V 11D1514000077 伸港主光-05
2018-05-01,00:00:00,0,0,0,0,0
2018-05-01,00:20:00,0,0,0,0,0
2018-05-01,00:40:00,0,0,0,0,0
2018-05-01,01:00:00,0,0,0,0,0
2018-05-01,01:20:00,0,0,0,0,0
2018-05-01,01:40:00,0,0,0,0,0
2018-05-01,02:00:00,0,0,0,0,0
2018-05-01,02:20:00,0,0,0,0,0
2018-05-01,02:40:00,0,0,0,0,0
2018-05-01,03:00:00,0,0,0,0,0
2018-05-01,03:20:00,0,0,0,0,0
2018-05-01,03:40:00,0,0,0,0,0
2018-05-01,04:00:00,0,0,0,0,0
2018-05-01,04:20:00,0,0,0,0,0
2018-05-01,04:40:00,0,0,0,0,0
2018-05-01,05:00:00,0,0,0,0,0
2018-05-01,05:20:00,0,0,0,0.00715,0
2018-05-01,05:40:00,0.00145,0.05675,0.03245,0.0656,0.03335
2018-05-01,06:00:00,0.1125,0.13835,0.10895,0.13985,0.1116
2018-05-01,06:20:00,0.1743,0.192,0.1679,0.1987,0.1702
2018-05-01,06:40:00,0.242,0.25085,0.23205,0.26555,0.23255
2018-05-01,07:00:00,0.3893,0.38915,0.3782,0.4104,0.3788
2018-05-01,07:20:00,0.75415,0.76345,0.73075,0.77065,0.7468
2018-05-01,07:40:00,1.03305,1.036,0.9915,1.0337,1.01165
2018-05-01,08:00:00,1.16075,1.14645,1.11745,1.1574,1.12865
2018-05-01,08:20:00,0.9055,0.87765,0.8743,0.9107,0.87725
2018-05-01,08:40:00,1.1566,1.1187,1.1147,1.1519,1.1184
2018-05-01,09:00:00,1.0722,1.0431,1.0368,1.07285,1.0376
2018-05-01,09:20:00,1.3321,1.28355,1.2851,1.3215,1.28745
2018-05-01,09:40:00,1.1432,1.0932,1.10495,1.1416,1.10425
2018-05-01,10:00:00,1.14545,1.0972,1.10755,1.1413,1.1044
2018-05-01,10:20:00,1.55865,1.504,1.5009,1.53765,1.5026
2018-05-01,10:40:00,1.49735,1.4419,1.45765,1.49795,1.46545
2018-05-01,11:00:00,1.1916,1.1487,1.16085,1.1979,1.16255
2018-05-01,11:20:00,1.40225,1.34035,1.36365,1.39855,1.3577
2018-05-01,11:40:00,1.2886,1.2206,1.26025,1.29525,1.2526
2018-05-01,12:00:00,1.97,1.89155,1.9167,1.9525,1.9105
2018-05-01,12:20:00,1.1284,1.0735,1.1069,1.14145,1.0997
2018-05-01,12:40:00,1.94205,1.88825,1.88685,1.923,1.88305
2018-05-01,13:00:00,2.19765,2.13525,2.1383,2.1738,2.1377
2018-05-01,13:20:00,2.0782,2.0303,2.01745,2.04775,2.00915
2018-05-01,13:40:00,2.098,2.04705,2.0462,2.08025,2.04045
2018-05-01,14:00:00,2.2028,2.1584,2.15115,2.18,2.13715
2018-05-01,14:20:00,2.0314,1.9786,1.97805,2.00155,1.9537
2018-05-01,14:40:00,1.82205,1.7716,1.77885,1.8009,1.75165
2018-05-01,15:00:00,1.75825,1.71265,1.72265,1.74595,1.69775
2018-05-01,15:20:00,1.54375,1.47655,1.49775,1.5128,1.45505
2018-05-01,15:40:00,1.08325,0.97205,1.04505,1.0575,0.93085
2018-05-01,16:00:00,1.0295,0.7374,0.9909,1.00225,0.4896
2018-05-01,16:20:00,0.7622,0.56555,0.7311,0.67485,0.4736
2018-05-01,16:40:00,0.45245,0.26355,0.3396,0.2985,0.2357
2018-05-01,17:00:00,0.32055,0.22965,0.24085,0.2558,0.20445
2018-05-01,17:20:00,0.1459,0.1512,0.1357,0.16215,0.1236
2018-05-01,17:40:00,0.0731,0.0916,0.06525,0.09705,0.06135
2018-05-01,18:00:00,0.0185,0.0422,0.0139,0.04365,0.0115
2018-05-01,18:20:00,5.0E-5,0.01445,0,0.0146,0
2018-05-01,18:40:00,0,0.00605,0,0.0065,0
2018-05-01,19:00:00,0,0,0,0,0
2018-05-01,19:20:00,0,0,0,0,0
2018-05-01,19:40:00,0,0,0,0,0
2018-05-01,20:00:00,0,0,0,0,0
2018-05-01,20:20:00,0,0,0,0,0
2018-05-01,20:40:00,0,0,0,0,0
2018-05-01,21:00:00,0,0,0,0,0
2018-05-01,21:20:00,0,0,0,0,0
2018-05-01,21:40:00,0,0,0,0,0
2018-05-01,22:00:00,0,0,0,0,0
2018-05-01,22:20:00,0,0,0,0,0
2018-05-01,22:40:00,0,0,0,0,0
2018-05-01,23:00:00,0,0,0,0,0
2018-05-01,23:20:00,0,0,0,0,0
2018-05-01,23:40:00,0,0,0,0,0
