﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1449000255PV-3000N-V 10N1449000255-朴子黃任逢,10N1449000256PV-3000N-V 10N1449000256-朴子黃任逢,10N1449000257PV-3000N-V 10N1449000257-朴子黃任逢,10N1449000258PV-3000N-V 10N1449000258-朴子黃任逢,10N1449000259PV-3000N-V 10N1449000259-朴子黃任逢,10N1449000260PV-3000N-V 10N1449000260-朴子黃任逢,10N1449000262PV-3000N-V 10N1449000262-朴子黃任逢,10N1449000263PV-3000N-V 10N1449000263-朴子黃任逢,10N1449000267PV-3000N-V 10N1449000267-朴子黃任逢
2017-11-17,00:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,00:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,00:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,01:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,01:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,01:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,02:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,02:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,02:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,03:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,03:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,03:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,04:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,04:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,04:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,05:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,05:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,05:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,06:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,06:20:00,0.00495,0.0002,0,0,0,0.0001,0,0,0
2017-11-17,06:40:00,0.0303,0.01785,0.0113,0.0196,0,0.01195,0,0.01285,0.0093
2017-11-17,07:00:00,0.0694,0.05755,0.05825,0.0633,0.0545,0.0502,0.0373,0.0654,0.05235
2017-11-17,07:20:00,0.1102,0.0996,0.09725,0.1014,0.09725,0.0901,0.104,0.10755,0.0925
2017-11-17,07:40:00,0.18875,0.18005,0.17515,0.17485,0.17635,0.1668,0.18765,0.1952,0.17035
2017-11-17,08:00:00,0.2823,0.274,0.2712,0.27165,0.2674,0.25865,0.2858,0.3009,0.2615
2017-11-17,08:20:00,0.32105,0.2969,0.30925,0.3114,0.30335,0.29925,0.3235,0.34215,0.2983
2017-11-17,08:40:00,0.446,0.4363,0.43145,0.4319,0.4277,0.41775,0.4532,0.4608,0.4226
2017-11-17,09:00:00,0.6847,0.67425,0.6765,0.68865,0.65805,0.6828,0.694,0.73625,0.6563
2017-11-17,09:20:00,1.0136,0.9935,1.0899,1.0936,0.9736,1.0699,0.996,1.1962,0.96035
2017-11-17,09:40:00,1.2639,1.25505,1.4009,1.3849,1.2296,1.3712,1.28415,1.54525,1.21665
2017-11-17,10:00:00,1.38025,1.37745,1.4932,1.4623,1.3372,1.45975,1.42335,1.6362,1.33415
2017-11-17,10:20:00,1.47235,1.4616,1.5523,1.5136,1.44205,1.5316,1.50125,1.70225,1.42005
2017-11-17,10:40:00,1.5114,1.49755,1.53435,1.5249,1.47825,1.53455,1.52265,1.7124,1.4416
2017-11-17,11:00:00,1.6059,1.5895,1.6151,1.5836,1.5737,1.5886,1.62155,1.7711,1.54245
2017-11-17,11:20:00,1.6299,1.6256,1.6253,1.5831,1.5937,1.60055,1.6494,1.79975,1.55955
2017-11-17,11:40:00,1.63995,1.6523,1.6183,1.5775,1.61885,1.5906,1.6796,1.7919,1.5997
2017-11-17,12:00:00,1.5999,1.64055,1.56865,1.5359,1.6172,1.5451,1.67025,1.7205,1.58915
2017-11-17,12:20:00,1.58535,1.65825,1.5522,1.51745,1.63355,1.5265,1.68475,1.6938,1.60575
2017-11-17,12:40:00,1.5303,1.62855,1.47915,1.44585,1.5925,1.45985,1.657,1.6327,1.57265
2017-11-17,13:00:00,1.4549,1.58605,1.40325,1.37325,1.47305,1.3822,1.52815,1.5482,1.53025
2017-11-17,13:20:00,1.41145,1.55145,1.32515,1.29815,1.52545,1.30185,1.584,1.4571,1.49235
2017-11-17,13:40:00,1.2989,1.4715,1.20945,1.18115,1.4413,1.18535,1.5047,1.32545,1.4136
2017-11-17,14:00:00,1.17855,1.38205,1.08805,1.06185,1.3491,1.0684,1.4122,1.18795,1.3259
2017-11-17,14:20:00,1.00595,1.2274,0.93665,0.90605,1.19035,0.91225,1.2451,1.00795,1.1737
2017-11-17,14:40:00,0.8503,1.09815,0.78265,0.7592,1.0633,0.759,1.1132,0.83655,1.0479
2017-11-17,15:00:00,0.677,0.92295,0.6203,0.6019,0.8919,0.5983,0.93495,0.6659,0.8819
2017-11-17,15:20:00,0.51455,0.73955,0.4658,0.45315,0.71,0.44685,0.74565,0.4997,0.70775
2017-11-17,15:40:00,0.349,0.5337,0.30855,0.3032,0.512,0.29305,0.54015,0.3318,0.51115
2017-11-17,16:00:00,0.2192,0.34875,0.18915,0.1863,0.3352,0.17745,0.3557,0.20225,0.3324
2017-11-17,16:20:00,0.1296,0.202,0.10765,0.1091,0.1935,0.09865,0.20705,0.1154,0.1908
2017-11-17,16:40:00,0.05975,0.0786,0.04285,0.0467,0.0747,0.035,0.0831,0.04865,0.07365
2017-11-17,17:00:00,0.01145,0.01285,0.0041,0.0072,0.01275,0.0019,0.01565,0.00525,0.01145
2017-11-17,17:20:00,0,0,0,0,0,0,0.00015,0,0
2017-11-17,17:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,18:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,18:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,18:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,19:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,19:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,19:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,20:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,20:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,20:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,21:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,21:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,21:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,22:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,22:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,22:40:00,0,0,0,0,0,0,0,0,0
2017-11-17,23:00:00,0,0,0,0,0,0,0,0,0
2017-11-17,23:20:00,0,0,0,0,0,0,0,0,0
2017-11-17,23:40:00,0,0,0,0,0,0,0,0,0
