﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10R1634000101PV-3000N-V 10R1634000101布袋#1,10R1634000103PV-3000N-V 10R1634000103布袋#2,10R1634000100PV-3000N-V 10R1634000100布袋#3,10R1634000089PV-3000N-V 10R1634000089布袋#4
2017-11-07,00:00:00,0,0,0,0
2017-11-07,00:20:00,0,0,0,0
2017-11-07,00:40:00,0,0,0,0
2017-11-07,01:00:00,0,0,0,0
2017-11-07,01:20:00,0,0,0,0
2017-11-07,01:40:00,0,0,0,0
2017-11-07,02:00:00,0,0,0,0
2017-11-07,02:20:00,0,0,0,0
2017-11-07,02:40:00,0,0,0,0
2017-11-07,03:00:00,0,0,0,0
2017-11-07,03:20:00,0,0,0,0
2017-11-07,03:40:00,0,0,0,0
2017-11-07,04:00:00,0,0,0,0
2017-11-07,04:20:00,0,0,0,0
2017-11-07,04:40:00,0,0,0,0
2017-11-07,05:00:00,0,0,0,0
2017-11-07,05:20:00,0,0,0,0
2017-11-07,05:40:00,0,0,0,0
2017-11-07,06:00:00,0,5.0E-5,0.0001,0
2017-11-07,06:20:00,0.0119,0.018,0.01825,0.02135
2017-11-07,06:40:00,0.05575,0.08325,0.08835,0.0892
2017-11-07,07:00:00,0.09595,0.15465,0.20455,0.2089
2017-11-07,07:20:00,0.14825,0.24065,0.31045,0.31435
2017-11-07,07:40:00,0.17115,0.304,0.38415,0.47405
2017-11-07,08:00:00,0.16515,0.3113,0.6945,0.78715
2017-11-07,08:20:00,0.2165,0.43445,1.08095,1.03105
2017-11-07,08:40:00,0.23395,0.50035,1.3588,1.25985
2017-11-07,09:00:00,0.2856,1.30025,1.40595,1.31
2017-11-07,09:20:00,0.359,1.41705,1.425,1.31995
2017-11-07,09:40:00,0.3371,1.65265,1.65545,1.532
2017-11-07,10:00:00,0.28335,1.93375,1.93235,1.78205
2017-11-07,10:20:00,0.2799,2.005,2.00555,1.8495
2017-11-07,10:40:00,1.5102,2.0674,2.06605,1.9044
2017-11-07,11:00:00,2.0753,2.10635,2.10795,1.93995
2017-11-07,11:20:00,2.11675,2.14355,2.1461,1.9727
2017-11-07,11:40:00,2.12715,2.14155,2.1441,1.97125
2017-11-07,12:00:00,2.1283,2.12175,2.1272,1.95965
2017-11-07,12:20:00,2.1264,2.10005,2.10345,1.9371
2017-11-07,12:40:00,2.0894,2.0504,2.0541,1.89545
2017-11-07,13:00:00,2.03615,1.98205,1.97675,1.82
2017-11-07,13:20:00,1.9538,1.8916,1.88615,1.7399
2017-11-07,13:40:00,1.85565,1.78245,1.772,1.64035
2017-11-07,14:00:00,1.7403,1.6602,1.64385,1.52575
2017-11-07,14:20:00,1.59035,1.5072,1.4882,1.3861
2017-11-07,14:40:00,1.42805,1.3436,1.31965,1.2316
2017-11-07,15:00:00,1.2489,1.1641,1.13845,1.06925
2017-11-07,15:20:00,1.0421,0.96065,0.9329,0.87855
2017-11-07,15:40:00,0.8138,0.7403,0.71505,0.67825
2017-11-07,16:00:00,0.5733,0.51375,0.49335,0.46885
2017-11-07,16:20:00,0.3399,0.3021,0.28115,0.2739
2017-11-07,16:40:00,0.14055,0.1075,0.08925,0.08245
2017-11-07,17:00:00,0.0132,0.0087,0.0073,0.00945
2017-11-07,17:20:00,0,0,0,0
2017-11-07,17:40:00,0,0,0,0
2017-11-07,18:00:00,0,0,0,0
2017-11-07,18:20:00,0,0,0,0
2017-11-07,18:40:00,0,0,0,0
2017-11-07,19:00:00,0,0,0,0
2017-11-07,19:20:00,0,0,0,0
2017-11-07,19:40:00,0,0,0,0
2017-11-07,20:00:00,0,0,0,0
2017-11-07,20:20:00,0,0,0,0
2017-11-07,20:40:00,0,0,0,0
2017-11-07,21:00:00,0,0,0,0
2017-11-07,21:20:00,0,0,0,0
2017-11-07,21:40:00,0,0,0,0
2017-11-07,22:00:00,0,0,0,0
2017-11-07,22:20:00,0,0,0,0
2017-11-07,22:40:00,0,0,0,0
2017-11-07,23:00:00,0,0,0,0
2017-11-07,23:20:00,0,0,0,0
2017-11-07,23:40:00,0,0,0,0
