﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211739000411楊清財5-PV-3000N-V 1211739000411
2018-04-30,00:00:00,0
2018-04-30,00:20:00,0
2018-04-30,00:40:00,0
2018-04-30,01:00:00,0
2018-04-30,01:20:00,0
2018-04-30,01:40:00,0
2018-04-30,02:00:00,0
2018-04-30,02:20:00,0
2018-04-30,02:40:00,0
2018-04-30,03:00:00,0
2018-04-30,03:20:00,0
2018-04-30,03:40:00,0
2018-04-30,04:00:00,0
2018-04-30,04:20:00,0
2018-04-30,04:40:00,0
2018-04-30,05:00:00,0
2018-04-30,05:20:00,0
2018-04-30,05:40:00,5.0E-5
2018-04-30,06:00:00,0.07815
2018-04-30,06:20:00,0.1913
2018-04-30,06:40:00,0.33795
2018-04-30,07:00:00,0.5479
2018-04-30,07:20:00,0.56655
2018-04-30,07:40:00,0.8288
2018-04-30,08:00:00,0.9419
2018-04-30,08:20:00,1.02485
2018-04-30,08:40:00,1.23115
2018-04-30,09:00:00,1.4614
2018-04-30,09:20:00,1.6369
2018-04-30,09:40:00,1.7738
2018-04-30,10:00:00,1.9026
2018-04-30,10:20:00,2.0071
2018-04-30,10:40:00,2.21355
2018-04-30,11:00:00,2.2138
2018-04-30,11:20:00,2.18725
2018-04-30,11:40:00,2.06475
2018-04-30,12:00:00,2.2213
2018-04-30,12:20:00,2.10725
2018-04-30,12:40:00,2.15535
2018-04-30,13:00:00,2.3226
2018-04-30,13:20:00,2.11115
2018-04-30,13:40:00,1.864
2018-04-30,14:00:00,2.0177
2018-04-30,14:20:00,1.8981
2018-04-30,14:40:00,1.7547
2018-04-30,15:00:00,1.65675
2018-04-30,15:20:00,1.48085
2018-04-30,15:40:00,1.25625
2018-04-30,16:00:00,1.05485
2018-04-30,16:20:00,0.81445
2018-04-30,16:40:00,0.63885
2018-04-30,17:00:00,0.33445
2018-04-30,17:20:00,0.2299
2018-04-30,17:40:00,0.0885
2018-04-30,18:00:00,0.0264
2018-04-30,18:20:00,0
2018-04-30,18:40:00,0
2018-04-30,19:00:00,0
2018-04-30,19:20:00,0
2018-04-30,19:40:00,0
2018-04-30,20:00:00,0
2018-04-30,20:20:00,0
2018-04-30,20:40:00,0
2018-04-30,21:00:00,0
2018-04-30,21:20:00,0
2018-04-30,21:40:00,0
2018-04-30,22:00:00,0
2018-04-30,22:20:00,0
2018-04-30,22:40:00,0
2018-04-30,23:00:00,0
2018-04-30,23:20:00,0
2018-04-30,23:40:00,0
