﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1636000154PV-5000W-V 10D1636000154顏阿甚#1,10D1636000147PV-5000W-V 10D1636000147-六甲顏阿甚-2
2017-12-11,00:00:00,0,0
2017-12-11,00:20:00,0,0
2017-12-11,00:40:00,0,0
2017-12-11,01:00:00,0,0
2017-12-11,01:20:00,0,0
2017-12-11,01:40:00,0,0
2017-12-11,02:00:00,0,0
2017-12-11,02:20:00,0,0
2017-12-11,02:40:00,0,0
2017-12-11,03:00:00,0,0
2017-12-11,03:20:00,0,0
2017-12-11,03:40:00,0,0
2017-12-11,04:00:00,0,0
2017-12-11,04:20:00,0,0
2017-12-11,04:40:00,0,0
2017-12-11,05:00:00,0,0
2017-12-11,05:20:00,0,0
2017-12-11,05:40:00,0,0
2017-12-11,06:00:00,0,0
2017-12-11,06:20:00,0.00025,0.001
2017-12-11,06:40:00,0.03505,0.05065
2017-12-11,07:00:00,0.26545,0.27205
2017-12-11,07:20:00,0.5583,0.56135
2017-12-11,07:40:00,0.94395,0.9385
2017-12-11,08:00:00,1.3397,1.32595
2017-12-11,08:20:00,1.7608,1.7356
2017-12-11,08:40:00,2.1092,2.07325
2017-12-11,09:00:00,2.4278,2.3803
2017-12-11,09:20:00,2.69615,2.6542
2017-12-11,09:40:00,2.93825,2.8904
2017-12-11,10:00:00,3.1397,3.0763
2017-12-11,10:20:00,3.33165,3.24585
2017-12-11,10:40:00,3.4651,3.3682
2017-12-11,11:00:00,3.5489,3.4551
2017-12-11,11:20:00,3.4488,3.34575
2017-12-11,11:40:00,3.5139,3.4074
2017-12-11,12:00:00,3.58395,3.48855
2017-12-11,12:20:00,3.53125,3.43945
2017-12-11,12:40:00,3.45925,3.3532
2017-12-11,13:00:00,3.33345,3.23075
2017-12-11,13:20:00,3.2243,3.12115
2017-12-11,13:40:00,2.8435,2.75185
2017-12-11,14:00:00,2.68555,2.6011
2017-12-11,14:20:00,2.05275,1.98555
2017-12-11,14:40:00,1.19625,1.1683
2017-12-11,15:00:00,0.98385,0.9641
2017-12-11,15:20:00,1.11175,1.0897
2017-12-11,15:40:00,0.90485,0.88145
2017-12-11,16:00:00,0.38665,0.3835
2017-12-11,16:20:00,0.27455,0.2757
2017-12-11,16:40:00,0.06335,0.07495
2017-12-11,17:00:00,0.0019,0.0041
2017-12-11,17:20:00,0,0
2017-12-11,17:40:00,0,0
2017-12-11,18:00:00,0,0
2017-12-11,18:20:00,0,0
2017-12-11,18:40:00,0,0
2017-12-11,19:00:00,0,0
2017-12-11,19:20:00,0,0
2017-12-11,19:40:00,0,0
2017-12-11,20:00:00,0,0
2017-12-11,20:20:00,0,0
2017-12-11,20:40:00,0,0
2017-12-11,21:00:00,0,0
2017-12-11,21:20:00,0,0
2017-12-11,21:40:00,0,0
2017-12-11,22:00:00,0,0
2017-12-11,22:20:00,0,0
2017-12-11,22:40:00,0,0
2017-12-11,23:00:00,0,0
2017-12-11,23:20:00,0,0
2017-12-11,23:40:00,0,0
