﻿﻿﻿﻿﻿﻿﻿inDate,inTime,6151434000113PV-15000T-U 6151434000113 仁德懷恩,6151434000114PV-15000T-U 6151434000114 仁德懷恩
2018-01-10,00:00:00,0,0
2018-01-10,00:20:00,0,0
2018-01-10,00:40:00,0,0
2018-01-10,01:00:00,0,0
2018-01-10,01:20:00,0,0
2018-01-10,01:40:00,0,0
2018-01-10,02:00:00,0,0
2018-01-10,02:20:00,0,0
2018-01-10,02:40:00,0,0
2018-01-10,03:00:00,0,0
2018-01-10,03:20:00,0,0
2018-01-10,03:40:00,0,0
2018-01-10,04:00:00,0,0
2018-01-10,04:20:00,0,0
2018-01-10,04:40:00,0,0
2018-01-10,05:00:00,0,0
2018-01-10,05:20:00,0,0
2018-01-10,05:40:00,0,0
2018-01-10,06:00:00,0,0
2018-01-10,06:20:00,0,0
2018-01-10,06:40:00,0,0
2018-01-10,07:00:00,0,0
2018-01-10,07:20:00,0.0453,0.03965
2018-01-10,07:40:00,0.25355,0.26275
2018-01-10,08:00:00,0.5665,0.5943
2018-01-10,08:20:00,0.87005,0.9145
2018-01-10,08:40:00,1.5024,1.6074
2018-01-10,09:00:00,1.61425,1.72915
2018-01-10,09:20:00,2.6752,2.7485
2018-01-10,09:40:00,2.674,2.7969
2018-01-10,10:00:00,4.14145,4.04085
2018-01-10,10:20:00,5.23875,5.47355
2018-01-10,10:40:00,4.0627,4.13615
2018-01-10,11:00:00,8.08595,8.0592
2018-01-10,11:20:00,10.26445,10.20315
2018-01-10,11:40:00,6.7162,6.76895
2018-01-10,12:00:00,7.4313,7.3417
2018-01-10,12:20:00,9.0262,8.99665
2018-01-10,12:40:00,10.23215,10.2188
2018-01-10,13:00:00,7.02305,6.97535
2018-01-10,13:20:00,7.0693,7.16795
2018-01-10,13:40:00,6.267,6.2791
2018-01-10,14:00:00,6.23835,6.213
2018-01-10,14:20:00,6.32255,6.37295
2018-01-10,14:40:00,6.8291,6.83735
2018-01-10,15:00:00,5.8542,5.86755
2018-01-10,15:20:00,4.85775,4.96895
2018-01-10,15:40:00,2.68165,2.9278
2018-01-10,16:00:00,1.73595,1.8669
2018-01-10,16:20:00,0.98485,1.10215
2018-01-10,16:40:00,0.38455,0.43455
2018-01-10,17:00:00,0.09835,0.1038
2018-01-10,17:20:00,5.0E-5,0
2018-01-10,17:40:00,0,0
2018-01-10,18:00:00,0,0
2018-01-10,18:20:00,0,0
2018-01-10,18:40:00,0,0
2018-01-10,19:00:00,0,0
2018-01-10,19:20:00,0,0
2018-01-10,19:40:00,0,0
2018-01-10,20:00:00,0,0
2018-01-10,20:20:00,0,0
2018-01-10,20:40:00,0,0
2018-01-10,21:00:00,0,0
2018-01-10,21:20:00,0,0
2018-01-10,21:40:00,0,0
2018-01-10,22:00:00,0,0
2018-01-10,22:20:00,0,0
2018-01-10,22:40:00,0,0
2018-01-10,23:00:00,0,0
2018-01-10,23:20:00,0,0
2018-01-10,23:40:00,0,0
