﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151416000002PV-5000W-V 1151416000002國姓林月敏一場9.12kW,1151416000003PV-5000W-V 1151416000003國姓林月敏一場
2018-01-12,00:00:00,0,0
2018-01-12,00:20:00,0,0
2018-01-12,00:40:00,0,0
2018-01-12,01:00:00,0,0
2018-01-12,01:20:00,0,0
2018-01-12,01:40:00,0,0
2018-01-12,02:00:00,0,0
2018-01-12,02:20:00,0,0
2018-01-12,02:40:00,0,0
2018-01-12,03:00:00,0,0
2018-01-12,03:20:00,0,0
2018-01-12,03:40:00,0,0
2018-01-12,04:00:00,0,0
2018-01-12,04:20:00,0,0
2018-01-12,04:40:00,0,0
2018-01-12,05:00:00,0,0
2018-01-12,05:20:00,0,0
2018-01-12,05:40:00,0,0
2018-01-12,06:00:00,0,0
2018-01-12,06:20:00,0,0
2018-01-12,06:40:00,0.00655,0.00735
2018-01-12,07:00:00,0.07465,0.07525
2018-01-12,07:20:00,0.1769,0.1811
2018-01-12,07:40:00,0.3311,0.33925
2018-01-12,08:00:00,0.58405,0.5182
2018-01-12,08:20:00,1.0902,0.7709
2018-01-12,08:40:00,1.3554,1.15045
2018-01-12,09:00:00,1.6097,1.60735
2018-01-12,09:20:00,1.83145,1.8942
2018-01-12,09:40:00,2.0316,2.12075
2018-01-12,10:00:00,2.2315,2.34775
2018-01-12,10:20:00,2.3899,2.47845
2018-01-12,10:40:00,2.5253,2.49075
2018-01-12,11:00:00,2.6561,2.84915
2018-01-12,11:20:00,2.7526,2.959
2018-01-12,11:40:00,2.69,3.02515
2018-01-12,12:00:00,2.46245,3.09785
2018-01-12,12:20:00,2.59105,3.1408
2018-01-12,12:40:00,2.79775,3.16305
2018-01-12,13:00:00,2.6538,3.2067
2018-01-12,13:20:00,2.51365,3.126
2018-01-12,13:40:00,2.4359,2.95745
2018-01-12,14:00:00,2.24695,2.79985
2018-01-12,14:20:00,1.91785,2.5861
2018-01-12,14:40:00,1.7967,2.3534
2018-01-12,15:00:00,0.9127,2.0609
2018-01-12,15:20:00,0.35635,1.75315
2018-01-12,15:40:00,0.46905,1.4179
2018-01-12,16:00:00,0.29325,1.05535
2018-01-12,16:20:00,0.2127,0.7042
2018-01-12,16:40:00,0.14745,0.36975
2018-01-12,17:00:00,0.07725,0.1031
2018-01-12,17:20:00,0.02,0.0184
2018-01-12,17:40:00,0.0108,0.00635
2018-01-12,18:00:00,0,0
2018-01-12,18:20:00,0,0
2018-01-12,18:40:00,0,0
2018-01-12,19:00:00,0,0
2018-01-12,19:20:00,0,0
2018-01-12,19:40:00,0,0
2018-01-12,20:00:00,0,0
2018-01-12,20:20:00,0,0
2018-01-12,20:40:00,0,0
2018-01-12,21:00:00,0,0
2018-01-12,21:20:00,0,0
2018-01-12,21:40:00,0,0
2018-01-12,22:00:00,0,0
2018-01-12,22:20:00,0,0
2018-01-12,22:40:00,0,0
2018-01-12,23:00:00,0,0
2018-01-12,23:20:00,0,0
2018-01-12,23:40:00,0,0
