﻿﻿﻿﻿﻿﻿﻿inDate,inTime,61C164300023061C1643000230建泰二期,61C1643000218U 61C1643000218建泰二期,61C1643000224U 61C1643000224建泰二期,61C1643000225U 61C1643000225建泰二期,61C1643000226U 61C1643000226建泰二期,61C1643000227U 61C1643000227建泰二期,61C1643000229U 61C1643000229建泰二期
2018-01-15,00:00:00,0,0,0,0,0,0,0
2018-01-15,00:20:00,0,0,0,0,0,0,0
2018-01-15,00:40:00,0,0,0,0,0,0,0
2018-01-15,01:00:00,0,0,0,0,0,0,0
2018-01-15,01:20:00,0,0,0,0,0,0,0
2018-01-15,01:40:00,0,0,0,0,0,0,0
2018-01-15,02:00:00,0,0,0,0,0,0,0
2018-01-15,02:20:00,0,0,0,0,0,0,0
2018-01-15,02:40:00,0,0,0,0,0,0,0
2018-01-15,03:00:00,0,0,0,0,0,0,0
2018-01-15,03:20:00,0,0,0,0,0,0,0
2018-01-15,03:40:00,0,0,0,0,0,0,0
2018-01-15,04:00:00,0,0,0,0,0,0,0
2018-01-15,04:20:00,0,0,0,0,0,0,0
2018-01-15,04:40:00,0,0,0,0,0,0,0
2018-01-15,05:00:00,0,0,0,0,0,0,0
2018-01-15,05:20:00,0,0,0,0,0,0,0
2018-01-15,05:40:00,0,0,0,0,0,0,0
2018-01-15,06:00:00,0,0,0,0,0,0,0
2018-01-15,06:20:00,0,0,0,0,0,0,0
2018-01-15,06:40:00,0.09355,0.0478,0.0467,0.05405,0.0528,0.0523,0.05075
2018-01-15,07:00:00,0.45465,0.40255,0.36045,0.5073,0.5189,0.4611,0.5059
2018-01-15,07:20:00,0.94095,1.0099,0.77695,1.13105,1.14925,1.03455,1.13755
2018-01-15,07:40:00,1.5238,1.86915,1.38255,1.8857,1.9153,1.8786,1.8919
2018-01-15,08:00:00,2.70965,2.6106,2.5316,2.60695,2.6414,2.64405,2.6087
2018-01-15,08:20:00,3.37295,3.2923,3.1909,3.17775,3.1899,3.21765,3.14565
2018-01-15,08:40:00,4.2122,3.9945,4.02725,3.9098,4.0142,4.0628,3.966
2018-01-15,09:00:00,5.05555,4.80475,4.8237,4.7356,4.7979,4.8675,4.75805
2018-01-15,09:20:00,5.3869,5.09955,5.3156,5.18475,5.28895,5.32285,5.15635
2018-01-15,09:40:00,6.47855,6.171,6.22115,6.095,6.1718,6.26395,6.1253
2018-01-15,10:00:00,6.4579,6.16595,6.3046,6.2435,6.27155,6.35445,6.24945
2018-01-15,10:20:00,6.28125,6.00005,5.9859,5.92425,5.91295,6.0527,5.99415
2018-01-15,10:40:00,7.5998,7.20625,7.38045,7.2579,7.37585,7.43055,7.2874
2018-01-15,11:00:00,5.77095,5.4523,5.44075,5.453,5.4936,5.5297,5.54925
2018-01-15,11:20:00,5.09715,4.8125,4.7118,4.8092,4.78395,4.83845,4.97675
2018-01-15,11:40:00,6.96895,6.58275,6.89765,6.83695,6.8534,6.9469,6.8431
2018-01-15,12:00:00,8.2418,7.85145,7.92915,7.7508,7.85645,7.9845,7.79115
2018-01-15,12:20:00,8.1996,7.81955,7.88805,7.68695,7.774,7.90555,7.75965
2018-01-15,12:40:00,7.7582,7.3581,7.3783,7.2097,7.28915,7.39745,7.32325
2018-01-15,13:00:00,7.0717,6.7167,6.53925,6.48355,6.5843,6.6634,6.67115
2018-01-15,13:20:00,6.8785,6.60765,6.61325,6.3675,6.46365,6.5683,6.5344
2018-01-15,13:40:00,6.3393,6.0514,6.38895,6.26355,6.35945,6.4453,6.28245
2018-01-15,14:00:00,5.35995,5.08555,5.1967,5.1416,5.2137,5.25795,5.2773
2018-01-15,14:20:00,3.9764,3.74335,3.58985,3.6401,3.6375,3.6479,3.7784
2018-01-15,14:40:00,4.05535,3.84315,3.98305,3.96385,4.0085,4.0303,4.03485
2018-01-15,15:00:00,2.52285,2.39015,2.3672,2.4188,2.4496,2.43155,2.45745
2018-01-15,15:20:00,2.3835,2.2443,2.19485,2.22285,2.2498,2.23795,2.291
2018-01-15,15:40:00,1.9689,1.86355,1.84155,1.86435,1.8783,1.87325,1.89255
2018-01-15,16:00:00,1.1768,1.1243,1.1153,1.13425,1.14235,1.13325,1.14755
2018-01-15,16:20:00,0.8696,0.8362,0.82765,0.8405,0.84435,0.8377,0.85195
2018-01-15,16:40:00,0.63645,0.61665,0.61395,0.6183,0.62265,0.6221,0.62515
2018-01-15,17:00:00,0.2449,0.24525,0.24075,0.2412,0.2411,0.2413,0.2459
2018-01-15,17:20:00,0.06955,0.0955,0.05345,0.04115,0.0406,0.07125,0.0702
2018-01-15,17:40:00,0,0,0,0,0,0,0
2018-01-15,18:00:00,0,0,0,0,0,0,0
2018-01-15,18:20:00,0,0,0,0,0,0,0
2018-01-15,18:40:00,0,0,0,0,0,0,0
2018-01-15,19:00:00,0,0,0,0,0,0,0
2018-01-15,19:20:00,0,0,0,0,0,0,0
2018-01-15,19:40:00,0,0,0,0,0,0,0
2018-01-15,20:00:00,0,0,0,0,0,0,0
2018-01-15,20:20:00,0,0,0,0,0,0,0
2018-01-15,20:40:00,0,0,0,0,0,0,0
2018-01-15,21:00:00,0,0,0,0,0,0,0
2018-01-15,21:20:00,0,0,0,0,0,0,0
2018-01-15,21:40:00,0,0,0,0,0,0,0
2018-01-15,22:00:00,0,0,0,0,0,0,0
2018-01-15,22:20:00,0,0,0,0,0,0,0
2018-01-15,22:40:00,0,0,0,0,0,0,0
2018-01-15,23:00:00,0,0,0,0,0,0,0
2018-01-15,23:20:00,0,0,0,0,0,0,0
2018-01-15,23:40:00,0,0,0,0,0,0,0
