﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000178PV-5000W-V 10D1638000178胡聰明#1,10D1636000153PV-5000W-V 10D1636000153胡聰明#2
2018-01-23,00:00:00,0,0
2018-01-23,00:20:00,0,0
2018-01-23,00:40:00,0,0
2018-01-23,01:00:00,0,0
2018-01-23,01:20:00,0,0
2018-01-23,01:40:00,0,0
2018-01-23,02:00:00,0,0
2018-01-23,02:20:00,0,0
2018-01-23,02:40:00,0,0
2018-01-23,03:00:00,0,0
2018-01-23,03:20:00,0,0
2018-01-23,03:40:00,0,0
2018-01-23,04:00:00,0,0
2018-01-23,04:20:00,0,0
2018-01-23,04:40:00,0,0
2018-01-23,05:00:00,0,0
2018-01-23,05:20:00,0,0
2018-01-23,05:40:00,0,0
2018-01-23,06:00:00,0,0
2018-01-23,06:20:00,0,0
2018-01-23,06:40:00,0.0093,0.0098
2018-01-23,07:00:00,0.11065,0.1237
2018-01-23,07:20:00,0.32835,0.36265
2018-01-23,07:40:00,0.63715,0.67325
2018-01-23,08:00:00,0.93035,0.966
2018-01-23,08:20:00,1.23535,1.2774
2018-01-23,08:40:00,1.55315,1.5963
2018-01-23,09:00:00,1.8727,1.8958
2018-01-23,09:20:00,2.13955,2.16385
2018-01-23,09:40:00,2.27725,2.30145
2018-01-23,10:00:00,2.3132,2.3347
2018-01-23,10:20:00,2.68565,2.714
2018-01-23,10:40:00,2.8317,2.86165
2018-01-23,11:00:00,2.9363,2.95785
2018-01-23,11:20:00,3.0046,3.01905
2018-01-23,11:40:00,3.0185,3.04115
2018-01-23,12:00:00,3.0421,3.0526
2018-01-23,12:20:00,3.0014,3.001
2018-01-23,12:40:00,2.92275,2.9392
2018-01-23,13:00:00,2.77665,2.7807
2018-01-23,13:20:00,2.60235,2.60545
2018-01-23,13:40:00,2.46065,2.46775
2018-01-23,14:00:00,2.29955,2.31225
2018-01-23,14:20:00,2.08085,2.0901
2018-01-23,14:40:00,1.82035,1.8353
2018-01-23,15:00:00,1.54445,1.55975
2018-01-23,15:20:00,1.2473,1.26105
2018-01-23,15:40:00,0.92065,0.93225
2018-01-23,16:00:00,0.5941,0.5267
2018-01-23,16:20:00,0.34825,0.3414
2018-01-23,16:40:00,0.2175,0.2219
2018-01-23,17:00:00,0.0985,0.10545
2018-01-23,17:20:00,0.0192,0.0179
2018-01-23,17:40:00,0,0
2018-01-23,18:00:00,0,0
2018-01-23,18:20:00,0,0
2018-01-23,18:40:00,0,0
2018-01-23,19:00:00,0,0
2018-01-23,19:20:00,0,0
2018-01-23,19:40:00,0,0
2018-01-23,20:00:00,0,0
2018-01-23,20:20:00,0,0
2018-01-23,20:40:00,0,0
2018-01-23,21:00:00,0,0
2018-01-23,21:20:00,0,0
2018-01-23,21:40:00,0,0
2018-01-23,22:00:00,0,0
2018-01-23,22:20:00,0,0
2018-01-23,22:40:00,0,0
2018-01-23,23:00:00,0,0
2018-01-23,23:20:00,0,0
2018-01-23,23:40:00,0,0
