﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10R1634000104PV-3000N-V 10R1634000104台西海產路#1,10R1634000096PV-3000N-V 10R1634000096台西海產路#2,10R1634000099PV-3000N-V 10R1634000099台西海產路#3,10R1634000079PV-3000N-V 10R1634000079台西海產路#4,10R1631000069PV-3000N-V 10R1631000069台西海產路#5,10R1634000081PV-3000N-V 10R1634000081台西海產路#6
2018-01-09,00:00:00,0,0,0,0,0,0
2018-01-09,00:20:00,0,0,0,0,0,0
2018-01-09,00:40:00,0,0,0,0,0,0
2018-01-09,01:00:00,0,0,0,0,0,0
2018-01-09,01:20:00,0,0,0,0,0,0
2018-01-09,01:40:00,0,0,0,0,0,0
2018-01-09,02:00:00,0,0,0,0,0,0
2018-01-09,02:20:00,0,0,0,0,0,0
2018-01-09,02:40:00,0,0,0,0,0,0
2018-01-09,03:00:00,0,0,0,0,0,0
2018-01-09,03:20:00,0,0,0,0,0,0
2018-01-09,03:40:00,0,0,0,0,0,0
2018-01-09,04:00:00,0,0,0,0,0,0
2018-01-09,04:20:00,0,0,0,0,0,0
2018-01-09,04:40:00,0,0,0,0,0,0
2018-01-09,05:00:00,0,0,0,0,0,0
2018-01-09,05:20:00,0,0,0,0,0,0
2018-01-09,05:40:00,0,0,0,0,0,0
2018-01-09,06:00:00,0,0,0,0,0,0
2018-01-09,06:20:00,0,0,0,0,0,0
2018-01-09,06:40:00,0,0,0,0,0,0
2018-01-09,07:00:00,5.0E-5,0,0.00055,0,5.0E-5,0.0002
2018-01-09,07:20:00,0.00195,0.00115,0.0095,0.0036,0.00335,0.00545
2018-01-09,07:40:00,0.0253,0.0225,0.03545,0.0314,0.026,0.02665
2018-01-09,08:00:00,0.07145,0.0646,0.0827,0.07745,0.06585,0.0646
2018-01-09,08:20:00,0.1142,0.10475,0.1272,0.1188,0.10235,0.09875
2018-01-09,08:40:00,0.18825,0.17335,0.20635,0.1918,0.16805,0.1617
2018-01-09,09:00:00,0.1941,0.1784,0.21375,0.1976,0.175,0.16925
2018-01-09,09:20:00,0.2221,0.20425,0.2411,0.2251,0.1972,0.18955
2018-01-09,09:40:00,0.2498,0.22985,0.27175,0.2514,0.2226,0.2154
2018-01-09,10:00:00,0.3762,0.3473,0.40435,0.37805,0.33245,0.31755
2018-01-09,10:20:00,0.2399,0.22085,0.2603,0.24305,0.21205,0.2027
2018-01-09,10:40:00,0.16135,0.148,0.1776,0.16545,0.14385,0.13965
2018-01-09,11:00:00,0.32295,0.29735,0.34665,0.32435,0.284,0.2692
2018-01-09,11:20:00,0.3155,0.2905,0.33825,0.3177,0.27785,0.2634
2018-01-09,11:40:00,0.3844,0.3543,0.41255,0.38635,0.33765,0.3236
2018-01-09,12:00:00,0.2127,0.1953,0.23095,0.21625,0.1872,0.17895
2018-01-09,12:20:00,0.2039,0.18755,0.2222,0.20765,0.1806,0.17105
2018-01-09,12:40:00,0.26645,0.2452,0.2881,0.26935,0.2358,0.2233
2018-01-09,13:00:00,0.2404,0.22135,0.26065,0.24345,0.21225,0.2028
2018-01-09,13:20:00,0.2002,0.18425,0.2183,0.20425,0.17785,0.17075
2018-01-09,13:40:00,0.1554,0.14255,0.17125,0.1596,0.1388,0.13355
2018-01-09,14:00:00,0.17355,0.15935,0.1916,0.17795,0.155,0.14895
2018-01-09,14:20:00,0.13065,0.11975,0.14535,0.1356,0.11785,0.1145
2018-01-09,14:40:00,0.1173,0.10735,0.131,0.1229,0.1058,0.1023
2018-01-09,15:00:00,0.07065,0.06435,0.0827,0.0765,0.06565,0.06505
2018-01-09,15:20:00,0.0452,0.0398,0.05705,0.0522,0.04295,0.0433
2018-01-09,15:40:00,0.03505,0.0307,0.04625,0.04165,0.03355,0.03385
2018-01-09,16:00:00,0.0288,0.0251,0.03915,0.03555,0.0288,0.02865
2018-01-09,16:20:00,0.00085,0.0003,0.00545,0.0035,0.0017,0.00285
2018-01-09,16:40:00,0.0002,5.0E-5,0.00185,0.00085,0.0001,0.00035
2018-01-09,17:00:00,5.0E-5,0,0.00025,5.0E-5,0,0
2018-01-09,17:20:00,0,0,5.0E-5,0,0,0
2018-01-09,17:40:00,0,0,0,0,0,0
2018-01-09,18:00:00,0,0,0,0,0,0
2018-01-09,18:20:00,0,0,0,0,0,0
2018-01-09,18:40:00,0,0,0,0,0,0
2018-01-09,19:00:00,0,0,0,0,0,0
2018-01-09,19:20:00,0,0,0,0,0,0
2018-01-09,19:40:00,0,0,0,0,0,0
2018-01-09,20:00:00,0,0,0,0,0,0
2018-01-09,20:20:00,0,0,0,0,0,0
2018-01-09,20:40:00,0,0,0,0,0,0
2018-01-09,21:00:00,0,0,0,0,0,0
2018-01-09,21:20:00,0,0,0,0,0,0
2018-01-09,21:40:00,0,0,0,0,0,0
2018-01-09,22:00:00,0,0,0,0,0,0
2018-01-09,22:20:00,0,0,0,0,0,0
2018-01-09,22:40:00,0,0,0,0,0,0
2018-01-09,23:00:00,0,0,0,0,0,0
2018-01-09,23:20:00,0,0,0,0,0,0
2018-01-09,23:40:00,0,0,0,0,0,0
