﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1512000111四湖-1-PV-5000W-V 11C1512000111,10D1431000314四湖-2-PV-5000W-V 10D1431000314,10D1431000255四湖-3-PV-5000W-V 10D1431000255,11C1512000110四湖-4-PV-5000W-V 11C1512000110,10D1431000244四湖-5-PV-5000W-V 10D1431000244,10D1431000299四湖-6-PV-5000W-V 10D1431000299四湖-1
2018-02-20,00:00:00,0,0,0,0,0,0
2018-02-20,00:20:00,0,0,0,0,0,0
2018-02-20,00:40:00,0,0,0,0,0,0
2018-02-20,01:00:00,0,0,0,0,0,0
2018-02-20,01:20:00,0,0,0,0,0,0
2018-02-20,01:40:00,0,0,0,0,0,0
2018-02-20,02:00:00,0,0,0,0,0,0
2018-02-20,02:20:00,0,0,0,0,0,0
2018-02-20,02:40:00,0,0,0,0,0,0
2018-02-20,03:00:00,0,0,0,0,0,0
2018-02-20,03:20:00,0,0,0,0,0,0
2018-02-20,03:40:00,0,0,0,0,0,0
2018-02-20,04:00:00,0,0,0,0,0,0
2018-02-20,04:20:00,0,0,0,0,0,0
2018-02-20,04:40:00,0,0,0,0,0,0
2018-02-20,05:00:00,0,0,0,0,0,0
2018-02-20,05:20:00,0,0,0,0,0,0
2018-02-20,05:40:00,0,0,0,0,0,0
2018-02-20,06:00:00,0,0,0,0,0,0
2018-02-20,06:20:00,0,0,0,0,0,0
2018-02-20,06:40:00,0,0,0,0,0,0
2018-02-20,07:00:00,0,0,0,0,0,0
2018-02-20,07:20:00,0,0,0,0,0,0
2018-02-20,07:40:00,0,0,0,0,0,0
2018-02-20,08:00:00,0,0,0,0,0,0
2018-02-20,08:20:00,0,0,0,0,0,0
2018-02-20,08:40:00,0,0,0,0,0,0
2018-02-20,09:00:00,0,0,0,0,0,0
2018-02-20,09:20:00,0,0,0,0,0,0
2018-02-20,09:40:00,0,0,0,0,0,0
2018-02-20,10:00:00,0,0,0,0,0,0
2018-02-20,10:20:00,0,0,0,0,0,0
2018-02-20,10:40:00,0,0,0,0,0,0
2018-02-20,11:00:00,0,0,0,0,0,0
2018-02-20,11:20:00,0,0,0,0,0,0
2018-02-20,11:40:00,0,0,0,0,0,0
2018-02-20,12:00:00,0,0,0,0,0,0
2018-02-20,12:20:00,0,0,0,0,0,0
2018-02-20,12:40:00,0.3032,0.30185,0.30105,0.30205,0.29835,0.2848
2018-02-20,13:00:00,3.4917,3.48615,3.4845,3.49505,3.4619,3.30025
2018-02-20,13:20:00,3.4372,3.4339,3.4305,3.44085,3.4084,3.24635
2018-02-20,13:40:00,2.32825,2.23625,2.2208,2.3304,2.3114,2.20455
2018-02-20,14:00:00,2.3721,2.36405,2.36075,2.3523,2.33635,2.2315
2018-02-20,14:20:00,1.6798,1.67095,1.67315,1.67505,1.6609,1.58595
2018-02-20,14:40:00,1.7106,1.70165,1.7026,1.7093,1.68915,1.60925
2018-02-20,15:00:00,1.34255,1.32605,1.3332,1.33495,1.32055,1.26075
2018-02-20,15:20:00,1.03025,1.0182,1.02755,1.02855,1.01815,0.96625
2018-02-20,15:40:00,0.93515,0.9265,0.93195,0.93415,0.9196,0.8772
2018-02-20,16:00:00,0.737,0.733,0.7345,0.7346,0.7361,0.6978
2018-02-20,16:20:00,0.58435,0.57885,0.5876,0.5843,0.5829,0.5491
2018-02-20,16:40:00,0.2367,0.2405,0.2461,0.2404,0.2472,0.2262
2018-02-20,17:00:00,0.15375,0.1597,0.165,0.15685,0.1666,0.1494
2018-02-20,17:20:00,0.05375,0.07,0.07405,0.05445,0.07505,0.0619
2018-02-20,17:40:00,0.0003,0.00205,0.00295,0,0.00235,0.00195
2018-02-20,18:00:00,0,0,0,0,0,0
2018-02-20,18:20:00,0,0,0,0,0,0
2018-02-20,18:40:00,0,0,0,0,0,0
2018-02-20,19:00:00,0,0,0,0,0,0
2018-02-20,19:20:00,0,0,0,0,0,0
2018-02-20,19:40:00,0,0,0,0,0,0
2018-02-20,20:00:00,0,0,0,0,0,0
2018-02-20,20:20:00,0,0,0,0,0,0
2018-02-20,20:40:00,0,0,0,0,0,0
2018-02-20,21:00:00,0,0,0,0,0,0
2018-02-20,21:20:00,0,0,0,0,0,0
2018-02-20,21:40:00,0,0,0,0,0,0
2018-02-20,22:00:00,0,0,0,0,0,0
2018-02-20,22:20:00,0,0,0,0,0,0
2018-02-20,22:40:00,0,0,0,0,0,0
2018-02-20,23:00:00,0,0,0,0,0,0
2018-02-20,23:20:00,0,0,0,0,0,0
2018-02-20,23:40:00,0,0,0,0,0,0
