﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151453000334PV-5000W-V 1151453000334 許明和-01,1151453000338PV-5000W-V 1151453000338 許明和-02,1151453000339PV-5000W-V 1151453000339 許明和-03,1151453000333PV-5000W-V 1151453000333 許明和-04,10L1448000044PV-4000W-V 10L1448000044 許明和-05,10L1448000045PV-4000W-V 10L1448000045 許明和-06
2018-02-03,00:00:00,0,0,0,0,0,0
2018-02-03,00:20:00,0,0,0,0,0,0
2018-02-03,00:40:00,0,0,0,0,0,0
2018-02-03,01:00:00,0,0,0,0,0,0
2018-02-03,01:20:00,0,0,0,0,0,0
2018-02-03,01:40:00,0,0,0,0,0,0
2018-02-03,02:00:00,0,0,0,0,0,0
2018-02-03,02:20:00,0,0,0,0,0,0
2018-02-03,02:40:00,0,0,0,0,0,0
2018-02-03,03:00:00,0,0,0,0,0,0
2018-02-03,03:20:00,0,0,0,0,0,0
2018-02-03,03:40:00,0,0,0,0,0,0
2018-02-03,04:00:00,0,0,0,0,0,0
2018-02-03,04:20:00,0,0,0,0,0,0
2018-02-03,04:40:00,0,0,0,0,0,0
2018-02-03,05:00:00,0,0,0,0,0,0
2018-02-03,05:20:00,0,0,0,0,0,0
2018-02-03,05:40:00,0,0,0,0,0,0
2018-02-03,06:00:00,0,0,0,0,0,0
2018-02-03,06:20:00,0,0,0,0,0,0
2018-02-03,06:40:00,0.0086,0.01,0.00245,0.00715,0.0082,0.00655
2018-02-03,07:00:00,0.0272,0.03335,0.0107,0.02335,0.02945,0.0252
2018-02-03,07:20:00,0.076,0.08035,0.05215,0.0699,0.06045,0.05855
2018-02-03,07:40:00,0.1886,0.18985,0.16815,0.18385,0.1513,0.14495
2018-02-03,08:00:00,0.25405,0.2551,0.22395,0.24055,0.19565,0.18885
2018-02-03,08:20:00,0.46595,0.4657,0.418,0.4247,0.3514,0.34265
2018-02-03,08:40:00,0.84955,0.84545,0.79125,0.8054,0.65695,0.6366
2018-02-03,09:00:00,1.7648,1.7403,1.50715,1.51935,1.2527,1.20645
2018-02-03,09:20:00,2.5799,2.5252,2.48515,2.50565,2.0839,2.00815
2018-02-03,09:40:00,1.62745,1.58285,1.69935,1.72065,1.43065,1.37305
2018-02-03,10:00:00,1.9543,1.94305,1.81905,1.82595,1.5179,1.4698
2018-02-03,10:20:00,2.4586,2.39775,2.36025,2.39355,1.98985,1.919
2018-02-03,10:40:00,1.8185,1.7801,1.8149,1.83745,1.52695,1.4703
2018-02-03,11:00:00,2.4267,2.3828,2.32475,2.3375,1.9314,1.86975
2018-02-03,11:20:00,1.72765,1.701,1.69175,1.72245,1.4232,1.3698
2018-02-03,11:40:00,1.5651,1.54405,1.58125,1.59725,1.3123,1.26375
2018-02-03,12:00:00,1.64895,1.6313,1.4904,1.5041,1.23245,1.1871
2018-02-03,12:20:00,2.09375,2.06565,2.152,2.1641,1.78675,1.7272
2018-02-03,12:40:00,1.64005,1.6202,1.6077,1.615,1.3319,1.27495
2018-02-03,13:00:00,1.29105,1.27865,1.30665,1.32085,1.08345,1.03795
2018-02-03,13:20:00,1.0459,1.03825,1.0599,1.05635,0.8759,0.84395
2018-02-03,13:40:00,0.8726,0.86815,0.8789,0.8922,0.72765,0.69905
2018-02-03,14:00:00,0.57905,0.57745,0.59895,0.6128,0.4989,0.48615
2018-02-03,14:20:00,0.49205,0.4907,0.46835,0.4798,0.3916,0.3813
2018-02-03,14:40:00,0.72825,0.7263,0.71615,0.7295,0.59275,0.57445
2018-02-03,15:00:00,0.4565,0.45585,0.452,0.46925,0.379,0.36905
2018-02-03,15:20:00,0.5001,0.50035,0.47905,0.49455,0.40125,0.39015
2018-02-03,15:40:00,0.4619,0.46175,0.45745,0.4752,0.38405,0.37475
2018-02-03,16:00:00,0.31905,0.3191,0.31475,0.33165,0.26775,0.26005
2018-02-03,16:20:00,0.33575,0.33615,0.31155,0.3284,0.26455,0.2574
2018-02-03,16:40:00,0.27345,0.2746,0.30125,0.31895,0.2573,0.2498
2018-02-03,17:00:00,0.032,0.043,0.0294,0.0466,0.04585,0.0418
2018-02-03,17:20:00,0.0116,0.01395,0.0037,0.01865,0.0244,0.0201
2018-02-03,17:40:00,0.0098,0.0117,0.0035,0.0186,0.00475,0.0023
2018-02-03,18:00:00,0.00135,0.0018,0.0008,0.0047,0,0
2018-02-03,18:20:00,0,0,0,0,0,0
2018-02-03,18:40:00,0,0,0,0,0,0
2018-02-03,19:00:00,0,0,0,0,0,0
2018-02-03,19:20:00,0,0,0,0,0,0
2018-02-03,19:40:00,0,0,0,0,0,0
2018-02-03,20:00:00,0,0,0,0,0,0
2018-02-03,20:20:00,0,0,0,0,0,0
2018-02-03,20:40:00,0,0,0,0,0,0
2018-02-03,21:00:00,0,0,0,0,0,0
2018-02-03,21:20:00,0,0,0,0,0,0
2018-02-03,21:40:00,0,0,0,0,0,0
2018-02-03,22:00:00,0,0,0,0,0,0
2018-02-03,22:20:00,0,0,0,0,0,0
2018-02-03,22:40:00,0,0,0,0,0,0
2018-02-03,23:00:00,0,0,0,0,0,0
2018-02-03,23:20:00,0,0,0,0,0,0
2018-02-03,23:40:00,0,0,0,0,0,0
