﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1438000371PV-5000W-V 10D1438000371,10D1438000369PV-5000W-V 10D1438000369,10D1438000372PV-5000W-V 10D1438000372,10D1438000373PV-5000W-V 10D1438000373,10D1438000374PV-5000W-V 10D1438000374
2018-03-11,00:00:00,0,0,0,0,0
2018-03-11,00:20:00,0,0,0,0,0
2018-03-11,00:40:00,0,0,0,0,0
2018-03-11,01:00:00,0,0,0,0,0
2018-03-11,01:20:00,0,0,0,0,0
2018-03-11,01:40:00,0,0,0,0,0
2018-03-11,02:00:00,0,0,0,0,0
2018-03-11,02:20:00,0,0,0,0,0
2018-03-11,02:40:00,0,0,0,0,0
2018-03-11,03:00:00,0,0,0,0,0
2018-03-11,03:20:00,0,0,0,0,0
2018-03-11,03:40:00,0,0,0,0,0
2018-03-11,04:00:00,0,0,0,0,0
2018-03-11,04:20:00,0,0,0,0,0
2018-03-11,04:40:00,0,0,0,0,0
2018-03-11,05:00:00,0,0,0,0,0
2018-03-11,05:20:00,0,0,0,0,0
2018-03-11,05:40:00,0,0,0,0,0
2018-03-11,06:00:00,0,0,0,0.00065,0.0016
2018-03-11,06:20:00,0.0713,0.0675,0.0896,0.08935,0.0939
2018-03-11,06:40:00,0.256,0.2531,0.2775,0.27795,0.28725
2018-03-11,07:00:00,0.56125,0.56425,0.5832,0.586,0.60085
2018-03-11,07:20:00,0.9298,0.92715,0.9453,0.9502,0.9659
2018-03-11,07:40:00,1.3278,1.29965,1.32,1.31905,1.3418
2018-03-11,08:00:00,1.725,1.69015,1.7022,1.7038,1.7391
2018-03-11,08:20:00,2.085,2.04735,2.0595,2.06205,2.1049
2018-03-11,08:40:00,2.4526,2.4081,2.41185,2.4145,2.465
2018-03-11,09:00:00,2.74835,2.70285,2.70135,2.70295,2.75935
2018-03-11,09:20:00,2.99435,2.95055,2.95115,2.9534,3.01835
2018-03-11,09:40:00,3.159,3.1237,3.11825,3.1238,3.19025
2018-03-11,10:00:00,3.39155,3.3525,3.3492,3.35305,3.41805
2018-03-11,10:20:00,3.5917,3.5369,3.5447,3.5426,3.63995
2018-03-11,10:40:00,3.72665,3.67645,3.6793,3.68395,3.7882
2018-03-11,11:00:00,3.92165,3.86195,3.8652,3.87065,3.99175
2018-03-11,11:20:00,3.9778,3.9233,3.92215,3.93445,4.05745
2018-03-11,11:40:00,3.9872,3.93945,3.93595,3.94815,4.07225
2018-03-11,12:00:00,4.0713,4.00865,4.0171,4.0289,4.1484
2018-03-11,12:20:00,4.06465,3.9977,4.0098,4.01735,4.1381
2018-03-11,12:40:00,4.085,4.01215,4.0272,4.0171,4.1509
2018-03-11,13:00:00,3.9823,3.9145,3.92635,3.93245,4.0479
2018-03-11,13:20:00,3.796,3.7724,3.7714,3.7847,3.8935
2018-03-11,13:40:00,3.71685,3.6707,3.66825,3.68775,3.7876
2018-03-11,14:00:00,3.51275,3.475,3.47045,3.4882,3.5742
2018-03-11,14:20:00,3.3106,3.288,3.27335,3.296,3.3725
2018-03-11,14:40:00,3.07255,3.0501,3.0387,3.0598,3.12225
2018-03-11,15:00:00,2.76025,2.74805,2.74255,2.7625,2.81565
2018-03-11,15:20:00,2.4658,2.44915,2.44275,2.46725,2.5098
2018-03-11,15:40:00,2.1095,2.0909,2.08795,2.1097,2.1422
2018-03-11,16:00:00,1.7173,1.70095,1.70205,1.72295,1.74485
2018-03-11,16:20:00,1.33565,1.3222,1.3292,1.34765,1.3629
2018-03-11,16:40:00,0.9925,0.9826,0.99215,1.00805,1.0166
2018-03-11,17:00:00,0.6208,0.6154,0.62895,0.64015,0.6413
2018-03-11,17:20:00,0.3285,0.32375,0.34405,0.34995,0.34105
2018-03-11,17:40:00,0.0918,0.08835,0.11455,0.11485,0.11815
2018-03-11,18:00:00,0.0139,0.0099,0.02245,0.01955,0.01995
2018-03-11,18:20:00,0.00415,0.00345,0.00765,0.0057,0.0064
2018-03-11,18:40:00,0,0,0,0,0
2018-03-11,19:00:00,0,0,0,0,0
2018-03-11,19:20:00,0,0,0,0,0
2018-03-11,19:40:00,0,0,0,0,0
2018-03-11,20:00:00,0,0,0,0,0
2018-03-11,20:20:00,0,0,0,0,0
2018-03-11,20:40:00,0,0,0,0,0
2018-03-11,21:00:00,0,0,0,0,0
2018-03-11,21:20:00,0,0,0,0,0
2018-03-11,21:40:00,0,0,0,0,0
2018-03-11,22:00:00,0,0,0,0,0
2018-03-11,22:20:00,0,0,0,0,0
2018-03-11,22:40:00,0,0,0,0,0
2018-03-11,23:00:00,0,0,0,0,0
2018-03-11,23:20:00,0,0,0,0,0
2018-03-11,23:40:00,0,0,0,0,0
