﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1431000126PV-3000N-V 10N1431000126斗六廖進豐,L1344000020PV-4000W-V L1344000020斗六廖進豐
2018-03-13,00:00:00,0,0
2018-03-13,00:20:00,0,0
2018-03-13,00:40:00,0,0
2018-03-13,01:00:00,0,0
2018-03-13,01:20:00,0,0
2018-03-13,01:40:00,0,0
2018-03-13,02:00:00,0,0
2018-03-13,02:20:00,0,0
2018-03-13,02:40:00,0,0
2018-03-13,03:00:00,0,0
2018-03-13,03:20:00,0,0
2018-03-13,03:40:00,0,0
2018-03-13,04:00:00,0,0
2018-03-13,04:20:00,0,0
2018-03-13,04:40:00,0,0
2018-03-13,05:00:00,0,0
2018-03-13,05:20:00,0,0
2018-03-13,05:40:00,0,0
2018-03-13,06:00:00,0,0
2018-03-13,06:20:00,0.00895,0.0478
2018-03-13,06:40:00,0.1182,0.1637
2018-03-13,07:00:00,0.2421,0.32975
2018-03-13,07:20:00,0.4058,0.5757
2018-03-13,07:40:00,0.59365,0.84175
2018-03-13,08:00:00,0.7772,1.10695
2018-03-13,08:20:00,0.98255,1.40555
2018-03-13,08:40:00,1.17825,1.69375
2018-03-13,09:00:00,1.35045,1.9483
2018-03-13,09:20:00,1.51575,2.1876
2018-03-13,09:40:00,1.65865,2.39305
2018-03-13,10:00:00,1.8047,2.6079
2018-03-13,10:20:00,1.9013,2.75395
2018-03-13,10:40:00,1.98375,2.87835
2018-03-13,11:00:00,2.03635,2.9533
2018-03-13,11:20:00,2.0808,3.0191
2018-03-13,11:40:00,2.1179,3.0746
2018-03-13,12:00:00,2.17905,3.1599
2018-03-13,12:20:00,2.1498,3.12635
2018-03-13,12:40:00,2.10185,3.05555
2018-03-13,13:00:00,2.0431,2.973
2018-03-13,13:20:00,1.98005,2.87485
2018-03-13,13:40:00,1.8831,2.74
2018-03-13,14:00:00,1.75615,2.5531
2018-03-13,14:20:00,1.6277,2.36325
2018-03-13,14:40:00,1.4711,2.1319
2018-03-13,15:00:00,1.29505,1.87815
2018-03-13,15:20:00,1.0797,1.556
2018-03-13,15:40:00,0.93125,1.3388
2018-03-13,16:00:00,0.7392,1.0608
2018-03-13,16:20:00,0.56665,0.8067
2018-03-13,16:40:00,0.3907,0.557
2018-03-13,17:00:00,0.24805,0.34845
2018-03-13,17:20:00,0.11375,0.1608
2018-03-13,17:40:00,0.03375,0.0558
2018-03-13,18:00:00,0.00415,0.01155
2018-03-13,18:20:00,0,0
2018-03-13,18:40:00,0,0
2018-03-13,19:00:00,0,0
2018-03-13,19:20:00,0,0
2018-03-13,19:40:00,0,0
2018-03-13,20:00:00,0,0
2018-03-13,20:20:00,0,0
2018-03-13,20:40:00,0,0
2018-03-13,21:00:00,0,0
2018-03-13,21:20:00,0,0
2018-03-13,21:40:00,0,0
2018-03-13,22:00:00,0,0
2018-03-13,22:20:00,0,0
2018-03-13,22:40:00,0,0
2018-03-13,23:00:00,0,0
2018-03-13,23:20:00,0,0
2018-03-13,23:40:00,0,0
