﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211750000641彭玉蓮1-PV-3000N-V 1211750000641,1211750000636彭玉蓮2-PV-3000N-V 1211750000636,1211750000631彭玉蓮3-PV-3000N-V 1211750000631,11O1751002233彭玉蓮4-PV-5000W-HV 11O1751002233
2018-03-17,00:00:00,0,0,0,0
2018-03-17,00:20:00,0,0,0,0
2018-03-17,00:40:00,0,0,0,0
2018-03-17,01:00:00,0,0,0,0
2018-03-17,01:20:00,0,0,0,0
2018-03-17,01:40:00,0,0,0,0
2018-03-17,02:00:00,0,0,0,0
2018-03-17,02:20:00,0,0,0,0
2018-03-17,02:40:00,0,0,0,0
2018-03-17,03:00:00,0,0,0,0
2018-03-17,03:20:00,0,0,0,0
2018-03-17,03:40:00,0,0,0,0
2018-03-17,04:00:00,0,0,0,0
2018-03-17,04:20:00,0,0,0,0
2018-03-17,04:40:00,0,0,0,0
2018-03-17,05:00:00,0,0,0,0
2018-03-17,05:20:00,0,0,0,0
2018-03-17,05:40:00,0,0,0,0
2018-03-17,06:00:00,0,0,0,0
2018-03-17,06:20:00,0.0091,0,0.00385,0
2018-03-17,06:40:00,0.03795,0.0323,0.0351,0.04665
2018-03-17,07:00:00,0.0653,0.0666,0.06235,0.11925
2018-03-17,07:20:00,0.11135,0.1156,0.10925,0.20095
2018-03-17,07:40:00,0.1502,0.1581,0.14785,0.2709
2018-03-17,08:00:00,0.23695,0.25455,0.23595,0.42715
2018-03-17,08:20:00,0.3265,0.3524,0.32645,0.5867
2018-03-17,08:40:00,0.4556,0.4943,0.456,0.815
2018-03-17,09:00:00,0.40185,0.43555,0.403,0.7186
2018-03-17,09:20:00,0.5837,0.63425,0.58825,1.04535
2018-03-17,09:40:00,0.86755,0.9441,0.87325,1.56085
2018-03-17,10:00:00,0.8215,0.89265,0.82535,1.4772
2018-03-17,10:20:00,0.9285,1.00935,0.93345,1.672
2018-03-17,10:40:00,1.15655,1.2586,1.16355,2.08065
2018-03-17,11:00:00,1.33605,1.4562,1.3451,2.40375
2018-03-17,11:20:00,1.35195,1.47805,1.3675,2.4254
2018-03-17,11:40:00,1.0995,1.19895,1.10825,1.9762
2018-03-17,12:00:00,1.14315,1.24725,1.15345,2.0543
2018-03-17,12:20:00,0.8873,0.96565,0.89365,1.5943
2018-03-17,12:40:00,0.9094,0.9924,0.9178,1.63485
2018-03-17,13:00:00,0.9444,1.0264,0.94905,1.7
2018-03-17,13:20:00,0.88425,0.9637,0.8912,1.59105
2018-03-17,13:40:00,1.23,1.3435,1.2418,2.2136
2018-03-17,14:00:00,1.03675,1.1338,1.0486,1.86505
2018-03-17,14:20:00,1.1554,1.2597,1.1643,2.0779
2018-03-17,14:40:00,0.82515,0.89715,0.8306,1.48025
2018-03-17,15:00:00,0.8475,0.92065,0.85195,1.5219
2018-03-17,15:20:00,1.20235,1.3104,1.2186,2.1581
2018-03-17,15:40:00,0.85305,0.9281,0.86065,1.5268
2018-03-17,16:00:00,0.66355,0.72515,0.6707,1.18945
2018-03-17,16:20:00,0.41215,0.44685,0.41245,0.7357
2018-03-17,16:40:00,0.26945,0.29195,0.26935,0.48615
2018-03-17,17:00:00,0.17335,0.18475,0.1721,0.31325
2018-03-17,17:20:00,0.0902,0.094,0.08865,0.16425
2018-03-17,17:40:00,0.03225,0.0321,0.03005,0.0739
2018-03-17,18:00:00,0.0021,0.00125,0.00115,0.02245
2018-03-17,18:20:00,0,0,0,0.0084
2018-03-17,18:40:00,0,0,0,0
2018-03-17,19:00:00,0,0,0,0
2018-03-17,19:20:00,0,0,0,0
2018-03-17,19:40:00,0,0,0,0
2018-03-17,20:00:00,0,0,0,0
2018-03-17,20:20:00,0,0,0,0
2018-03-17,20:40:00,0,0,0,0
2018-03-17,21:00:00,0,0,0,0
2018-03-17,21:20:00,0,0,0,0
2018-03-17,21:40:00,0,0,0,0
2018-03-17,22:00:00,0,0,0,0
2018-03-17,22:20:00,0,0,0,0
2018-03-17,22:40:00,0,0,0,0
2018-03-17,23:00:00,0,0,0,0
2018-03-17,23:20:00,0,0,0,0
2018-03-17,23:40:00,0,0,0,0
