﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211739000405楊清財1-PV-3000N-V 1211739000405,1211739000407楊清財2-PV-3000N-V 1211739000407,1211739000408楊清財3-PV-3000N-V 1211739000408,1211739000410楊清財4-PV-3000N-V 1211739000410,1211739000411楊清財5-PV-3000N-V 1211739000411,1211739000415楊清財6-PV-3000N-V 1211739000415,1211739000416楊清財7-PV-3000N-V 1211739000416,1211739000417楊清財8-PV-3000N-V 1211739000417,1211739000418楊清財9-PV-3000N-V 1211739000418,1211739000419楊清財10-PV-3000N-V 1211739000419,1211739000441楊清財11-PV-3000N-V 1211739000441,1211739000442楊清財12-PV-3000N-V 1211739000442,1211739000443楊清財13-PV-3000N-V 1211739000443,1211739000444楊清財14-PV-3000N-V 1211739000444,11O1745001680楊清財15-PV-5000W-HV 11O1745001680
2018-03-26,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,00:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,00:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,01:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,01:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,02:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,02:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,03:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,03:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,04:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,04:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,05:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,05:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,06:00:00,0.01995,0.0223,0.01905,0.0111,0.00945,0.0154,0.012,0.0221,0.00825,0.0094,0.04835,0.02145,0.01375,0.01515,0.06135
2018-03-26,06:20:00,0.12905,0.1299,0.0804,0.07755,0.0702,0.1243,0.07355,0.13165,0.0794,0.0749,0.1772,0.0883,0.13,0.08015,0.22595
2018-03-26,06:40:00,0.3213,0.32225,0.16175,0.16555,0.1534,0.32165,0.1565,0.32405,0.1683,0.16725,0.37545,0.1766,0.3276,0.1638,0.54145
2018-03-26,07:00:00,0.53845,0.53995,0.2713,0.2851,0.2648,0.54595,0.268,0.5409,0.28895,0.29045,0.59875,0.29485,0.5525,0.2763,0.8893
2018-03-26,07:20:00,0.78115,0.78525,0.41725,0.44645,0.4138,0.79895,0.41415,0.7837,0.4458,0.45675,0.85065,0.4537,0.80525,0.42865,1.2886
2018-03-26,07:40:00,1.0354,1.0386,0.5802,0.62455,0.58095,1.06185,0.58305,1.0389,0.628,0.64205,1.1135,0.63315,1.06845,0.59705,1.70865
2018-03-26,08:00:00,1.2824,1.2826,0.76905,0.8329,0.7793,1.31055,0.7782,1.2836,0.83955,0.85955,1.36185,0.84215,1.3205,0.7912,2.1235
2018-03-26,08:20:00,1.4976,1.4967,0.9583,1.0416,0.97795,1.53085,0.975,1.499,1.0567,1.07545,1.5788,1.0503,1.5401,0.9903,2.4875
2018-03-26,08:40:00,1.69185,1.6879,1.13585,1.23005,1.1592,1.73045,1.1551,1.6904,1.25455,1.27625,1.7823,1.24445,1.7398,1.17355,2.81555
2018-03-26,09:00:00,1.85965,1.8563,1.3056,1.4209,1.33815,1.90755,1.32985,1.8547,1.4552,1.4759,1.9609,1.44015,1.9154,1.34935,3.1014
2018-03-26,09:20:00,1.97375,1.9721,1.4479,1.57765,1.4855,2.0262,1.4769,1.96885,1.62415,1.63805,2.0937,1.598,2.0402,1.4929,3.29175
2018-03-26,09:40:00,2.1064,2.09945,1.59725,1.7467,1.6395,2.1576,1.6323,2.09765,1.79405,1.8085,2.22635,1.76195,2.17095,1.6498,3.5214
2018-03-26,10:00:00,2.1808,2.17215,1.71555,1.8776,1.75805,2.2283,1.754,2.1699,1.92685,1.9422,2.30175,1.8899,2.24355,1.7727,3.6441
2018-03-26,10:20:00,2.12125,2.1054,1.73875,1.9098,1.78485,2.1479,1.78715,2.1085,1.9474,1.96525,2.232,1.9135,2.1738,1.8074,3.53015
2018-03-26,10:40:00,2.24675,2.22085,1.9006,2.0871,1.94655,2.26415,1.94685,2.22935,2.1082,2.1366,2.33415,2.07475,2.287,1.9717,3.757
2018-03-26,11:00:00,2.30805,2.266,1.99495,2.20135,2.0448,2.315,2.05945,2.282,2.2057,2.2402,2.37705,2.1743,2.33185,2.0798,3.86755
2018-03-26,11:20:00,2.3093,2.27105,2.03805,2.2502,2.0902,2.32265,2.1038,2.2864,2.25715,2.2894,2.37925,2.2228,2.3328,2.0983,3.87035
2018-03-26,11:40:00,2.3105,2.2762,2.076,2.2876,2.1293,2.32815,2.14195,2.2887,2.308,2.3356,2.3907,2.26865,2.3409,2.16445,3.8685
2018-03-26,12:00:00,2.27275,2.24235,2.08095,2.29715,2.1394,2.29155,2.14945,2.2536,2.32805,2.34505,2.36845,2.27995,2.311,2.17195,3.8052
2018-03-26,12:20:00,2.2764,2.24505,2.12605,2.3463,2.1877,2.2911,2.1919,2.2564,2.37215,2.3998,2.3561,2.32975,2.3094,2.21545,3.80825
2018-03-26,12:40:00,2.24255,2.20595,2.12175,2.35875,2.1912,2.2563,2.1998,2.22005,2.369,2.40355,2.308,2.33495,2.2689,2.2197,3.75795
2018-03-26,13:00:00,2.16185,2.1286,2.03075,2.3188,2.15205,2.18385,2.16255,2.1402,2.31745,2.3576,2.23535,2.29,2.19315,2.18055,3.62205
2018-03-26,13:20:00,2.0712,2.03855,1.9522,2.26805,2.10225,2.0853,2.11595,2.05055,2.27675,2.3061,2.14945,2.24065,2.1022,2.13485,3.46785
2018-03-26,13:40:00,1.98755,1.9575,1.86,2.22535,2.06095,2.00665,2.0753,1.9709,2.23575,2.26415,2.06855,2.2029,2.0192,2.0929,3.3242
2018-03-26,14:00:00,1.878,1.8523,1.7917,2.15465,1.9907,1.89575,2.00085,1.8589,2.15355,2.184,1.9404,2.1244,1.9005,2.01925,3.15345
