﻿﻿﻿﻿﻿﻿﻿inDate,inTime,Y1349000221PV-10000T-U Y1349000221水林吳有明-B,Y1349000216PV-10000T-U Y1349000216水林吳有明-B,Y1349000206PV-10000T-U Y1349000206水林吳有明-A,Y1349000195PV-10000T-U Y1349000195水林吳有明-A,Y1349000159PV-10000T-U Y1349000159水林吳有明-A,Y1345000057PV-10000T-U Y1345000057-水林106年4月7日換,K1330000029PV-10000T-U K1330000029-水林吳有明-B,60K1639000025PV-10000T-U 60K1639000025吳有明105-11-26換,Y1349000201PV-10000T-U Y1349000201水林吳有明-B,Y1349000164PV-10000T-U Y1349000164水林吳有明-B,Y1349000227PV-10000T-U Y1349000227水林吳有明-B,60K1639000013PV-10000T-U 60K1639000013水林-吳有明-B,Y1349000196PV-10000T-U Y1349000196水林吳有明-A,60K1424000100PV-10000T-U 60K1424000100水林吳有明-A,60K1438000354PV-10000T-U 60K1438000354林吳有明-A,Y1349000161PV-10000T-U Y1349000161水林吳有明-A,Y1349000213PV-10000T-U Y1349000213水林吳有明-B,Y1349000209PV-10000T-U Y1349000209水林吳有明-B,Y1349000166PV-10000T-U Y1349000166水林吳有明-B,Y1347000107PV-10000T-U Y1347000107水林吳有明-A,Y1349000203PV-10000T-U Y1349000203水林吳有明-B
2018-03-04,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,00:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,00:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,01:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,01:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,02:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,02:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,03:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,03:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,04:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,04:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,05:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,05:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,06:20:00,0.0313,0.0329,0.03165,0.03025,0.0322,0.0344,0.0367,0.03705,0.0264,0.0363,0.0341,0.0525,0.03395,0.03475,0.03835,0.03645,0.036,0.0379,0.0363,0.0353,0
2018-03-04,06:40:00,0.28565,0.28345,0.26365,0.262,0.25765,0.2897,0.27835,0.2855,0.2693,0.27455,0.2748,0.2874,0.27525,0.3002,0.2994,0.28315,0.27705,0.28165,0.27235,0.3031,0
2018-03-04,07:00:00,0.4707,0.4709,0.43275,0.42785,0.42275,0.474,0.46665,0.47895,0.44995,0.4584,0.4639,0.49525,0.463,0.5012,0.49845,0.4664,0.4656,0.47825,0.4658,0.50725,0
2018-03-04,07:20:00,0.6512,0.64865,0.60335,0.59805,0.5968,0.65885,0.5031,0.51305,0.4885,0.49,0.49835,0.5296,0.6398,0.6876,0.68625,0.6426,0.49835,0.5088,0.50115,0.5402,0
2018-03-04,07:40:00,1.9822,1.9529,1.8535,1.84395,1.8242,1.99665,2.06905,2.069,2.01335,2.02295,2.0625,2.16335,1.9279,2.0372,2.0455,1.9438,2.032,2.0278,2.0234,2.14445,0
2018-03-04,08:00:00,2.60155,2.57425,2.44545,2.43475,2.39965,2.64115,2.64365,2.66495,2.5895,2.6124,2.65735,2.78305,2.62805,2.76895,2.78825,2.65455,2.6531,2.67585,2.6551,2.80255,0
2018-03-04,08:20:00,2.27165,2.21235,2.1223,2.10465,2.07775,2.27875,1.7764,1.79645,1.74585,1.772,1.80805,1.89065,2.2879,2.40355,2.42025,2.30785,1.80905,1.83245,1.80905,1.90925,0
2018-03-04,08:40:00,2.2987,2.24475,2.14435,2.1304,2.10865,2.3142,2.36925,2.397,2.3303,2.3638,2.41055,2.52015,2.3314,2.4555,2.47085,2.35655,2.42355,2.46295,2.43065,2.56365,0
2018-03-04,09:00:00,2.5995,2.53655,2.4325,2.4236,2.4037,2.63295,2.6589,2.6917,2.6245,2.66715,2.72195,2.84865,2.62575,2.7647,2.7916,2.6716,2.702,2.7462,2.71175,2.8607,0
2018-03-04,09:20:00,4.59595,4.44635,4.32915,4.30035,4.2843,4.5918,3.49805,3.53025,3.4793,3.54815,3.6076,3.7174,4.60345,4.76075,4.7906,4.64475,3.5465,3.59785,3.54465,3.67125,0.8948
2018-03-04,09:40:00,5.145,4.9776,4.8697,4.83145,4.8357,5.15345,5.16865,5.22175,5.16485,5.26785,5.36185,5.5263,5.17325,5.3129,5.37935,5.2289,5.26675,5.34265,5.27935,5.4657,5.2873
2018-03-04,10:00:00,6.0138,5.83935,5.74605,5.07955,5.7132,6.03495,5.7621,5.8146,5.7761,5.8941,5.99315,6.14235,6.10575,6.206,6.30445,6.1605,5.896,5.98915,5.936,6.1141,5.74265
2018-03-04,10:20:00,3.48885,3.36645,3.22695,2.87565,3.18955,3.46,3.4405,3.46935,3.3951,3.44625,3.5083,3.6583,3.49125,3.6044,3.6484,3.50585,3.50955,3.57105,3.52875,3.69885,3.59675
2018-03-04,10:40:00,2.96315,2.8646,2.7392,2.63885,2.69815,2.9377,2.8056,2.82965,2.76435,2.79805,2.8537,2.99015,2.97435,3.0807,3.11635,2.98005,2.86725,2.92375,2.8913,3.0433,2.93955
2018-03-04,11:00:00,2.91685,2.8195,2.7045,2.67165,2.66635,2.90485,2.9853,3.00985,2.94255,2.97575,3.03485,3.17455,2.96705,3.0706,3.10135,2.9641,3.0625,3.121,3.0855,3.2384,3.12845
2018-03-04,11:20:00,3.8315,3.70635,3.5764,3.54005,3.5351,3.81595,3.9504,3.982,3.91665,3.96755,4.04075,4.1967,3.86505,3.9786,4.02235,3.87185,4.0204,4.09965,4.05535,4.2257,4.1345
2018-03-04,11:40:00,4.56285,4.4112,4.2853,4.2334,4.22285,4.5113,4.29355,4.3231,4.275,4.3332,4.4083,4.5398,4.5635,4.6578,4.70315,4.5521,4.3574,4.43705,4.39715,4.558,4.498
2018-03-04,12:00:00,4.09455,3.9449,3.8205,3.77865,3.7643,4.0514,4.2442,4.2731,4.21275,4.26575,4.34625,4.50535,4.11165,4.21685,4.24895,4.0945,4.2953,4.377,4.33815,4.5026,4.4269
2018-03-04,12:20:00,4.65775,4.4848,4.36745,4.32325,4.30675,4.59735,4.676,4.70475,4.6407,4.71405,4.7901,4.947,4.68485,4.7777,4.8145,4.64485,4.75145,4.82115,4.78785,4.94115,4.8855
2018-03-04,12:40:00,4.65265,4.46905,4.3481,4.3077,4.2976,4.59725,4.455,4.4901,4.43065,4.49245,4.56405,4.73185,4.6781,4.7703,4.81265,4.64255,4.52465,4.6087,4.57195,4.73095,4.66545
2018-03-04,13:00:00,3.9555,3.80865,3.69185,3.649,3.63645,3.9115,3.81565,3.84365,3.7806,3.8255,3.8953,4.05845,3.9995,4.0892,4.12215,3.9627,3.88025,3.94925,3.92005,4.07795,3.997
2018-03-04,13:20:00,3.7742,3.63425,3.5169,3.4767,3.4706,3.74835,3.72985,3.75915,3.6895,3.73575,3.8067,3.9699,3.80505,3.91055,3.9451,3.7916,3.7825,3.85035,3.82295,3.98715,3.9129
2018-03-04,13:40:00,3.7694,3.6281,3.5111,3.46875,3.4588,3.7315,3.6705,3.6956,3.63165,3.67235,3.7397,3.8987,3.7901,3.89275,3.9222,3.76455,3.7155,3.78285,3.75445,3.90695,3.82635
2018-03-04,14:00:00,3.67815,3.5491,3.4322,3.3869,3.3785,3.6519,3.8257,3.85555,3.7917,3.83365,3.9043,4.0666,3.6937,3.8037,3.83255,3.6771,3.86425,3.93675,3.90275,4.06015,3.9983
2018-03-04,14:20:00,3.94255,3.8102,3.69365,3.65265,3.6479,3.9283,3.81215,3.8376,3.781,3.8359,3.92415,4.0895,3.9851,4.0823,4.12725,3.98365,3.89935,3.9647,3.94025,4.1064,4.0604
2018-03-04,14:40:00,3.452,3.35005,3.2336,3.18755,3.18105,3.4308,3.42275,3.45105,3.39295,3.4337,3.4997,3.6519,3.5181,3.62615,3.66405,3.51465,3.5135,3.58285,3.54555,3.69785,3.61885
2018-03-04,15:00:00,3.467,3.3793,3.2701,3.2174,3.21195,3.46465,3.2546,3.2859,3.23015,3.27405,3.32395,3.4701,3.56245,3.6859,3.7221,3.58045,3.3728,3.4438,3.41135,3.55605,3.44915
2018-03-04,15:20:00,2.49045,2.4265,2.31635,2.2783,2.2611,2.4747,2.4803,2.49685,2.4379,2.456,2.47825,2.61815,2.52895,2.62885,2.64485,2.52015,2.5382,2.58185,2.54485,2.6698,2.57475
2018-03-04,15:40:00,2.31975,2.26495,2.16345,2.123,2.1118,2.30795,2.19875,2.214,2.15745,2.1791,2.21975,2.33235,2.3635,2.46035,2.47465,2.3619,2.24975,2.28725,2.25905,2.37355,2.29985
2018-03-04,16:00:00,1.53815,1.501,1.41895,1.3893,1.38055,1.52135,1.4124,1.42155,1.37785,1.38295,1.4136,1.48645,1.5617,1.6346,1.63705,1.54955,1.4409,1.46255,1.43965,1.5232,1.4515
2018-03-04,16:20:00,1.11815,1.09615,1.03,1.0172,1.01595,1.12585,1.0915,1.107,1.07235,1.0818,1.1076,1.1722,1.13355,1.20035,1.20605,1.14435,1.1094,1.13405,1.1227,1.1968,1.14575
2018-03-04,16:40:00,1.47195,1.45165,1.37825,1.35185,1.34275,1.49025,1.53,1.55505,1.5143,1.5218,1.56025,1.6461,1.4841,1.5483,1.583,1.5089,1.5537,1.5855,1.56595,1.65815,1.60055
2018-03-04,17:00:00,0.7742,0.77055,0.72485,0.71235,0.71585,0.79395,0.6642,0.67915,0.6515,0.6683,0.6825,0.7339,0.78735,0.84255,0.8533,0.8096,0.6758,0.69695,0.6888,0.7427,0.71455
2018-03-04,17:20:00,0.27275,0.26935,0.2519,0.24895,0.2463,0.27985,0.26755,0.2711,0.25555,0.26435,0.26965,0.2802,0.2696,0.2927,0.29115,0.27845,0.2673,0.27255,0.2689,0.29525,0.2772
2018-03-04,17:40:00,0.1122,0.16015,0.12225,0.0991,0.1204,0.10525,0.12435,0.15065,0.10765,0.128,0.092,0.1481,0.1393,0.1273,0.1103,0.1136,0.1045,0.1283,0.0932,0.1011,0.0927
2018-03-04,18:00:00,0,0,0,0,0,0,0,0.00735,0,0,0,0.0302,0,0,0,0,0,0,0,0,0
2018-03-04,18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,18:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,19:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,19:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,20:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,20:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,21:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,21:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,22:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,22:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,23:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-04,23:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
