﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1442000033PV-4000W-V 10L1442000033內門蔡宗憲,10D1438000336PV-5000W-V 10D1438000336 內門蔡宗憲,10D1431000287PV-5000W-V 10D1431000287內門蔡宗憲
2018-03-07,00:00:00,0,0,0
2018-03-07,00:20:00,0,0,0
2018-03-07,00:40:00,0,0,0
2018-03-07,01:00:00,0,0,0
2018-03-07,01:20:00,0,0,0
2018-03-07,01:40:00,0,0,0
2018-03-07,02:00:00,0,0,0
2018-03-07,02:20:00,0,0,0
2018-03-07,02:40:00,0,0,0
2018-03-07,03:00:00,0,0,0
2018-03-07,03:20:00,0,0,0
2018-03-07,03:40:00,0,0,0
2018-03-07,04:00:00,0,0,0
2018-03-07,04:20:00,0,0,0
2018-03-07,04:40:00,0,0,0
2018-03-07,05:00:00,0,0,0
2018-03-07,05:20:00,0,0,0
2018-03-07,05:40:00,0,0,0
2018-03-07,06:00:00,0,0,0
2018-03-07,06:20:00,0.0064,0.0132,0.00895
2018-03-07,06:40:00,0.0544,0.0656,0.0568
2018-03-07,07:00:00,0.1058,0.1205,0.11245
2018-03-07,07:20:00,0.24415,0.30215,0.30535
2018-03-07,07:40:00,0.5665,0.6753,0.69075
2018-03-07,08:00:00,0.95215,0.9541,1.06795
2018-03-07,08:20:00,0.9116,0.9587,1.0317
2018-03-07,08:40:00,0.9115,0.87225,0.9853
2018-03-07,09:00:00,0.84095,0.86365,0.93725
2018-03-07,09:20:00,0.9359,0.9947,1.0716
2018-03-07,09:40:00,1.48935,1.6315,1.74295
2018-03-07,10:00:00,1.7327,1.72945,1.93085
2018-03-07,10:20:00,1.3614,1.2476,1.4104
2018-03-07,10:40:00,1.05235,1.0251,1.1323
2018-03-07,11:00:00,1.3752,1.68935,1.76635
2018-03-07,11:20:00,1.48345,1.20625,1.4353
2018-03-07,11:40:00,1.43135,1.53035,1.6684
2018-03-07,12:00:00,1.35875,1.24355,1.3922
2018-03-07,12:20:00,1.02005,1.0042,1.1274
2018-03-07,12:40:00,1.1416,1.2737,1.3521
2018-03-07,13:00:00,1.5691,1.5365,1.71975
2018-03-07,13:20:00,0.9985,1.0095,1.0897
2018-03-07,13:40:00,1.64085,1.7773,1.9343
2018-03-07,14:00:00,2.4018,2.5914,2.82345
2018-03-07,14:20:00,2.24895,2.3532,2.50625
2018-03-07,14:40:00,2.09875,1.5814,1.9286
2018-03-07,15:00:00,1.1442,1.35585,1.3756
2018-03-07,15:20:00,1.6376,1.57355,1.8382
2018-03-07,15:40:00,1.2894,1.1885,1.3127
2018-03-07,16:00:00,0.8886,0.9043,0.97595
2018-03-07,16:20:00,1.06125,1.0777,1.2167
2018-03-07,16:40:00,0.62775,0.4144,0.53195
2018-03-07,17:00:00,0.3522,0.3822,0.40885
2018-03-07,17:20:00,0.2551,0.17975,0.21775
2018-03-07,17:40:00,0.0417,0.02245,0.0227
2018-03-07,18:00:00,0.00655,0.0111,0.0106
2018-03-07,18:20:00,0,0.0021,0.003
2018-03-07,18:40:00,0,0,0
2018-03-07,19:00:00,0,0,0
2018-03-07,19:20:00,0,0,0
2018-03-07,19:40:00,0,0,0
2018-03-07,20:00:00,0,0,0
2018-03-07,20:20:00,0,0,0
2018-03-07,20:40:00,0,0,0
2018-03-07,21:00:00,0,0,0
2018-03-07,21:20:00,0,0,0
2018-03-07,21:40:00,0,0,0
2018-03-07,22:00:00,0,0,0
2018-03-07,22:20:00,0,0,0
2018-03-07,22:40:00,0,0,0
2018-03-07,23:00:00,0,0,0
2018-03-07,23:20:00,0,0,0
2018-03-07,23:40:00,0,0,0
