﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1525000225沙田路-01_無Cap 關AFD,11C1525000202沙田路-02_加Cap 開AFD,11C1520000140沙田路-03_加Cap 開AFD,11C1520000179沙田路-04_加Cap 關AFD,11C1525000201沙田路-05_加Cap 關AFD,11C1520000174沙田路-06_無Cap 關AFD,11D1507000056PV-3000N-V 11D1507000056 沙田路-07,11D1507000013PV-3000N-V 11D1507000013 沙田路-08,11D1507000050PV-3000N-V 11D1507000050 沙田路-09,11D1507000059PV-3000N-V 11D1507000059 沙田路-10,11D1507000060PV-3000N-V 11D1507000060 沙田路-11,11D1507000004PV-3000N-V 11D1507000004 沙田路-12
2018-03-08,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,00:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,00:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,01:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,01:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,02:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,02:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,03:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,03:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,04:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,04:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,05:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,05:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,06:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,06:20:00,5.0E-5,5.0E-5,5.0E-5,0.00015,0.0001,0.00015,0.0003,0.00115,0,0.0009,5.0E-5,0.0008
2018-03-08,06:40:00,0.039,0.0498,0.05065,0.04005,0.04265,0.04995,0.01245,0.02125,0.00835,0.0216,0.01055,0.0218
2018-03-08,07:00:00,0.0525,0.07025,0.07125,0.06105,0.059,0.06725,0.0218,0.03375,0.0164,0.0351,0.0156,0.03425
