﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1636000154PV-5000W-V 10D1636000154顏阿甚#1,10D1636000147PV-5000W-V 10D1636000147-六甲顏阿甚-2
2018-04-19,00:00:00,0,0
2018-04-19,00:20:00,0,0
2018-04-19,00:40:00,0,0
2018-04-19,01:00:00,0,0
2018-04-19,01:20:00,0,0
2018-04-19,01:40:00,0,0
2018-04-19,02:00:00,0,0
2018-04-19,02:20:00,0,0
2018-04-19,02:40:00,0,0
2018-04-19,03:00:00,0,0
2018-04-19,03:20:00,0,0
2018-04-19,03:40:00,0,0
2018-04-19,04:00:00,0,0
2018-04-19,04:20:00,0,0
2018-04-19,04:40:00,0,0
2018-04-19,05:00:00,0,0
2018-04-19,05:20:00,0,0
2018-04-19,05:40:00,0.00125,0.004
2018-04-19,06:00:00,0.04625,0.05925
2018-04-19,06:20:00,0.16695,0.1745
2018-04-19,06:40:00,0.28755,0.2921
2018-04-19,07:00:00,0.51035,0.51005
2018-04-19,07:20:00,0.84855,0.84295
2018-04-19,07:40:00,1.5391,1.52445
2018-04-19,08:00:00,1.9091,1.8875
2018-04-19,08:20:00,2.1918,2.15895
2018-04-19,08:40:00,1.97295,1.9435
2018-04-19,09:00:00,2.4906,2.4321
2018-04-19,09:20:00,3.3791,3.27835
2018-04-19,09:40:00,3.10035,2.9867
2018-04-19,10:00:00,3.3471,3.2306
2018-04-19,10:20:00,3.945,3.81185
2018-04-19,10:40:00,4.07505,3.91575
2018-04-19,11:00:00,4.2905,4.1165
2018-04-19,11:20:00,4.1959,4.0569
2018-04-19,11:40:00,4.11685,3.97845
2018-04-19,12:00:00,4.25435,4.1054
2018-04-19,12:20:00,1.6895,1.6353
2018-04-19,12:40:00,1.7216,1.6771
2018-04-19,13:00:00,2.50155,2.4231
2018-04-19,13:20:00,3.3387,3.2175
2018-04-19,13:40:00,3.0988,2.987
2018-04-19,14:00:00,3.78965,3.6314
2018-04-19,14:20:00,2.364,2.2783
2018-04-19,14:40:00,1.9881,1.92665
2018-04-19,15:00:00,1.89105,1.83565
2018-04-19,15:20:00,1.6941,1.64555
2018-04-19,15:40:00,2.3328,2.2563
2018-04-19,16:00:00,1.8196,1.7564
2018-04-19,16:20:00,1.56415,1.51635
2018-04-19,16:40:00,1.27565,1.23765
2018-04-19,17:00:00,0.7699,0.7501
2018-04-19,17:20:00,0.47465,0.46685
2018-04-19,17:40:00,0.11445,0.1224
2018-04-19,18:00:00,0.01585,0.02935
2018-04-19,18:20:00,0,0
2018-04-19,18:40:00,0,0
2018-04-19,19:00:00,0,0
2018-04-19,19:20:00,0,0
2018-04-19,19:40:00,0,0
2018-04-19,20:00:00,0,0
2018-04-19,20:20:00,0,0
2018-04-19,20:40:00,0,0
2018-04-19,21:00:00,0,0
2018-04-19,21:20:00,0,0
2018-04-19,21:40:00,0,0
2018-04-19,22:00:00,0,0
2018-04-19,22:20:00,0,0
2018-04-19,22:40:00,0,0
2018-04-19,23:00:00,0,0
2018-04-19,23:20:00,0,0
2018-04-19,23:40:00,0,0
