﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1438000371PV-5000W-V 10D1438000371,10D1438000369PV-5000W-V 10D1438000369,10D1438000372PV-5000W-V 10D1438000372,10D1438000373PV-5000W-V 10D1438000373,10D1438000374PV-5000W-V 10D1438000374
2018-04-20,00:00:00,0,0,0,0,0
2018-04-20,00:20:00,0,0,0,0,0
2018-04-20,00:40:00,0,0,0,0,0
2018-04-20,01:00:00,0,0,0,0,0
2018-04-20,01:20:00,0,0,0,0,0
2018-04-20,01:40:00,0,0,0,0,0
2018-04-20,02:00:00,0,0,0,0,0
2018-04-20,02:20:00,0,0,0,0,0
2018-04-20,02:40:00,0,0,0,0,0
2018-04-20,03:00:00,0,0,0,0,0
2018-04-20,03:20:00,0,0,0,0,0
2018-04-20,03:40:00,0,0,0,0,0
2018-04-20,04:00:00,0,0,0,0,0
2018-04-20,04:20:00,0,0,0,0,0
2018-04-20,04:40:00,0,0,0,0,0
2018-04-20,05:00:00,0,0,0,0,0
2018-04-20,05:20:00,0,0,0,0,0
2018-04-20,05:40:00,0.0385,0.0342,0.05135,0.0509,0.05435
2018-04-20,06:00:00,0.2002,0.18825,0.21315,0.2137,0.2231
2018-04-20,06:20:00,0.3285,0.31475,0.34595,0.34325,0.34775
2018-04-20,06:40:00,0.5699,0.56235,0.587,0.58475,0.58725
2018-04-20,07:00:00,1.2074,1.1935,1.21465,1.2125,1.22765
2018-04-20,07:20:00,1.31865,1.30585,1.3243,1.3225,1.3452
2018-04-20,07:40:00,1.02885,1.0135,1.0295,1.02635,1.04535
2018-04-20,08:00:00,2.19295,2.2055,2.2208,2.21505,2.249
2018-04-20,08:20:00,2.4221,2.4017,2.413,2.41115,2.45515
2018-04-20,08:40:00,2.66355,2.63955,2.6475,2.6436,2.69935
2018-04-20,09:00:00,2.22615,2.1989,2.2063,2.20845,2.2485
2018-04-20,09:20:00,3.3072,3.29255,3.29235,3.2847,3.354
2018-04-20,09:40:00,2.6737,2.6434,2.64205,2.63535,2.69035
2018-04-20,10:00:00,2.1194,2.093,2.10855,2.10475,2.15425
2018-04-20,10:20:00,1.4898,1.462,1.48345,1.4788,1.51375
2018-04-20,10:40:00,2.26135,2.23735,2.2518,2.24425,2.29325
2018-04-20,11:00:00,2.2205,2.19325,2.2078,2.2011,2.2505
2018-04-20,11:20:00,2.37705,2.3449,2.36,2.36295,2.41725
2018-04-20,11:40:00,2.9932,2.9865,2.98375,2.99085,3.06005
2018-04-20,12:00:00,1.5308,1.50365,1.52605,1.52145,1.55925
2018-04-20,12:20:00,1.3919,1.3679,1.391,1.3858,1.4189
2018-04-20,12:40:00,1.5199,1.4961,1.51515,1.5113,1.54535
2018-04-20,13:00:00,2.82465,2.80615,2.81875,2.8112,2.87315
2018-04-20,13:20:00,1.65475,1.62545,1.6489,1.6418,1.68955
2018-04-20,13:40:00,1.1852,1.093,1.1137,1.17915,1.13535
2018-04-20,14:00:00,1.22255,1.2024,1.2223,1.21805,1.24265
2018-04-20,14:20:00,0.8563,0.838,0.8542,0.8547,0.87
2018-04-20,14:40:00,1.4624,1.45455,1.46775,1.46665,1.49475
2018-04-20,15:00:00,1.1864,1.16965,1.1897,1.18575,1.21425
2018-04-20,15:20:00,0.82395,0.80405,0.82505,0.8219,0.8404
2018-04-20,15:40:00,0.8915,0.8754,0.8914,0.89115,0.9063
2018-04-20,16:00:00,0.99495,0.9795,0.9971,0.9946,1.01415
2018-04-20,16:20:00,1.58475,1.58465,1.59945,1.60635,1.62495
2018-04-20,16:40:00,0.9573,0.9488,0.9676,0.96805,0.9816
2018-04-20,17:00:00,0.46945,0.46105,0.482,0.48065,0.4914
2018-04-20,17:20:00,0.25375,0.24725,0.2716,0.271,0.2768
2018-04-20,17:40:00,0.12035,0.117,0.1407,0.13905,0.1429
2018-04-20,18:00:00,0.02785,0.02325,0.0431,0.04205,0.0428
2018-04-20,18:20:00,0.0139,0.0099,0.0215,0.0185,0.0183
2018-04-20,18:40:00,0.00015,0.0005,0,0.00035,0.0009
2018-04-20,19:00:00,0,0,0,0,0
2018-04-20,19:20:00,0,0,0,0,0
2018-04-20,19:40:00,0,0,0,0,0
2018-04-20,20:00:00,0,0,0,0,0
2018-04-20,20:20:00,0,0,0,0,0
2018-04-20,20:40:00,0,0,0,0,0
2018-04-20,21:00:00,0,0,0,0,0
2018-04-20,21:20:00,0,0,0,0,0
2018-04-20,21:40:00,0,0,0,0,0
2018-04-20,22:00:00,0,0,0,0,0
2018-04-20,22:20:00,0,0,0,0,0
2018-04-20,22:40:00,0,0,0,0,0
2018-04-20,23:00:00,0,0,0,0,0
2018-04-20,23:20:00,0,0,0,0,0
2018-04-20,23:40:00,0,0,0,0,0
