﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1449000255PV-3000N-V 10N1449000255-朴子黃任逢,10N1449000256PV-3000N-V 10N1449000256-朴子黃任逢,10N1449000257PV-3000N-V 10N1449000257-朴子黃任逢,10N1449000258PV-3000N-V 10N1449000258-朴子黃任逢,10N1449000259PV-3000N-V 10N1449000259-朴子黃任逢,10N1449000260PV-3000N-V 10N1449000260-朴子黃任逢,10N1449000262PV-3000N-V 10N1449000262-朴子黃任逢,10N1449000263PV-3000N-V 10N1449000263-朴子黃任逢,10N1449000267PV-3000N-V 10N1449000267-朴子黃任逢
2018-04-20,00:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,00:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,00:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,01:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,01:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,01:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,02:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,02:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,02:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,03:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,03:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,03:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,04:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,04:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,04:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,05:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,05:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,05:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,06:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,06:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,06:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,07:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,07:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,07:40:00,0.22975,0.21325,0.2933,0.3011,0.15965,0.28375,0.17015,0.32925,0.15925
2018-04-20,08:00:00,1.1335,1.0651,1.4143,1.4449,1.08045,1.36075,1.1388,1.5664,1.06655
2018-04-20,08:20:00,1.15905,1.09855,1.3592,1.3886,1.1142,1.32155,1.17125,1.49025,1.09785
2018-04-20,08:40:00,1.5568,1.48415,1.7286,1.76535,1.5022,1.6883,1.57725,1.9173,1.4881
2018-04-20,09:00:00,1.2311,1.1793,1.30255,1.33115,1.19995,1.2683,1.24925,1.4421,1.1803
2018-04-20,09:20:00,1.2789,1.2275,1.34565,1.3707,1.2549,1.3131,1.30345,1.48545,1.22845
2018-04-20,09:40:00,1.67415,1.60985,1.6499,1.6852,1.6499,1.7104,1.60715,1.92535,1.5071
2018-04-20,10:00:00,1.82405,1.7721,1.86755,1.91045,1.81915,1.8218,1.8815,2.0578,1.77445
2018-04-20,10:20:00,1.15055,1.1186,1.1586,1.17975,1.1438,1.1271,1.18425,1.27155,1.1213
2018-04-20,10:40:00,0.8521,0.83285,0.84745,0.86275,0.84995,0.8237,0.88185,0.9286,0.83385
2018-04-20,11:00:00,1.8202,1.79135,1.85,1.8789,1.8244,1.8075,1.88545,2.04835,1.7838
2018-04-20,11:20:00,1.5316,1.50005,1.5217,1.55145,1.5321,1.47865,1.58775,1.67675,1.495
2018-04-20,11:40:00,1.1866,1.22225,1.24065,1.20285,1.1898,1.20865,1.2332,1.3003,1.22295
2018-04-20,12:00:00,1.77215,1.75085,1.7545,1.79025,1.79235,1.71425,1.857,1.9426,1.75265
2018-04-20,12:20:00,1.90045,1.8998,1.86045,1.8929,1.96225,1.81625,2.02515,2.05635,1.90615
2018-04-20,12:40:00,1.1864,1.1721,1.1707,1.18925,1.2047,1.13805,1.24325,1.2882,1.174
2018-04-20,13:00:00,1.22465,1.21575,1.2083,1.2241,1.2404,1.17365,1.28625,1.33705,1.21575
2018-04-20,13:20:00,1.12025,1.10375,1.10795,1.12515,1.12755,1.0757,1.1699,1.22705,1.10525
2018-04-20,13:40:00,0.9594,0.99315,0.9967,0.96205,1.01005,0.95165,1.04975,1.051,0.99425
2018-04-20,14:00:00,0.8443,0.82745,0.8344,0.8506,0.84125,0.8083,0.8747,0.92435,0.82765
2018-04-20,14:20:00,0.6928,0.67575,0.6871,0.70205,0.68535,0.66615,0.7133,0.76125,0.6754
2018-04-20,14:40:00,0.46595,0.4475,0.46055,0.4736,0.44995,0.44435,0.46955,0.51095,0.447
2018-04-20,15:00:00,0.25195,0.2375,0.24705,0.25635,0.23805,0.23485,0.2506,0.27635,0.2355
2018-04-20,15:20:00,0.35685,0.34205,0.3525,0.3629,0.34415,0.33795,0.3656,0.39155,0.34065
2018-04-20,15:40:00,0.49155,0.47565,0.4863,0.49895,0.4785,0.4693,0.50855,0.54075,0.4753
2018-04-20,16:00:00,0.33625,0.3232,0.3287,0.33885,0.32505,0.31475,0.34195,0.365,0.32165
2018-04-20,16:20:00,0.32845,0.3204,0.31385,0.32425,0.3224,0.3003,0.338,0.3502,0.31885
2018-04-20,16:40:00,0.3574,0.3806,0.32935,0.3442,0.3837,0.3193,0.4037,0.3708,0.3796
2018-04-20,17:00:00,0.4242,0.51175,0.39225,0.40265,0.5152,0.37695,0.5459,0.43475,0.51185
2018-04-20,17:20:00,0.21205,0.23415,0.1921,0.2011,0.2345,0.1813,0.2488,0.2117,0.2321
2018-04-20,17:40:00,0.0867,0.07915,0.0746,0.0832,0.07915,0.067,0.0884,0.08465,0.07665
2018-04-20,18:00:00,0.0091,0.0055,0.00125,0.0053,0.00515,0,0.0084,0.0026,0.00385
2018-04-20,18:20:00,5.0E-5,0,0,0,0,0,0,0,0
2018-04-20,18:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,19:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,19:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,19:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,20:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,20:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,20:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,21:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,21:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,21:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,22:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,22:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,22:40:00,0,0,0,0,0,0,0,0,0
2018-04-20,23:00:00,0,0,0,0,0,0,0,0,0
2018-04-20,23:20:00,0,0,0,0,0,0,0,0,0
2018-04-20,23:40:00,0,0,0,0,0,0,0,0,0
