﻿﻿﻿﻿﻿﻿﻿inDate,inTime,61C164300023061C1643000230建泰二期,61C1643000218U 61C1643000218建泰二期,61C1643000224U 61C1643000224建泰二期,61C1643000225U 61C1643000225建泰二期,61C1643000226U 61C1643000226建泰二期,61C1643000227U 61C1643000227建泰二期,61C1643000229U 61C1643000229建泰二期
2018-04-22,00:00:00,0,0,0,0,0,0,0
2018-04-22,00:20:00,0,0,0,0,0,0,0
2018-04-22,00:40:00,0,0,0,0,0,0,0
2018-04-22,01:00:00,0,0,0,0,0,0,0
2018-04-22,01:20:00,0,0,0,0,0,0,0
2018-04-22,01:40:00,0,0,0,0,0,0,0
2018-04-22,02:00:00,0,0,0,0,0,0,0
2018-04-22,02:20:00,0,0,0,0,0,0,0
2018-04-22,02:40:00,0,0,0,0,0,0,0
2018-04-22,03:00:00,0,0,0,0,0,0,0
2018-04-22,03:20:00,0,0,0,0,0,0,0
2018-04-22,03:40:00,0,0,0,0,0,0,0
2018-04-22,04:00:00,0,0,0,0,0,0,0
2018-04-22,04:20:00,0,0,0,0,0,0,0
2018-04-22,04:40:00,0,0,0,0,0,0,0
2018-04-22,05:00:00,0,0,0,0,0,0,0
2018-04-22,05:20:00,0,0,0,0,0,0,0
2018-04-22,05:40:00,0.00365,0,0.00365,0.0041,0.00385,0.00375,0.0013
2018-04-22,06:00:00,0.202,0.2027,0.2019,0.2019,0.20105,0.20205,0.2036
2018-04-22,06:20:00,0.67705,0.6564,0.6614,0.6671,0.67145,0.66725,0.67425
2018-04-22,06:40:00,0.8303,0.8005,0.8079,0.8206,0.78735,0.78115,0.82665
2018-04-22,07:00:00,0.96855,0.93225,0.93865,0.9523,0.91955,0.9507,0.9241
2018-04-22,07:20:00,1.13495,1.092,1.09855,1.11695,1.123,1.1142,1.1289
2018-04-22,07:40:00,2.75515,2.63255,2.65395,2.73155,2.69865,2.686,2.7269
2018-04-22,08:00:00,2.61615,2.50555,2.5249,2.5859,2.5788,2.55225,2.59765
2018-04-22,08:20:00,2.818,2.6987,2.72695,2.7861,2.7849,2.754,2.7917
2018-04-22,08:40:00,2.02715,1.94265,1.96445,2.0164,2.0146,1.98665,2.0239
2018-04-22,09:00:00,2.2172,2.12405,2.1407,2.19005,2.19425,2.1692,2.19645
2018-04-22,09:20:00,4.8606,4.64015,4.70115,4.7565,4.7663,4.7388,4.7533
2018-04-22,09:40:00,4.18865,4.0018,4.0527,4.09035,4.1101,4.0818,4.08355
2018-04-22,10:00:00,2.6411,2.52325,2.56165,2.59605,2.61615,2.59405,2.60375
2018-04-22,10:20:00,4.4122,4.21465,4.2875,4.31625,4.33965,4.3182,4.31525
2018-04-22,10:40:00,3.5611,3.4183,3.49955,3.57175,3.56435,3.5339,3.18755
2018-04-22,11:00:00,8.2139,7.8803,8.0335,8.08405,8.0758,8.0447,8.0511
2018-04-22,11:20:00,6.78235,6.51335,6.6503,6.586,6.65805,6.66615,6.5731
2018-04-22,11:40:00,8.5007,8.06965,8.22685,8.10455,8.2365,8.27925,8.14235
2018-04-22,12:00:00,6.7084,6.41095,6.4916,6.53585,6.5336,6.55905,6.5334
2018-04-22,12:20:00,7.89595,7.5895,7.6043,7.56645,7.5833,7.6319,7.55505
2018-04-22,12:40:00,8.8066,8.3811,8.60615,8.5724,8.63125,8.62835,8.54165
2018-04-22,13:00:00,6.7167,6.416,6.4978,6.4752,6.51095,6.50905,6.48045
2018-04-22,13:20:00,7.219,6.8647,7.0089,6.9794,7.0417,7.0431,6.96815
2018-04-22,13:40:00,7.84725,7.4691,7.63545,7.6299,7.6711,7.67435,7.62365
2018-04-22,14:00:00,6.43605,6.13815,6.25,6.2233,6.27265,6.2953,6.291
2018-04-22,14:20:00,5.85995,5.5804,5.6462,5.67295,5.69815,5.6899,5.6942
2018-04-22,14:40:00,5.84515,5.5686,5.66065,5.67505,5.70015,5.70015,5.70135
2018-04-22,15:00:00,5.4972,5.2394,5.31235,5.33095,5.37085,5.3583,5.37415
2018-04-22,15:20:00,5.47575,5.207,5.249,5.3123,5.3273,5.30425,5.3417
2018-04-22,15:40:00,3.68495,3.51005,3.6081,3.65225,3.65745,3.6333,3.66375
2018-04-22,16:00:00,2.19465,2.09265,2.13985,2.17725,2.1884,2.16575,2.1951
2018-04-22,16:20:00,2.33585,2.12225,2.16,2.1858,2.1983,2.1793,2.21305
2018-04-22,16:40:00,1.89365,1.806,1.82755,1.85435,1.86115,1.84515,1.88045
2018-04-22,17:00:00,1.02435,0.98295,0.99445,1.01075,1.0159,1.00455,1.02515
2018-04-22,17:20:00,0.7063,0.68265,0.68625,0.6894,0.6982,0.69255,0.706
2018-04-22,17:40:00,0.2365,0.21975,0.2189,0.23205,0.2181,0.21725,0.22295
2018-04-22,18:00:00,0.1262,0.1333,0.12525,0.11285,0.12545,0.12875,0.12925
2018-04-22,18:20:00,0.00355,0.0253,0,0,0,0.0009,0
2018-04-22,18:40:00,0,0,0,0,0,0,0
2018-04-22,19:00:00,0,0,0,0,0,0,0
2018-04-22,19:20:00,0,0,0,0,0,0,0
2018-04-22,19:40:00,0,0,0,0,0,0,0
2018-04-22,20:00:00,0,0,0,0,0,0,0
2018-04-22,20:20:00,0,0,0,0,0,0,0
2018-04-22,20:40:00,0,0,0,0,0,0,0
2018-04-22,21:00:00,0,0,0,0,0,0,0
2018-04-22,21:20:00,0,0,0,0,0,0,0
2018-04-22,21:40:00,0,0,0,0,0,0,0
2018-04-22,22:00:00,0,0,0,0,0,0,0
2018-04-22,22:20:00,0,0,0,0,0,0,0
2018-04-22,22:40:00,0,0,0,0,0,0,0
2018-04-22,23:00:00,0,0,0,0,0,0,0
2018-04-22,23:20:00,0,0,0,0,0,0,0
2018-04-22,23:40:00,0,0,0,0,0,0,0
