﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1512000111四湖-1-PV-5000W-V 11C1512000111,10D1431000314四湖-2-PV-5000W-V 10D1431000314,10D1431000255四湖-3-PV-5000W-V 10D1431000255,11C1512000110四湖-4-PV-5000W-V 11C1512000110,10D1431000244四湖-5-PV-5000W-V 10D1431000244,10D1431000299四湖-6-PV-5000W-V 10D1431000299四湖-1
2018-04-22,00:00:00,0,0,0,0,0,0
2018-04-22,00:20:00,0,0,0,0,0,0
2018-04-22,00:40:00,0,0,0,0,0,0
2018-04-22,01:00:00,0,0,0,0,0,0
2018-04-22,01:20:00,0,0,0,0,0,0
2018-04-22,01:40:00,0,0,0,0,0,0
2018-04-22,02:00:00,0,0,0,0,0,0
2018-04-22,02:20:00,0,0,0,0,0,0
2018-04-22,02:40:00,0,0,0,0,0,0
2018-04-22,03:00:00,0,0,0,0,0,0
2018-04-22,03:20:00,0,0,0,0,0,0
2018-04-22,03:40:00,0,0,0,0,0,0
2018-04-22,04:00:00,0,0,0,0,0,0
2018-04-22,04:20:00,0,0,0,0,0,0
2018-04-22,04:40:00,0,0,0,0,0,0
2018-04-22,05:00:00,0,0,0,0,0,0
2018-04-22,05:20:00,0,0,0,0,0,0
2018-04-22,05:40:00,0,0,0,0,0,0
2018-04-22,06:00:00,0,0,0,0,0,0
2018-04-22,06:20:00,0,0,0,0,0,0
2018-04-22,06:40:00,0.1061,0.10455,0.1071,0.10615,0.10665,0.0996
2018-04-22,07:00:00,0.86595,0.85005,0.83695,0.86745,0.85795,0.77965
2018-04-22,07:20:00,0.7375,0.72525,0.7396,0.7396,0.7338,0.68705
2018-04-22,07:40:00,0.7873,0.77575,0.7889,0.78945,0.7828,0.73425
2018-04-22,08:00:00,1.18935,1.17065,1.18625,1.19345,1.1767,1.11225
2018-04-22,08:20:00,1.26275,1.26235,1.2802,1.28825,1.2703,1.202
2018-04-22,08:40:00,1.196,1.17925,1.1945,1.20225,1.1881,1.1248
2018-04-22,09:00:00,1.93835,1.9074,1.9202,1.93565,1.90015,1.7979
2018-04-22,09:20:00,2.50035,2.4491,2.47165,2.49805,2.44005,2.31765
2018-04-22,09:40:00,2.713,2.6602,2.69135,2.71415,2.66985,2.5292
2018-04-22,10:00:00,2.0712,2.06915,2.0825,2.0934,2.05995,1.95585
2018-04-22,10:20:00,3.24745,3.1967,3.20145,3.2297,3.1557,2.9935
2018-04-22,10:40:00,3.51975,3.4643,3.4592,3.4888,3.433,3.26095
2018-04-22,11:00:00,2.92615,2.8776,2.8978,2.92365,2.87695,2.74075
2018-04-22,11:20:00,3.20295,3.15525,3.1492,3.16575,3.11325,2.9713
2018-04-22,11:40:00,3.6703,3.61425,3.61635,3.6447,3.58415,3.4055
2018-04-22,12:00:00,3.6774,3.632,3.62865,3.64865,3.5842,3.4072
2018-04-22,12:20:00,3.5807,3.5414,3.52375,3.5505,3.48695,3.3123
2018-04-22,12:40:00,3.55925,3.51755,3.49705,3.52545,3.4445,3.2759
2018-04-22,13:00:00,3.21695,3.1762,3.16155,3.1876,3.1174,2.9522
2018-04-22,13:20:00,3.4647,3.42495,3.4072,3.4353,3.37035,3.20315
2018-04-22,13:40:00,3.33095,3.30205,3.28265,3.30575,3.24375,3.0814
2018-04-22,14:00:00,3.0862,3.0635,3.05005,3.07325,3.017,2.8705
2018-04-22,14:20:00,2.9,2.8778,2.86375,2.88645,2.83235,2.69395
2018-04-22,14:40:00,2.4817,2.5761,2.5741,2.59495,2.54945,2.42825
2018-04-22,15:00:00,2.27625,2.27105,2.266,2.2758,2.2428,2.13785
2018-04-22,15:20:00,1.95485,1.96065,1.9563,1.9688,1.9416,1.8496
2018-04-22,15:40:00,1.5263,1.52655,1.5265,1.5348,1.5166,1.4414
2018-04-22,16:00:00,0.83105,0.8254,0.82955,0.8315,0.82325,0.7775
2018-04-22,16:20:00,0.41645,0.4153,0.4202,0.41775,0.4206,0.3906
2018-04-22,16:40:00,0.3484,0.3501,0.355,0.3513,0.35625,0.32875
2018-04-22,17:00:00,0.2273,0.23345,0.2379,0.23325,0.2401,0.2182
2018-04-22,17:20:00,0.1647,0.17005,0.1724,0.1683,0.17715,0.15785
2018-04-22,17:40:00,0.10115,0.11225,0.11525,0.1047,0.1188,0.1019
2018-04-22,18:00:00,0.0011,0.0165,0.0166,0.00085,0.02265,0.0122
2018-04-22,18:20:00,0,0,0,0,0,0
2018-04-22,18:40:00,0,0,0,0,0,0
2018-04-22,19:00:00,0,0,0,0,0,0
2018-04-22,19:20:00,0,0,0,0,0,0
2018-04-22,19:40:00,0,0,0,0,0,0
2018-04-22,20:00:00,0,0,0,0,0,0
2018-04-22,20:20:00,0,0,0,0,0,0
2018-04-22,20:40:00,0,0,0,0,0,0
2018-04-22,21:00:00,0,0,0,0,0,0
2018-04-22,21:20:00,0,0,0,0,0,0
2018-04-22,21:40:00,0,0,0,0,0,0
2018-04-22,22:00:00,0,0,0,0,0,0
2018-04-22,22:20:00,0,0,0,0,0,0
2018-04-22,22:40:00,0,0,0,0,0,0
2018-04-22,23:00:00,0,0,0,0,0,0
2018-04-22,23:20:00,0,0,0,0,0,0
2018-04-22,23:40:00,0,0,0,0,0,0
