﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151453000334PV-5000W-V 1151453000334 許明和-01,1151453000338PV-5000W-V 1151453000338 許明和-02,1151453000339PV-5000W-V 1151453000339 許明和-03,1151453000333PV-5000W-V 1151453000333 許明和-04,10L1448000044PV-4000W-V 10L1448000044 許明和-05,10L1448000045PV-4000W-V 10L1448000045 許明和-06
2018-04-22,00:00:00,0,0,0,0,0,0
2018-04-22,00:20:00,0,0,0,0,0,0
2018-04-22,00:40:00,0,0,0,0,0,0
2018-04-22,01:00:00,0,0,0,0,0,0
2018-04-22,01:20:00,0,0,0,0,0,0
2018-04-22,01:40:00,0,0,0,0,0,0
2018-04-22,02:00:00,0,0,0,0,0,0
2018-04-22,02:20:00,0,0,0,0,0,0
2018-04-22,02:40:00,0,0,0,0,0,0
2018-04-22,03:00:00,0,0,0,0,0,0
2018-04-22,03:20:00,0,0,0,0,0,0
2018-04-22,03:40:00,0,0,0,0,0,0
2018-04-22,04:00:00,0,0,0,0,0,0
2018-04-22,04:20:00,0,0,0,0,0,0
2018-04-22,04:40:00,0,0,0,0,0,0
2018-04-22,05:00:00,0,0,0,0,0,0
2018-04-22,05:20:00,0,0,0,0,0,0
2018-04-22,05:40:00,0.02345,0.027,0.00875,0.01875,0.0195,0.0163
2018-04-22,06:00:00,0.1211,0.12085,0.0851,0.10475,0.0906,0.086
2018-04-22,06:20:00,0.45595,0.4505,0.4013,0.427,0.34955,0.34035
2018-04-22,06:40:00,0.82715,0.82725,0.7058,0.73815,0.5883,0.57995
2018-04-22,07:00:00,1.1752,1.162,1.1522,1.1806,0.9639,0.93935
2018-04-22,07:20:00,1.33285,1.31435,1.26975,1.29635,1.0632,1.0297
2018-04-22,07:40:00,1.1675,1.1515,1.15335,1.1791,0.9672,0.9358
2018-04-22,08:00:00,0.93935,0.9267,0.94895,0.9745,0.79995,0.77395
2018-04-22,08:20:00,2.40905,2.3668,2.0688,2.08835,1.7103,1.6586
2018-04-22,08:40:00,2.9832,2.9397,2.95125,2.98075,2.46315,2.38765
2018-04-22,09:00:00,2.69615,2.64965,2.53945,2.56965,2.13775,2.0557
2018-04-22,09:20:00,3.2967,3.24785,3.22175,3.2545,2.69255,2.6016
2018-04-22,09:40:00,3.45235,3.4013,3.3764,3.4084,2.8234,2.7249
2018-04-22,10:00:00,3.60225,3.5459,3.54045,3.5665,2.9376,2.8436
2018-04-22,10:20:00,2.9693,2.90565,3.07215,3.0951,2.56615,2.477
2018-04-22,10:40:00,3.1625,3.0941,2.9223,2.973,2.45275,2.36905
2018-04-22,11:00:00,3.26025,3.16625,3.2086,3.21355,2.6634,2.56155
2018-04-22,11:20:00,3.61935,3.52015,3.26825,3.2572,2.67855,2.58075
2018-04-22,11:40:00,3.85665,3.737,3.8445,3.8447,3.20535,3.0708
2018-04-22,12:00:00,4.02365,3.9075,3.81315,3.81415,3.14245,3.0065
2018-04-22,12:20:00,3.7372,3.64545,3.6476,3.64775,3.02625,2.90235
2018-04-22,12:40:00,3.80645,3.71145,3.7022,3.7004,3.07185,2.9446
2018-04-22,13:00:00,3.0025,2.93295,2.94435,2.9591,2.4519,2.34445
2018-04-22,13:20:00,3.56005,3.4771,3.4295,3.4394,2.84025,2.7256
2018-04-22,13:40:00,3.2733,3.21545,3.21895,3.22385,2.6546,2.5535
2018-04-22,14:00:00,3.2034,3.14765,3.17155,3.1807,2.61325,2.5177
2018-04-22,14:20:00,3.04205,2.99515,3.01285,3.0206,2.47855,2.39205
2018-04-22,14:40:00,2.69375,2.6709,2.7065,2.72165,2.2253,2.15425
2018-04-22,15:00:00,2.30215,2.2849,2.3148,2.34125,1.8929,1.84995
2018-04-22,15:20:00,1.9481,1.92545,1.9582,1.96785,1.5915,1.56935
2018-04-22,15:40:00,1.7757,1.7589,1.77615,1.8002,1.45895,1.41975
2018-04-22,16:00:00,1.492,1.4809,1.4919,1.52045,1.2291,1.19785
2018-04-22,16:20:00,1.03065,1.02305,1.09185,1.12285,0.9135,0.8874
2018-04-22,16:40:00,0.3823,0.38015,0.43785,0.45755,0.37625,0.3651
2018-04-22,17:00:00,0.18245,0.1824,0.17805,0.198,0.16335,0.1569
2018-04-22,17:20:00,0.0986,0.1007,0.1007,0.1202,0.10145,0.09715
2018-04-22,17:40:00,0.05055,0.05525,0.0432,0.0591,0.05665,0.05375
2018-04-22,18:00:00,0.01535,0.0181,0.00825,0.02395,0.0266,0.0221
2018-04-22,18:20:00,0.0098,0.0117,0.0035,0.0186,0.0134,0.00855
2018-04-22,18:40:00,0.0013,0.0012,0.0008,0.00425,0,0
2018-04-22,19:00:00,0,0,0,0,0,0
2018-04-22,19:20:00,0,0,0,0,0,0
2018-04-22,19:40:00,0,0,0,0,0,0
2018-04-22,20:00:00,0,0,0,0,0,0
2018-04-22,20:20:00,0,0,0,0,0,0
2018-04-22,20:40:00,0,0,0,0,0,0
2018-04-22,21:00:00,0,0,0,0,0,0
2018-04-22,21:20:00,0,0,0,0,0,0
2018-04-22,21:40:00,0,0,0,0,0,0
2018-04-22,22:00:00,0,0,0,0,0,0
2018-04-22,22:20:00,0,0,0,0,0,0
2018-04-22,22:40:00,0,0,0,0,0,0
2018-04-22,23:00:00,0,0,0,0,0,0
2018-04-22,23:20:00,0,0,0,0,0,0
2018-04-22,23:40:00,0,0,0,0,0,0
