﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1525000225沙田路-01_無Cap 關AFD,11C1525000202沙田路-02_加Cap 開AFD,11C1520000140沙田路-03_加Cap 開AFD,11C1520000179沙田路-04_加Cap 關AFD,11C1525000201沙田路-05_加Cap 關AFD,11C1520000174沙田路-06_無Cap 關AFD,11D1507000056PV-3000N-V 11D1507000056 沙田路-07,11D1507000013PV-3000N-V 11D1507000013 沙田路-08,11D1507000050PV-3000N-V 11D1507000050 沙田路-09,11D1507000059PV-3000N-V 11D1507000059 沙田路-10,11D1507000060PV-3000N-V 11D1507000060 沙田路-11,11D1507000004PV-3000N-V 11D1507000004 沙田路-12
2017-10-16,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,00:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,00:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,01:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,01:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,02:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,02:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,03:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,03:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,04:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,04:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,05:20:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,05:40:00,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,06:00:00,0.0007,0.00095,0.001,0.0085,0.00845,0.00105,0.01,0.0122,0.001,0.0169,0.01075,0.0163
2017-10-16,06:20:00,0.12745,0.137,0.13465,0.1367,0.1368,0.147,0.0498,0.05225,0.0352,0.0728,0.0468,0.0707
2017-10-16,06:40:00,0.25235,0.26195,0.25695,0.25955,0.25955,0.27605,0.14405,0.1313,0.12965,0.18835,0.1503,0.18515
2017-10-16,07:00:00,0.84685,0.86325,0.8429,0.85955,0.8693,0.89665,0.36545,0.33725,0.3456,0.535,0.4661,0.53945
2017-10-16,07:20:00,0.6771,0.68645,0.67535,0.68055,0.6858,0.71965,0.324,0.3506,0.322,0.40415,0.3496,0.3994
2017-10-16,07:40:00,1.02135,1.0255,1.0172,1.0184,1.01495,1.06365,0.56785,0.6068,0.55565,0.7,0.62415,0.69125
2017-10-16,08:00:00,1.33035,1.3349,1.3194,1.3259,1.32975,1.38365,0.62735,0.6745,0.61655,0.7665,0.68835,0.76055
2017-10-16,08:20:00,1.14465,1.14825,1.13985,1.14445,1.14085,1.19575,0.55155,0.61945,0.5704,0.6722,0.60225,0.67035
2017-10-16,08:40:00,1.4524,1.4553,1.4426,1.4448,1.44855,1.5158,0.7377,0.77465,0.71565,0.87445,0.7605,0.84025
2017-10-16,09:00:00,1.68635,1.72395,1.7065,1.6753,1.6846,1.7544,0.90615,0.95025,0.88305,1.0741,0.9707,1.07295
2017-10-16,09:20:00,1.937,1.9455,1.9112,1.92115,1.9336,2.01965,0.9733,1.03415,0.9518,1.1503,1.0415,1.14045
2017-10-16,09:40:00,2.86525,2.8361,2.825,2.8106,2.8312,2.94685,1.50025,1.52915,1.41015,1.71455,1.55625,1.70155
2017-10-16,10:00:00,2.03395,2.03095,2.00435,2.00175,2.00615,2.11855,0.94615,1.0344,0.95395,1.1293,1.02305,1.12205
2017-10-16,10:20:00,2.23445,2.2253,2.20545,2.2039,2.20855,2.31295,1.18695,1.26435,1.16775,1.3629,1.24125,1.35845
2017-10-16,10:40:00,1.4991,1.49705,1.4747,1.4765,1.4766,1.54715,0.60895,0.71705,0.66015,0.7626,0.6852,0.756
2017-10-16,11:00:00,1.4032,1.4052,1.39265,1.3949,1.39345,1.4578,0.6473,0.7909,0.72665,0.81295,0.7331,0.8068
2017-10-16,11:20:00,2.1022,2.0929,2.0825,2.07595,2.0714,2.1732,1.12775,1.225,1.13225,1.2925,1.17575,1.28345
2017-10-16,11:40:00,1.60495,1.6046,1.57985,1.5825,1.58425,1.6656,0.74025,0.8648,0.79965,0.90455,0.81955,0.90285
2017-10-16,12:00:00,1.9684,1.96935,1.94595,1.94415,1.94785,2.03655,0.9422,1.05175,0.9734,1.1106,1.00835,1.10785
2017-10-16,12:20:00,1.525,1.525,1.5103,1.5102,1.5104,1.58335,0.7306,0.858,0.7912,0.9004,0.81625,0.8977
2017-10-16,12:40:00,2.08285,2.07315,2.05205,2.0516,2.0495,1.97855,1.1728,1.2695,1.1725,1.31945,1.2047,1.32255
2017-10-16,13:00:00,1.9249,1.9345,1.901,1.85275,1.85975,2.00405,0.79955,0.8899,0.783,0.9314,0.84345,0.8842
2017-10-16,13:20:00,1.97685,1.9676,1.9609,1.95265,1.9512,2.04315,1.0409,1.12715,1.0398,1.17835,1.0732,1.17725
2017-10-16,13:40:00,1.01935,1.0204,1.01335,1.01245,1.01045,1.06185,0.40515,0.52015,0.4725,0.5287,0.4758,0.5265
2017-10-16,14:00:00,1.12965,1.1259,1.12535,1.1214,1.1185,1.1784,0.65265,0.7353,0.67295,0.75595,0.68415,0.75525
2017-10-16,14:20:00,1.93685,1.9265,1.9226,1.9127,1.90965,2.0103,1.1547,1.20845,1.1125,1.2551,1.1423,1.2509
2017-10-16,14:40:00,2.83085,2.8008,2.808,2.77795,2.7771,2.91945,1.46355,1.42925,1.31625,1.4691,1.3513,1.4841
2017-10-16,15:00:00,1.0919,1.0844,1.08705,1.075,1.07165,1.1286,0.5686,0.5875,0.53645,0.58905,0.52995,0.5898
2017-10-16,15:20:00,0.8863,0.88405,0.88795,0.8795,0.8794,0.9293,0.65755,0.67025,0.60575,0.6569,0.59605,0.64905
2017-10-16,15:40:00,1.83555,1.80855,1.84525,1.8069,1.80955,1.73545,1.0784,1.053,0.9562,1.02025,0.9295,1.02235
2017-10-16,16:00:00,0.8145,0.8078,0.82535,0.80545,0.80525,0.6952,0.38035,0.3807,0.33845,0.3787,0.33635,0.373
2017-10-16,16:20:00,0.0908,0.1084,0.1111,0.10685,0.07885,0.10525,0.0429,0.05335,0.031,0.05205,0.03585,0.0487
2017-10-16,16:40:00,0.10745,0.10955,0.1107,0.10455,0.09205,0.12175,0.05395,0.0628,0.0423,0.06375,0.0462,0.0627
2017-10-16,17:00:00,0.0867,0.09135,0.0917,0.0904,0.08825,0.1012,0.03775,0.04685,0.0299,0.04645,0.03,0.0454
2017-10-16,17:20:00,0.01195,0.01545,0.0159,0.00975,0.01155,0.0141,0.00115,0.002,0.00025,0.00195,0.00095,0.00205
2017-10-16,17:40:00,0,0,0,0,0,0,0,0,0,0,0,0
