﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1431000126PV-3000N-V 10N1431000126斗六廖進豐,L1344000020PV-4000W-V L1344000020斗六廖進豐
2017-11-13,00:00:00,0,0
2017-11-13,00:20:00,0,0
2017-11-13,00:40:00,0,0
2017-11-13,01:00:00,0,0
2017-11-13,01:20:00,0,0
2017-11-13,01:40:00,0,0
2017-11-13,02:00:00,0,0
2017-11-13,02:20:00,0,0
2017-11-13,02:40:00,0,0
2017-11-13,03:00:00,0,0
2017-11-13,03:20:00,0,0
2017-11-13,03:40:00,0,0
2017-11-13,04:00:00,0,0
2017-11-13,04:20:00,0,0
2017-11-13,04:40:00,0,0
2017-11-13,05:00:00,0,0
2017-11-13,05:20:00,0,0
2017-11-13,05:40:00,0,0
2017-11-13,06:00:00,0,0
2017-11-13,06:20:00,0,0.00375
2017-11-13,06:40:00,0.07965,0.11875
2017-11-13,07:00:00,0.17485,0.24205
2017-11-13,07:20:00,0.2777,0.39045
2017-11-13,07:40:00,0.37145,0.52705
2017-11-13,08:00:00,0.46795,0.66835
2017-11-13,08:20:00,0.50005,0.71355
2017-11-13,08:40:00,1.0655,1.5192
2017-11-13,09:00:00,0.5294,0.74855
2017-11-13,09:20:00,0.54765,0.77495
2017-11-13,09:40:00,0.7419,1.05495
2017-11-13,10:00:00,0.4538,0.64255
2017-11-13,10:20:00,0.7612,1.05055
2017-11-13,10:40:00,1.397,1.87285
2017-11-13,11:00:00,1.1747,1.6902
2017-11-13,11:20:00,1.1416,1.6339
2017-11-13,11:40:00,0.63525,0.90755
2017-11-13,12:00:00,0.74295,1.06025
2017-11-13,12:20:00,0.72205,1.03085
2017-11-13,12:40:00,0.8824,1.26595
2017-11-13,13:00:00,1.0455,1.50565
2017-11-13,13:20:00,0.935,1.3426
2017-11-13,13:40:00,1.1048,1.5883
2017-11-13,14:00:00,0.86855,1.24825
2017-11-13,14:20:00,0.50755,0.7196
2017-11-13,14:40:00,0.5465,0.78385
2017-11-13,15:00:00,0.56305,0.80425
2017-11-13,15:20:00,0.3836,0.54285
2017-11-13,15:40:00,0.3162,0.44395
2017-11-13,16:00:00,0.2286,0.3177
2017-11-13,16:20:00,0.1798,0.24925
2017-11-13,16:40:00,0.13085,0.18465
2017-11-13,17:00:00,0.0157,0.0299
2017-11-13,17:20:00,0,0.0014
2017-11-13,17:40:00,0,0
2017-11-13,18:00:00,0,0
2017-11-13,18:20:00,0,0
2017-11-13,18:40:00,0,0
2017-11-13,19:00:00,0,0
2017-11-13,19:20:00,0,0
2017-11-13,19:40:00,0,0
2017-11-13,20:00:00,0,0
2017-11-13,20:20:00,0,0
2017-11-13,20:40:00,0,0
2017-11-13,21:00:00,0,0
2017-11-13,21:20:00,0,0
2017-11-13,21:40:00,0,0
2017-11-13,22:00:00,0,0
2017-11-13,22:20:00,0,0
2017-11-13,22:40:00,0,0
2017-11-13,23:00:00,0,0
2017-11-13,23:20:00,0,0
2017-11-13,23:40:00,0,0
