﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10R1634000101PV-3000N-V 10R1634000101布袋#1,10R1634000103PV-3000N-V 10R1634000103布袋#2,10R1634000100PV-3000N-V 10R1634000100布袋#3,10R1634000089PV-3000N-V 10R1634000089布袋#4
2017-11-24,00:00:00,0,0,0,0
2017-11-24,00:20:00,0,0,0,0
2017-11-24,00:40:00,0,0,0,0
2017-11-24,01:00:00,0,0,0,0
2017-11-24,01:20:00,0,0,0,0
2017-11-24,01:40:00,0,0,0,0
2017-11-24,02:00:00,0,0,0,0
2017-11-24,02:20:00,0,0,0,0
2017-11-24,02:40:00,0,0,0,0
2017-11-24,03:00:00,0,0,0,0
2017-11-24,03:20:00,0,0,0,0
2017-11-24,03:40:00,0,0,0,0
2017-11-24,04:00:00,0,0,0,0
2017-11-24,04:20:00,0,0,0,0
2017-11-24,04:40:00,0,0,0,0
2017-11-24,05:00:00,0,0,0,0
2017-11-24,05:20:00,0,0,0,0
2017-11-24,05:40:00,0,0,0,0
2017-11-24,06:00:00,0,0,0,0
2017-11-24,06:20:00,0,0,0,5.0E-5
2017-11-24,06:40:00,0.00575,0.0082,0.008,0.00965
2017-11-24,07:00:00,0.03085,0.04245,0.0436,0.0457
2017-11-24,07:20:00,0.0683,0.117,0.1506,0.15245
2017-11-24,07:40:00,0.0807,0.15765,0.2191,0.22435
2017-11-24,08:00:00,0.1176,0.1968,0.51995,0.50045
2017-11-24,08:20:00,0.1586,0.28645,0.9749,0.93965
2017-11-24,08:40:00,0.2038,0.38585,1.1896,1.1173
2017-11-24,09:00:00,0.21055,0.66095,1.3673,1.27885
2017-11-24,09:20:00,0.20985,1.55785,1.57325,1.46185
2017-11-24,09:40:00,0.23725,1.68635,1.69135,1.5592
2017-11-24,10:00:00,0.22415,1.6167,1.62985,1.5021
2017-11-24,10:20:00,0.462,0.9825,0.9894,0.92345
2017-11-24,10:40:00,0.79085,1.0384,1.0441,0.9826
2017-11-24,11:00:00,0.85985,1.06515,1.0684,1.00075
2017-11-24,11:20:00,0.8456,0.98545,0.98575,0.92165
2017-11-24,11:40:00,0.93775,1.0645,1.0608,0.98855
2017-11-24,12:00:00,1.4189,1.5074,1.5213,1.41225
2017-11-24,12:20:00,0.70635,0.81035,0.82135,0.7683
2017-11-24,12:40:00,0.96515,1.0664,1.073,1.00135
2017-11-24,13:00:00,1.07,1.1558,1.1616,1.08395
2017-11-24,13:20:00,1.04365,1.09975,1.10655,1.02895
2017-11-24,13:40:00,0.6916,0.7515,0.7584,0.7061
2017-11-24,14:00:00,0.9301,0.964,0.96875,0.90135
2017-11-24,14:20:00,0.4119,0.46355,0.47245,0.43905
2017-11-24,14:40:00,0.33,0.3686,0.37045,0.3485
2017-11-24,15:00:00,0.33665,0.3671,0.36505,0.3456
2017-11-24,15:20:00,0.23175,0.26755,0.26715,0.25415
2017-11-24,15:40:00,0.22895,0.25775,0.25685,0.2442
2017-11-24,16:00:00,0.127,0.1372,0.1357,0.12965
2017-11-24,16:20:00,0.0725,0.082,0.08205,0.0801
2017-11-24,16:40:00,0.0064,0.0068,0.00625,0.0082
2017-11-24,17:00:00,5.0E-5,0,5.0E-5,0
2017-11-24,17:20:00,0,0,0,0
2017-11-24,17:40:00,0,0,0,0
2017-11-24,18:00:00,0,0,0,0
2017-11-24,18:20:00,0,0,0,0
2017-11-24,18:40:00,0,0,0,0
2017-11-24,19:00:00,0,0,0,0
2017-11-24,19:20:00,0,0,0,0
2017-11-24,19:40:00,0,0,0,0
2017-11-24,20:00:00,0,0,0,0
2017-11-24,20:20:00,0,0,0,0
2017-11-24,20:40:00,0,0,0,0
2017-11-24,21:00:00,0,0,0,0
2017-11-24,21:20:00,0,0,0,0
2017-11-24,21:40:00,0,0,0,0
2017-11-24,22:00:00,0,0,0,0
2017-11-24,22:20:00,0,0,0,0
2017-11-24,22:40:00,0,0,0,0
2017-11-24,23:00:00,0,0,0,0
2017-11-24,23:20:00,0,0,0,0
2017-11-24,23:40:00,0,0,0,0
