﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151449000312PV-5000W-V 1151449000312斗南慈愛,1151449000311PV-5000W-V 1151449000311斗南慈愛,1151449000306PV-5000W-V 1151449000306斗南慈愛,1151449000305PV-5000W-V 1151449000305斗南慈愛,1151449000304PV-5000W-V 1151449000304斗南慈愛,10D1450000467PV-5000W-V 10D1450000467斗南慈愛,11D1514000063PV-3000N-V 11D1514000063斗南慈愛,11D1514000067PV-3000N-V 11D1514000067斗南慈愛,11D1514000070PV-3000N-V 11D1514000070斗南慈愛,11D1514000061PV-3000N-V 11D1514000061 斗南慈愛,11D1514000076PV-3000N-V 11D1514000076斗南慈愛,11D1514000083PV-3000N-V 11D1514000083斗南慈愛,11D1514000086PV-3000N-V 11D1514000086斗南慈愛
2017-12-27,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,00:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,00:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,01:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,01:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,02:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,02:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,03:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,03:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,04:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,04:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,05:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,05:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,06:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,06:40:00,0.0128,0.01175,0.01045,0.0094,0.01235,0.00165,0.0036,0,0,0.0126,0.00295,0.0035,0.0029
2017-12-27,07:00:00,0.1278,0.1186,0.1119,0.11815,0.1246,0.1042,0.08555,0.07555,0.08375,0.0975,0.0837,0.0866,0.0826
2017-12-27,07:20:00,0.30345,0.27875,0.2747,0.28055,0.28965,0.2719,0.20415,0.1979,0.19645,0.21395,0.19915,0.202,0.1996
2017-12-27,07:40:00,0.4721,0.4349,0.43305,0.43765,0.38325,0.43515,0.31235,0.31615,0.3141,0.32385,0.30735,0.3108,0.3096
2017-12-27,08:00:00,0.67835,0.62585,0.629,0.62885,0.64805,0.64265,0.4573,0.4592,0.4571,0.46465,0.44695,0.4529,0.45245
2017-12-27,08:20:00,1.00605,0.913,0.91745,0.9262,0.9582,0.95345,0.68465,0.6779,0.6756,0.6832,0.65065,0.68045,0.6731
2017-12-27,08:40:00,1.26485,1.13945,1.14285,1.1623,1.1976,1.20605,0.8684,0.8571,0.85605,0.8664,0.83075,0.86325,0.8408
2017-12-27,09:00:00,1.45065,1.31435,1.31675,1.34625,1.3229,1.3794,1.0001,0.9874,0.9802,0.99975,0.95855,0.99745,0.98135
2017-12-27,09:20:00,1.7157,1.47865,1.5412,1.61705,1.5548,1.64775,1.182,1.17195,1.113,1.1815,1.04975,1.17525,1.1683
2017-12-27,09:40:00,1.9341,1.7469,1.7371,1.788,1.7486,1.84295,1.3215,1.3044,1.31795,1.31905,1.31425,1.308,1.3039
2017-12-27,10:00:00,1.97865,1.79565,1.7755,1.8244,1.80425,1.8848,1.35425,1.33015,1.3486,1.3472,1.3447,1.33415,1.33315
2017-12-27,10:20:00,2.25055,2.0302,2.00985,2.0602,2.07105,2.1304,1.54455,1.49525,1.53875,1.5388,1.53645,1.52725,1.52295
2017-12-27,10:40:00,2.2611,2.02065,2.0148,2.0652,2.02515,2.1414,1.54685,1.4868,1.54035,1.55195,1.5357,1.53885,1.52365
2017-12-27,11:00:00,2.2494,2.008,2.0173,2.07785,2.07935,2.13565,1.53565,1.4869,1.5267,1.53765,1.52515,1.5251,1.51195
2017-12-27,11:20:00,2.3877,2.14365,2.15265,2.22265,2.24315,2.26755,1.6219,1.5892,1.6151,1.6252,1.61525,1.6102,1.59685
2017-12-27,11:40:00,2.209,1.99305,2.00355,2.07255,2.0956,2.1035,1.5008,1.46755,1.49795,1.5147,1.49555,1.50535,1.47655
2017-12-27,12:00:00,2.33785,2.1606,2.1079,2.2042,2.10315,2.2338,1.54705,1.4454,1.5525,1.51875,1.5567,1.50105,1.5311
2017-12-27,12:20:00,2.41285,2.2315,2.2379,2.3276,2.28145,2.29275,1.65045,1.55765,1.64265,1.65075,1.63615,1.6394,1.6275
2017-12-27,12:40:00,2.0223,1.86685,1.8843,1.99105,1.99835,1.83185,1.44165,1.38365,1.42365,1.4599,1.41715,1.4487,1.41585
2017-12-27,13:00:00,2.2827,2.10355,2.10325,2.17755,2.2014,2.14435,1.52145,1.39105,1.5187,1.52215,1.5151,1.50895,1.5027
2017-12-27,13:20:00,2.4043,2.21625,2.21205,2.29315,2.31435,2.25355,1.59815,1.3564,1.60335,1.60285,1.6031,1.58425,1.5759
2017-12-27,13:40:00,1.9628,1.8028,1.884,1.96135,1.98795,1.95585,1.37055,1.07555,1.3759,1.3783,1.3056,1.35515,1.3577
2017-12-27,14:00:00,1.52115,1.41045,1.4146,1.47035,1.4892,1.4575,1.02815,0.79235,1.03365,1.0409,1.0295,1.02025,1.02075
2017-12-27,14:20:00,1.1414,1.05215,0.99285,1.08255,1.0417,1.01955,0.71415,0.59755,0.76325,0.7215,0.7611,0.73515,0.7511
2017-12-27,14:40:00,1.4256,1.34825,1.3171,1.3858,1.4081,1.3727,0.95015,0.749,0.9667,0.97095,0.9611,0.95015,0.95225
2017-12-27,15:00:00,0.773,0.73485,0.724,0.7549,0.77015,0.73915,0.49925,0.46495,0.5183,0.52315,0.5172,0.51015,0.5106
2017-12-27,15:20:00,0.7538,0.71515,0.6975,0.73925,0.7529,0.7237,0.4537,0.42665,0.51145,0.52055,0.5077,0.5052,0.5023
2017-12-27,15:40:00,0.72715,0.68335,0.6704,0.7005,0.6773,0.6503,0.441,0.4198,0.4839,0.4943,0.4737,0.47985,0.4758
2017-12-27,16:00:00,0.4497,0.4196,0.41095,0.4291,0.4402,0.41745,0.28325,0.27115,0.29775,0.3076,0.29335,0.2953,0.2912
2017-12-27,16:20:00,0.28425,0.26435,0.2525,0.2705,0.2794,0.2581,0.18135,0.176,0.18735,0.19945,0.18565,0.18765,0.1826
2017-12-27,16:40:00,0.1131,0.10755,0.09295,0.1042,0.11095,0.0911,0.0715,0.0736,0.0721,0.0872,0.07165,0.0761,0.0699
2017-12-27,17:00:00,0.0166,0.01785,0.00725,0.01455,0.0198,0.0033,0.0047,0.00875,0.0052,0.01655,0.0052,0.0077,0.0044
2017-12-27,17:20:00,0.014,0.0108,0.0132,0.0077,0.0123,0,0,0,0,0.00275,0,0,0
2017-12-27,17:40:00,0.0016,0.00135,0.0013,0.0007,0.00125,0,0,0,0,0.0006,0,0,0
2017-12-27,18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,18:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,19:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,19:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,20:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,20:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,21:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,21:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,22:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,22:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,23:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,23:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0
