﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1636000154PV-5000W-V 10D1636000154顏阿甚#1,10D1636000147PV-5000W-V 10D1636000147-六甲顏阿甚-2
2018-01-11,00:00:00,0,0
2018-01-11,00:20:00,0,0
2018-01-11,00:40:00,0,0
2018-01-11,01:00:00,0,0
2018-01-11,01:20:00,0,0
2018-01-11,01:40:00,0,0
2018-01-11,02:00:00,0,0
2018-01-11,02:20:00,0,0
2018-01-11,02:40:00,0,0
2018-01-11,03:00:00,0,0
2018-01-11,03:20:00,0,0
2018-01-11,03:40:00,0,0
2018-01-11,04:00:00,0,0
2018-01-11,04:20:00,0,0
2018-01-11,04:40:00,0,0
2018-01-11,05:00:00,0,0
2018-01-11,05:20:00,0,0
2018-01-11,05:40:00,0,0
2018-01-11,06:00:00,0,0
2018-01-11,06:20:00,0,0
2018-01-11,06:40:00,0,5.0E-5
2018-01-11,07:00:00,0.02285,0.0311
2018-01-11,07:20:00,0.1792,0.18645
2018-01-11,07:40:00,0.30905,0.31325
2018-01-11,08:00:00,0.5017,0.5005
2018-01-11,08:20:00,0.65395,0.6488
2018-01-11,08:40:00,1.2017,1.1822
2018-01-11,09:00:00,0.8917,0.8821
2018-01-11,09:20:00,1.18165,1.1645
2018-01-11,09:40:00,1.16115,1.1434
2018-01-11,10:00:00,1.0678,1.05295
2018-01-11,10:20:00,1.15075,1.1233
2018-01-11,10:40:00,1.05635,1.0379
2018-01-11,11:00:00,1.2854,1.2647
2018-01-11,11:20:00,1.11925,1.10315
2018-01-11,11:40:00,1.40105,1.3787
2018-01-11,12:00:00,1.58755,1.56155
2018-01-11,12:20:00,1.6393,1.6112
2018-01-11,12:40:00,1.9045,1.8643
2018-01-11,13:00:00,1.76135,1.7179
2018-01-11,13:20:00,1.7434,1.71345
2018-01-11,13:40:00,1.4629,1.439
2018-01-11,14:00:00,1.3113,1.2816
2018-01-11,14:20:00,1.2814,1.2581
2018-01-11,14:40:00,1.57735,1.54715
2018-01-11,15:00:00,1.1755,1.1578
2018-01-11,15:20:00,1.7529,1.71255
2018-01-11,15:40:00,1.17975,1.15225
2018-01-11,16:00:00,1.3016,1.2673
2018-01-11,16:20:00,0.46005,0.4541
2018-01-11,16:40:00,0.29585,0.29775
2018-01-11,17:00:00,0.07555,0.0868
2018-01-11,17:20:00,0.00255,0.0067
2018-01-11,17:40:00,0,0
2018-01-11,18:00:00,0,0
2018-01-11,18:20:00,0,0
2018-01-11,18:40:00,0,0
2018-01-11,19:00:00,0,0
2018-01-11,19:20:00,0,0
2018-01-11,19:40:00,0,0
2018-01-11,20:00:00,0,0
2018-01-11,20:20:00,0,0
2018-01-11,20:40:00,0,0
2018-01-11,21:00:00,0,0
2018-01-11,21:20:00,0,0
2018-01-11,21:40:00,0,0
2018-01-11,22:00:00,0,0
2018-01-11,22:20:00,0,0
2018-01-11,22:40:00,0,0
2018-01-11,23:00:00,0,0
2018-01-11,23:20:00,0,0
2018-01-11,23:40:00,0,0
