﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1438000371PV-5000W-V 10D1438000371,10D1438000369PV-5000W-V 10D1438000369,10D1438000372PV-5000W-V 10D1438000372,10D1438000373PV-5000W-V 10D1438000373,10D1438000374PV-5000W-V 10D1438000374
2018-01-14,00:00:00,0,0,0,0,0
2018-01-14,00:20:00,0,0,0,0,0
2018-01-14,00:40:00,0,0,0,0,0
2018-01-14,01:00:00,0,0,0,0,0
2018-01-14,01:20:00,0,0,0,0,0
2018-01-14,01:40:00,0,0,0,0,0
2018-01-14,02:00:00,0,0,0,0,0
2018-01-14,02:20:00,0,0,0,0,0
2018-01-14,02:40:00,0,0,0,0,0
2018-01-14,03:00:00,0,0,0,0,0
2018-01-14,03:20:00,0,0,0,0,0
2018-01-14,03:40:00,0,0,0,0,0
2018-01-14,04:00:00,0,0,0,0,0
2018-01-14,04:20:00,0,0,0,0,0
2018-01-14,04:40:00,0,0,0,0,0
2018-01-14,05:00:00,0,0,0,0,0
2018-01-14,05:20:00,0,0,0,0,0
2018-01-14,05:40:00,0,0,0,0,0
2018-01-14,06:00:00,0,0,0,0,0
2018-01-14,06:20:00,0,0,0,0,0
2018-01-14,06:40:00,0.02455,0.02125,0.0333,0.0312,0.03625
2018-01-14,07:00:00,0.16505,0.16595,0.1877,0.1774,0.1973
2018-01-14,07:20:00,0.4454,0.45175,0.47005,0.4438,0.49225
2018-01-14,07:40:00,0.8017,0.76175,0.7768,0.7363,0.8442
2018-01-14,08:00:00,1.1688,0.98715,1.0542,1.00985,1.1453
2018-01-14,08:20:00,1.54695,1.5114,1.52565,1.44615,1.408
2018-01-14,08:40:00,1.90165,1.8549,1.8339,1.68345,1.7295
2018-01-14,09:00:00,2.2206,2.16995,2.05495,2.0502,2.2356
2018-01-14,09:20:00,2.483,2.43305,2.422,2.26775,2.4952
2018-01-14,09:40:00,2.7281,2.6698,2.6571,2.5259,2.73705
2018-01-14,10:00:00,2.9602,2.9082,2.75065,2.61605,2.68695
2018-01-14,10:20:00,3.11985,3.0723,2.9073,2.6217,2.8457
2018-01-14,10:40:00,3.2768,3.2231,3.2072,2.90225,3.31335
2018-01-14,11:00:00,3.36215,3.29655,3.11275,2.9687,3.21345
2018-01-14,11:20:00,3.37965,3.3266,3.31085,3.15495,3.4151
2018-01-14,11:40:00,3.45385,3.23545,3.2158,3.0646,3.3212
2018-01-14,12:00:00,3.48545,3.44365,3.2463,3.0999,3.36485
2018-01-14,12:20:00,3.48825,3.44295,3.4211,3.10405,3.19145
2018-01-14,12:40:00,3.4485,3.40745,3.3886,3.2315,3.50385
2018-01-14,13:00:00,3.31155,3.27115,3.25135,3.1033,3.3638
2018-01-14,13:20:00,3.1841,3.1453,3.12075,2.9835,3.22905
2018-01-14,13:40:00,3.07315,3.046,3.01815,2.88765,2.9615
2018-01-14,14:00:00,2.8686,2.84465,2.8163,2.6991,2.90995
2018-01-14,14:20:00,2.6724,2.6448,2.59045,2.5116,2.5639
2018-01-14,14:40:00,2.42335,2.40035,2.3759,2.2784,2.4518
2018-01-14,15:00:00,2.12385,2.10245,2.0838,1.8989,2.04015
2018-01-14,15:20:00,1.8215,1.8015,1.7802,1.71415,1.83995
2018-01-14,15:40:00,1.47985,1.45955,1.44985,1.39335,1.4907
2018-01-14,16:00:00,1.0911,1.0753,1.00955,0.97125,1.03665
2018-01-14,16:20:00,0.72445,0.7131,0.71555,0.6902,0.6575
2018-01-14,16:40:00,0.38925,0.36045,0.3715,0.35875,0.4038
2018-01-14,17:00:00,0.13705,0.13185,0.15465,0.1485,0.15965
2018-01-14,17:20:00,0.021,0.0163,0.03455,0.0283,0.0309
2018-01-14,17:40:00,0.0109,0.00855,0.01745,0.0155,0.0143
2018-01-14,18:00:00,0,0,0,0,0
2018-01-14,18:20:00,0,0,0,0,0
2018-01-14,18:40:00,0,0,0,0,0
2018-01-14,19:00:00,0,0,0,0,0
2018-01-14,19:20:00,0,0,0,0,0
2018-01-14,19:40:00,0,0,0,0,0
2018-01-14,20:00:00,0,0,0,0,0
2018-01-14,20:20:00,0,0,0,0,0
2018-01-14,20:40:00,0,0,0,0,0
2018-01-14,21:00:00,0,0,0,0,0
2018-01-14,21:20:00,0,0,0,0,0
2018-01-14,21:40:00,0,0,0,0,0
2018-01-14,22:00:00,0,0,0,0,0
2018-01-14,22:20:00,0,0,0,0,0
2018-01-14,22:40:00,0,0,0,0,0
2018-01-14,23:00:00,0,0,0,0,0
2018-01-14,23:20:00,0,0,0,0,0
2018-01-14,23:40:00,0,0,0,0,0
