﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151453000334PV-5000W-V 1151453000334 許明和-01,1151453000338PV-5000W-V 1151453000338 許明和-02,1151453000339PV-5000W-V 1151453000339 許明和-03,1151453000333PV-5000W-V 1151453000333 許明和-04,10L1448000044PV-4000W-V 10L1448000044 許明和-05,10L1448000045PV-4000W-V 10L1448000045 許明和-06
2018-01-20,00:00:00,0,0,0,0,0,0
2018-01-20,00:20:00,0,0,0,0,0,0
2018-01-20,00:40:00,0,0,0,0,0,0
2018-01-20,01:00:00,0,0,0,0,0,0
2018-01-20,01:20:00,0,0,0,0,0,0
2018-01-20,01:40:00,0,0,0,0,0,0
2018-01-20,02:00:00,0,0,0,0,0,0
2018-01-20,02:20:00,0,0,0,0,0,0
2018-01-20,02:40:00,0,0,0,0,0,0
2018-01-20,03:00:00,0,0,0,0,0,0
2018-01-20,03:20:00,0,0,0,0,0,0
2018-01-20,03:40:00,0,0,0,0,0,0
2018-01-20,04:00:00,0,0,0,0,0,0
2018-01-20,04:20:00,0,0,0,0,0,0
2018-01-20,04:40:00,0,0,0,0,0,0
2018-01-20,05:00:00,0,0,0,0,0,0
2018-01-20,05:20:00,0,0,0,0,0,0
2018-01-20,05:40:00,0,0,0,0,0,0
2018-01-20,06:00:00,0,0,0,0,0,0
2018-01-20,06:20:00,0,0,0,0,0,0
2018-01-20,06:40:00,0.00245,0.00285,0.0005,0.0026,0.0034,0.0028
2018-01-20,07:00:00,0.03945,0.0451,0.0277,0.0417,0.0421,0.0382
2018-01-20,07:20:00,0.10535,0.10645,0.09395,0.1111,0.093,0.0867
2018-01-20,07:40:00,0.2128,0.21365,0.2011,0.2177,0.1777,0.1698
2018-01-20,08:00:00,0.41875,0.41885,0.4053,0.42275,0.3425,0.33235
2018-01-20,08:20:00,0.84835,0.8352,0.81,0.84,0.6937,0.6656
2018-01-20,08:40:00,1.25355,1.2221,1.18845,1.2255,1.02575,0.97625
2018-01-20,09:00:00,1.3933,1.36225,1.3391,1.3605,1.13535,1.0844
2018-01-20,09:20:00,1.6204,1.5859,1.563,1.5761,1.3219,1.26455
2018-01-20,09:40:00,1.5235,1.49795,1.47885,1.4372,1.24115,1.1887
2018-01-20,10:00:00,1.8449,1.81585,1.7902,1.78455,1.49375,1.43555
2018-01-20,10:20:00,1.8922,1.86095,1.83865,1.8537,1.5336,1.47345
2018-01-20,10:40:00,1.8951,1.8619,1.84425,1.86915,1.5479,1.4887
2018-01-20,11:00:00,1.8135,1.78405,1.76685,1.7834,1.4729,1.413
2018-01-20,11:20:00,1.63275,1.6062,1.58665,1.60245,1.32055,1.2682
2018-01-20,11:40:00,1.3973,1.38125,1.36355,1.381,1.1329,1.0887
2018-01-20,12:00:00,2.0516,2.01885,1.9966,2.011,1.6581,1.5955
2018-01-20,12:20:00,2.4324,2.3785,2.36165,2.385,1.98425,1.90365
2018-01-20,12:40:00,2.12865,2.0813,2.062,2.0798,1.72065,1.65245
2018-01-20,13:00:00,2.60835,2.5581,2.53705,2.5543,2.1138,2.0338
2018-01-20,13:20:00,2.1387,2.09515,2.08505,2.1111,1.7462,1.67825
2018-01-20,13:40:00,1.9601,1.92495,1.90645,1.9187,1.57505,1.5167
2018-01-20,14:00:00,1.77215,1.74485,1.7283,1.74735,1.434,1.3828
2018-01-20,14:20:00,1.2099,1.19575,1.18075,1.19955,0.98195,0.944
2018-01-20,14:40:00,1.42255,1.39705,1.3839,1.41475,1.1589,1.11535
2018-01-20,15:00:00,1.2974,1.2559,1.2359,1.29,1.05505,1.01505
2018-01-20,15:20:00,1.18175,1.1279,1.09415,1.1903,0.97265,0.93515
2018-01-20,15:40:00,0.9584,0.90755,0.88135,0.98135,0.793,0.76665
2018-01-20,16:00:00,0.7161,0.67515,0.65535,0.7429,0.6019,0.57835
2018-01-20,16:20:00,0.4771,0.45385,0.4404,0.4965,0.3993,0.386
2018-01-20,16:40:00,0.2912,0.2855,0.27365,0.3028,0.2432,0.235
2018-01-20,17:00:00,0.12325,0.12335,0.11185,0.13195,0.1073,0.1019
2018-01-20,17:20:00,0.0245,0.03005,0.01365,0.02855,0.0325,0.0285
2018-01-20,17:40:00,0.0098,0.0117,0.0035,0.0186,0.009,0.00565
2018-01-20,18:00:00,0.0013,0.00195,0.00075,0.00265,0,0
2018-01-20,18:20:00,0,0,0,0,0,0
2018-01-20,18:40:00,0,0,0,0,0,0
2018-01-20,19:00:00,0,0,0,0,0,0
2018-01-20,19:20:00,0,0,0,0,0,0
2018-01-20,19:40:00,0,0,0,0,0,0
2018-01-20,20:00:00,0,0,0,0,0,0
2018-01-20,20:20:00,0,0,0,0,0,0
2018-01-20,20:40:00,0,0,0,0,0,0
2018-01-20,21:00:00,0,0,0,0,0,0
2018-01-20,21:20:00,0,0,0,0,0,0
2018-01-20,21:40:00,0,0,0,0,0,0
2018-01-20,22:00:00,0,0,0,0,0,0
2018-01-20,22:20:00,0,0,0,0,0,0
2018-01-20,22:40:00,0,0,0,0,0,0
2018-01-20,23:00:00,0,0,0,0,0,0
2018-01-20,23:20:00,0,0,0,0,0,0
2018-01-20,23:40:00,0,0,0,0,0,0
