﻿﻿﻿﻿﻿﻿﻿inDate,inTime,6151434000113PV-15000T-U 6151434000113 仁德懷恩,6151434000114PV-15000T-U 6151434000114 仁德懷恩
2018-01-03,00:00:00,0,0
2018-01-03,00:20:00,0,0
2018-01-03,00:40:00,0,0
2018-01-03,01:00:00,0,0
2018-01-03,01:20:00,0,0
2018-01-03,01:40:00,0,0
2018-01-03,02:00:00,0,0
2018-01-03,02:20:00,0,0
2018-01-03,02:40:00,0,0
2018-01-03,03:00:00,0,0
2018-01-03,03:20:00,0,0
2018-01-03,03:40:00,0,0
2018-01-03,04:00:00,0,0
2018-01-03,04:20:00,0,0
2018-01-03,04:40:00,0,0
2018-01-03,05:00:00,0,0
2018-01-03,05:20:00,0,0
2018-01-03,05:40:00,0,0
2018-01-03,06:00:00,0,0
2018-01-03,06:20:00,0,0
2018-01-03,06:40:00,0,0
2018-01-03,07:00:00,0.0236,0.0233
2018-01-03,07:20:00,0.38475,0.3865
2018-01-03,07:40:00,0.6393,0.6527
2018-01-03,08:00:00,1.74285,1.7332
2018-01-03,08:20:00,2.9845,3.0074
2018-01-03,08:40:00,2.73975,2.744
2018-01-03,09:00:00,4.22065,4.23735
2018-01-03,09:20:00,4.96235,4.9954
2018-01-03,09:40:00,4.9419,4.9492
2018-01-03,10:00:00,5.3918,5.4468
2018-01-03,10:20:00,5.31735,5.32325
2018-01-03,10:40:00,6.64495,6.73995
2018-01-03,11:00:00,3.12465,3.1807
2018-01-03,11:20:00,6.68965,6.78795
2018-01-03,11:40:00,6.05095,6.03705
2018-01-03,12:00:00,6.4386,6.55405
2018-01-03,12:20:00,7.6847,7.71215
2018-01-03,12:40:00,7.13415,7.17905
2018-01-03,13:00:00,6.8354,6.89805
2018-01-03,13:20:00,6.66405,6.6985
2018-01-03,13:40:00,6.13545,6.1621
2018-01-03,14:00:00,5.6311,5.65785
2018-01-03,14:20:00,4.96725,5.038
2018-01-03,14:40:00,4.60815,4.6743
2018-01-03,15:00:00,3.86835,3.92915
2018-01-03,15:20:00,3.20285,3.3647
2018-01-03,15:40:00,2.03045,2.58175
2018-01-03,16:00:00,1.2802,1.5767
2018-01-03,16:20:00,0.87675,1.0178
2018-01-03,16:40:00,0.3387,0.4294
2018-01-03,17:00:00,0.06105,0.08365
2018-01-03,17:20:00,0,0
2018-01-03,17:40:00,0,0
2018-01-03,18:00:00,0,0
2018-01-03,18:20:00,0,0
2018-01-03,18:40:00,0,0
2018-01-03,19:00:00,0,0
2018-01-03,19:20:00,0,0
2018-01-03,19:40:00,0,0
2018-01-03,20:00:00,0,0
2018-01-03,20:20:00,0,0
2018-01-03,20:40:00,0,0
2018-01-03,21:00:00,0,0
2018-01-03,21:20:00,0,0
2018-01-03,21:40:00,0,0
2018-01-03,22:00:00,0,0
2018-01-03,22:20:00,0,0
2018-01-03,22:40:00,0,0
2018-01-03,23:00:00,0,0
2018-01-03,23:20:00,0,0
2018-01-03,23:40:00,0,0
