﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10R1634000104PV-3000N-V 10R1634000104台西海產路#1,10R1634000096PV-3000N-V 10R1634000096台西海產路#2,10R1634000099PV-3000N-V 10R1634000099台西海產路#3,10R1634000079PV-3000N-V 10R1634000079台西海產路#4,10R1631000069PV-3000N-V 10R1631000069台西海產路#5,10R1634000081PV-3000N-V 10R1634000081台西海產路#6
2018-02-11,00:00:00,0,0,0,0,0,0
2018-02-11,00:20:00,0,0,0,0,0,0
2018-02-11,00:40:00,0,0,0,0,0,0
2018-02-11,01:00:00,0,0,0,0,0,0
2018-02-11,01:20:00,0,0,0,0,0,0
2018-02-11,01:40:00,0,0,0,0,0,0
2018-02-11,02:00:00,0,0,0,0,0,0
2018-02-11,02:20:00,0,0,0,0,0,0
2018-02-11,02:40:00,0,0,0,0,0,0
2018-02-11,03:00:00,0,0,0,0,0,0
2018-02-11,03:20:00,0,0,0,0,0,0
2018-02-11,03:40:00,0,0,0,0,0,0
2018-02-11,04:00:00,0,0,0,0,0,0
2018-02-11,04:20:00,0,0,0,0,0,0
2018-02-11,04:40:00,0,0,0,0,0,0
2018-02-11,05:00:00,0,0,0,0,0,0
2018-02-11,05:20:00,0,0,0,0,0,0
2018-02-11,05:40:00,0,0,0,0,0,0
2018-02-11,06:00:00,0,0,0,0,0,0
2018-02-11,06:20:00,0,0,0,0,0,0
2018-02-11,06:40:00,5.0E-5,0.00045,0.0047,0.0032,0,0.00245
2018-02-11,07:00:00,0.01455,0.01255,0.02365,0.02,0.01525,0.0171
2018-02-11,07:20:00,0.04425,0.0399,0.05415,0.0499,0.04235,0.042
2018-02-11,07:40:00,0.14695,0.13515,0.16385,0.1509,0.1338,0.12975
2018-02-11,08:00:00,0.20755,0.1905,0.2264,0.2104,0.1838,0.1754
2018-02-11,08:20:00,0.59445,0.5468,0.64475,0.59305,0.5387,0.5261
2018-02-11,08:40:00,1.08635,0.9969,1.1705,1.07375,0.98355,0.97415
2018-02-11,09:00:00,1.404,1.28855,1.5156,1.38605,1.27285,1.2711
2018-02-11,09:20:00,0.9671,0.89135,1.0385,0.96215,0.86505,0.84265
2018-02-11,09:40:00,0.70185,0.64315,0.73905,0.69215,0.6083,0.58035
2018-02-11,10:00:00,0.92365,0.84665,0.9862,0.90995,0.8208,0.79355
2018-02-11,10:20:00,1.1212,1.02755,1.19725,1.1053,0.99755,0.96655
2018-02-11,10:40:00,1.69045,1.55085,1.8179,1.66725,1.5294,1.51375
2018-02-11,11:00:00,1.86305,1.71235,2.0064,1.8346,1.68535,1.68205
2018-02-11,11:20:00,2.22125,2.04035,2.39105,2.1942,2.0228,2.0219
2018-02-11,11:40:00,2.30865,2.12645,2.4866,2.27725,2.0965,2.09495
2018-02-11,12:00:00,2.3131,2.1296,2.4824,2.2819,2.10495,2.1064
2018-02-11,12:20:00,2.27415,2.10315,2.4419,2.2489,2.07995,2.08185
2018-02-11,12:40:00,2.2858,2.1033,2.45725,2.2508,2.07395,2.0778
2018-02-11,13:00:00,2.19,2.01975,2.35805,2.16085,1.99405,1.99175
2018-02-11,13:20:00,2.1449,1.96965,2.31125,2.11335,1.94115,1.94525
2018-02-11,13:40:00,2.0958,1.92865,2.25545,2.06275,1.9016,1.90365
2018-02-11,14:00:00,1.9637,1.8067,2.11035,1.934,1.7821,1.7894
2018-02-11,14:20:00,1.8782,1.72875,2.01915,1.85325,1.7047,1.71435
2018-02-11,14:40:00,1.71165,1.5729,1.84205,1.6874,1.55,1.5621
2018-02-11,15:00:00,1.3925,1.27995,1.4988,1.376,1.26025,1.27085
2018-02-11,15:20:00,1.33115,1.223,1.4322,1.3158,1.20475,1.21945
2018-02-11,15:40:00,0.9158,0.8399,0.98425,0.90315,0.82495,0.8367
2018-02-11,16:00:00,0.5677,0.5196,0.6136,0.56365,0.51025,0.51995
2018-02-11,16:20:00,0.401,0.3677,0.43425,0.39815,0.36225,0.3693
2018-02-11,16:40:00,0.27665,0.25375,0.30335,0.27725,0.25085,0.2567
2018-02-11,17:00:00,0.124,0.11315,0.14125,0.12805,0.11455,0.1162
2018-02-11,17:20:00,0.036,0.03075,0.0468,0.0419,0.03605,0.03745
2018-02-11,17:40:00,0.00035,0.0002,0.00195,0.00095,0.0004,0.0009
2018-02-11,18:00:00,0,0,0,0,0,0
2018-02-11,18:20:00,0,0,0,0,0,0
2018-02-11,18:40:00,0,0,0,0,0,0
2018-02-11,19:00:00,0,0,0,0,0,0
2018-02-11,19:20:00,0,0,0,0,0,0
2018-02-11,19:40:00,0,0,0,0,0,0
2018-02-11,20:00:00,0,0,0,0,0,0
2018-02-11,20:20:00,0,0,0,0,0,0
2018-02-11,20:40:00,0,0,0,0,0,0
2018-02-11,21:00:00,0,0,0,0,0,0
2018-02-11,21:20:00,0,0,0,0,0,0
2018-02-11,21:40:00,0,0,0,0,0,0
2018-02-11,22:00:00,0,0,0,0,0,0
2018-02-11,22:20:00,0,0,0,0,0,0
2018-02-11,22:40:00,0,0,0,0,0,0
2018-02-11,23:00:00,0,0,0,0,0,0
2018-02-11,23:20:00,0,0,0,0,0,0
2018-02-11,23:40:00,0,0,0,0,0,0
