﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10D1638000178PV-5000W-V 10D1638000178胡聰明#1,10D1636000153PV-5000W-V 10D1636000153胡聰明#2
2018-02-22,00:00:00,0,0
2018-02-22,00:20:00,0,0
2018-02-22,00:40:00,0,0
2018-02-22,01:00:00,0,0
2018-02-22,01:20:00,0,0
2018-02-22,01:40:00,0,0
2018-02-22,02:00:00,0,0
2018-02-22,02:20:00,0,0
2018-02-22,02:40:00,0,0
2018-02-22,03:00:00,0,0
2018-02-22,03:20:00,0,0
2018-02-22,03:40:00,0,0
2018-02-22,04:00:00,0,0
2018-02-22,04:20:00,0,0
2018-02-22,04:40:00,0,0
2018-02-22,05:00:00,0,0
2018-02-22,05:20:00,0,0
2018-02-22,05:40:00,0,0
2018-02-22,06:00:00,0,0
2018-02-22,06:20:00,0.0001,0.0006
2018-02-22,06:40:00,0.02155,0.02255
2018-02-22,07:00:00,0.1573,0.1661
2018-02-22,07:20:00,0.28875,0.2983
2018-02-22,07:40:00,0.4567,0.46935
2018-02-22,08:00:00,0.42355,0.4343
2018-02-22,08:20:00,0.4912,0.50205
2018-02-22,08:40:00,0.6292,0.64185
2018-02-22,09:00:00,0.9744,0.99355
2018-02-22,09:20:00,0.6664,0.68245
2018-02-22,09:40:00,0.45495,0.46525
2018-02-22,10:00:00,0.92545,0.9383
2018-02-22,10:20:00,2.079,2.104
2018-02-22,10:40:00,1.64875,1.6686
2018-02-22,11:00:00,1.4846,1.5018
2018-02-22,11:20:00,2.0556,2.08455
2018-02-22,11:40:00,0.8966,0.9178
2018-02-22,12:00:00,0.51725,0.52755
2018-02-22,12:20:00,0.865,0.8799
2018-02-22,12:40:00,0.42855,0.43765
2018-02-22,13:00:00,0.5352,0.54625
2018-02-22,13:20:00,0.45915,0.47125
2018-02-22,13:40:00,0.2476,0.25685
2018-02-22,14:00:00,0.14645,0.15495
2018-02-22,14:20:00,0.30465,0.31475
2018-02-22,14:40:00,0.2703,0.28045
2018-02-22,15:00:00,0.33895,0.34935
2018-02-22,15:20:00,0.56155,0.5755
2018-02-22,15:40:00,0.285,0.2959
2018-02-22,16:00:00,0.13695,0.1461
2018-02-22,16:20:00,0.0699,0.0765
2018-02-22,16:40:00,0.0552,0.0554
2018-02-22,17:00:00,0.0105,0.00875
2018-02-22,17:20:00,0,0
2018-02-22,17:40:00,0,0
2018-02-22,18:00:00,0,0
2018-02-22,18:20:00,0,0
2018-02-22,18:40:00,0,0
2018-02-22,19:00:00,0,0
2018-02-22,19:20:00,0,0
2018-02-22,19:40:00,0,0
2018-02-22,20:00:00,0,0
2018-02-22,20:20:00,0,0
2018-02-22,20:40:00,0,0
2018-02-22,21:00:00,0,0
2018-02-22,21:20:00,0,0
2018-02-22,21:40:00,0,0
2018-02-22,22:00:00,0,0
2018-02-22,22:20:00,0,0
2018-02-22,22:40:00,0,0
2018-02-22,23:00:00,0,0
2018-02-22,23:20:00,0,0
2018-02-22,23:40:00,0,0
