﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10L1442000033PV-4000W-V 10L1442000033內門蔡宗憲,10D1438000336PV-5000W-V 10D1438000336 內門蔡宗憲,10D1431000287PV-5000W-V 10D1431000287內門蔡宗憲
2018-02-05,00:00:00,0,0,0
2018-02-05,00:20:00,0,0,0
2018-02-05,00:40:00,0,0,0
2018-02-05,01:00:00,0,0,0
2018-02-05,01:20:00,0,0,0
2018-02-05,01:40:00,0,0,0
2018-02-05,02:00:00,0,0,0
2018-02-05,02:20:00,0,0,0
2018-02-05,02:40:00,0,0,0
2018-02-05,03:00:00,0,0,0
2018-02-05,03:20:00,0,0,0
2018-02-05,03:40:00,0,0,0
2018-02-05,04:00:00,0,0,0
2018-02-05,04:20:00,0,0,0
2018-02-05,04:40:00,0,0,0
2018-02-05,05:00:00,0,0,0
2018-02-05,05:20:00,0,0,0
2018-02-05,05:40:00,0,0,0
2018-02-05,06:00:00,0,0,0
2018-02-05,06:20:00,0,0,0
2018-02-05,06:40:00,0.00255,0.00615,0.0052
2018-02-05,07:00:00,0.01925,0.02895,0.02275
2018-02-05,07:20:00,0.0604,0.06485,0.05585
2018-02-05,07:40:00,0.08225,0.08215,0.07015
2018-02-05,08:00:00,0.11755,0.13045,0.12785
2018-02-05,08:20:00,0.17525,0.1792,0.19075
2018-02-05,08:40:00,0.219,0.23165,0.2487
2018-02-05,09:00:00,0.326,0.3692,0.3875
2018-02-05,09:20:00,0.4236,0.4912,0.5146
2018-02-05,09:40:00,0.71255,0.77735,0.84065
2018-02-05,10:00:00,1.0403,0.9969,1.1149
2018-02-05,10:20:00,0.77585,0.7297,0.82255
2018-02-05,10:40:00,0.70855,0.7472,0.81295
2018-02-05,11:00:00,0.6414,0.62835,0.6917
2018-02-05,11:20:00,0.74075,0.83905,0.88915
2018-02-05,11:40:00,0.92575,0.87505,0.99655
2018-02-05,12:00:00,0.68525,0.6506,0.73145
2018-02-05,12:20:00,0.60845,0.6012,0.66225
2018-02-05,12:40:00,0.5256,0.5277,0.5793
2018-02-05,13:00:00,0.4909,0.46045,0.5202
2018-02-05,13:20:00,0.39175,0.40035,0.4312
2018-02-05,13:40:00,0.3949,0.3723,0.415
2018-02-05,14:00:00,0.3738,0.398,0.42405
2018-02-05,14:20:00,0.48195,0.44835,0.50645
2018-02-05,14:40:00,0.398,0.4499,0.47715
2018-02-05,15:00:00,0.4613,0.42175,0.47135
2018-02-05,15:20:00,0.3261,0.30235,0.3426
2018-02-05,15:40:00,0.20995,0.1671,0.1913
2018-02-05,16:00:00,0.1099,0.09435,0.09085
2018-02-05,16:20:00,0.06595,0.0576,0.05265
2018-02-05,16:40:00,0.04235,0.0348,0.0323
2018-02-05,17:00:00,0.0235,0.0165,0.01275
2018-02-05,17:20:00,0.01005,0.0111,0.0106
2018-02-05,17:40:00,0.00195,0.0111,0.0106
2018-02-05,18:00:00,0,0.0004,0.00065
2018-02-05,18:20:00,0,0,0
2018-02-05,18:40:00,0,0,0
2018-02-05,19:00:00,0,0,0
2018-02-05,19:20:00,0,0,0
2018-02-05,19:40:00,0,0,0
2018-02-05,20:00:00,0,0,0
2018-02-05,20:20:00,0,0,0
2018-02-05,20:40:00,0,0,0
2018-02-05,21:00:00,0,0,0
2018-02-05,21:20:00,0,0,0
2018-02-05,21:40:00,0,0,0
2018-02-05,22:00:00,0,0,0
2018-02-05,22:20:00,0,0,0
2018-02-05,22:40:00,0,0,0
2018-02-05,23:00:00,0,0,0
2018-02-05,23:20:00,0,0,0
2018-02-05,23:40:00,0,0,0
