﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1449000255PV-3000N-V 10N1449000255-朴子黃任逢,10N1449000256PV-3000N-V 10N1449000256-朴子黃任逢,10N1449000257PV-3000N-V 10N1449000257-朴子黃任逢,10N1449000258PV-3000N-V 10N1449000258-朴子黃任逢,10N1449000259PV-3000N-V 10N1449000259-朴子黃任逢,10N1449000260PV-3000N-V 10N1449000260-朴子黃任逢,10N1449000262PV-3000N-V 10N1449000262-朴子黃任逢,10N1449000263PV-3000N-V 10N1449000263-朴子黃任逢,10N1449000267PV-3000N-V 10N1449000267-朴子黃任逢
2018-03-20,00:00:00,0,0,0,0,0,0,0,0,0
2018-03-20,00:20:00,0,0,0,0,0,0,0,0,0
2018-03-20,00:40:00,0,0,0,0,0,0,0,0,0
2018-03-20,01:00:00,0,0,0,0,0,0,0,0,0
2018-03-20,01:20:00,0,0,0,0,0,0,0,0,0
2018-03-20,01:40:00,0,0,0,0,0,0,0,0,0
2018-03-20,02:00:00,0,0,0,0,0,0,0,0,0
2018-03-20,02:20:00,0,0,0,0,0,0,0,0,0
2018-03-20,02:40:00,0,0,0,0,0,0,0,0,0
2018-03-20,03:00:00,0,0,0,0,0,0,0,0,0
2018-03-20,03:20:00,0,0,0,0,0,0,0,0,0
2018-03-20,03:40:00,0,0,0,0,0,0,0,0,0
2018-03-20,04:00:00,0,0,0,0,0,0,0,0,0
2018-03-20,04:20:00,0,0,0,0,0,0,0,0,0
2018-03-20,04:40:00,0,0,0,0,0,0,0,0,0
2018-03-20,05:00:00,0,0,0,0,0,0,0,0,0
2018-03-20,05:20:00,0,0,0,0,0,0,0,0,0
2018-03-20,05:40:00,0,0,0,0,0,0,0,0,0
2018-03-20,06:00:00,0,0,0,0,0,0,0,0,0
2018-03-20,06:20:00,0,0,0,0,0,0,0,0,0
2018-03-20,06:40:00,0,0,0,0,0,0,0,0,0
2018-03-20,07:00:00,0,0,0,0,0,0,0,0,0
2018-03-20,07:20:00,0,0,0,0,0,0,0,0,0
2018-03-20,07:40:00,0.0343,0.0337,0.0307,0.03225,0.027,0.0297,0.02825,0.0333,0.02625
2018-03-20,08:00:00,0.36045,0.34645,0.3384,0.36835,0.3486,0.35945,0.36865,0.3999,0.34375
2018-03-20,08:20:00,0.60505,0.57225,0.65315,0.66875,0.5788,0.65745,0.6092,0.7254,0.573
2018-03-20,08:40:00,0.4763,0.4518,0.49455,0.50895,0.45255,0.49435,0.4758,0.54715,0.4514
2018-03-20,09:00:00,0.8729,0.81785,1.04945,1.0685,0.8641,1.06485,0.8662,1.17435,0.8565
2018-03-20,09:20:00,1.64375,1.5562,1.88795,1.92585,1.57635,1.90635,1.6489,2.08245,1.56435
2018-03-20,09:40:00,1.79495,1.7119,1.99865,2.03595,1.72845,2.0205,1.80505,2.2063,1.7172
2018-03-20,10:00:00,1.89035,1.81235,2.04885,2.0841,1.83065,2.0681,1.9016,2.25755,1.8132
2018-03-20,10:20:00,1.9062,1.8504,1.95575,2.01455,1.8189,1.99385,1.9113,2.14765,1.8399
