﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1525000202沙田路-02_加Cap 開AFD
2018-04-30,00:00:00,0
2018-04-30,00:20:00,0
2018-04-30,00:40:00,0
2018-04-30,01:00:00,0
2018-04-30,01:20:00,0
2018-04-30,01:40:00,0
2018-04-30,02:00:00,0
2018-04-30,02:20:00,0
2018-04-30,02:40:00,0
2018-04-30,03:00:00,0
2018-04-30,03:20:00,0
2018-04-30,03:40:00,0
2018-04-30,04:00:00,0
2018-04-30,04:20:00,0
2018-04-30,04:40:00,0
2018-04-30,05:00:00,0
2018-04-30,05:20:00,0
2018-04-30,05:40:00,0
2018-04-30,06:00:00,0
2018-04-30,06:20:00,0.10775
2018-04-30,06:40:00,0.422
2018-04-30,07:00:00,0.4352
2018-04-30,07:20:00,1.079
2018-04-30,07:40:00,1.2652
2018-04-30,08:00:00,1.19215
2018-04-30,08:20:00,1.922
2018-04-30,08:40:00,2.65955
2018-04-30,09:00:00,2.74055
2018-04-30,09:20:00,3.10515
2018-04-30,09:40:00,3.509
2018-04-30,10:00:00,3.53435
2018-04-30,10:20:00,3.7197
2018-04-30,10:40:00,2.06205
2018-04-30,11:00:00,3.03755
2018-04-30,11:20:00,3.77475
2018-04-30,11:40:00,3.1608
2018-04-30,12:00:00,3.1514
2018-04-30,12:20:00,4.11715
2018-04-30,12:40:00,4.0092
2018-04-30,13:00:00,2.99755
2018-04-30,13:20:00,3.32065
2018-04-30,13:40:00,3.5884
2018-04-30,14:00:00,3.5326
2018-04-30,14:20:00,2.9928
2018-04-30,14:40:00,1.63805
2018-04-30,15:00:00,2.4139
2018-04-30,15:20:00,2.36745
2018-04-30,15:40:00,1.7826
2018-04-30,16:00:00,0.96135
2018-04-30,16:20:00,1.16485
2018-04-30,16:40:00,0.8049
2018-04-30,17:00:00,0.39745
2018-04-30,17:20:00,0.4311
2018-04-30,17:40:00,0.27535
2018-04-30,18:00:00,0.03685
2018-04-30,18:20:00,0
2018-04-30,18:40:00,0
2018-04-30,19:00:00,0
2018-04-30,19:20:00,0
2018-04-30,19:40:00,0
2018-04-30,20:00:00,0
2018-04-30,20:20:00,0
2018-04-30,20:40:00,0
2018-04-30,21:00:00,0
2018-04-30,21:20:00,0
2018-04-30,21:40:00,0
2018-04-30,22:00:00,0
2018-04-30,22:20:00,0
2018-04-30,22:40:00,0
2018-04-30,23:00:00,0
2018-04-30,23:20:00,0
2018-04-30,23:40:00,0
