﻿﻿﻿﻿﻿﻿﻿inDate,inTime,61C164300023061C1643000230建泰二期,61C1643000218U 61C1643000218建泰二期,61C1643000224U 61C1643000224建泰二期,61C1643000225U 61C1643000225建泰二期,61C1643000226U 61C1643000226建泰二期,61C1643000227U 61C1643000227建泰二期,61C1643000229U 61C1643000229建泰二期
2018-03-28,00:00:00,0,0,0,0,0,0,0
2018-03-28,00:20:00,0,0,0,0,0,0,0
2018-03-28,00:40:00,0,0,0,0,0,0,0
2018-03-28,01:00:00,0,0,0,0,0,0,0
2018-03-28,01:20:00,0,0,0,0,0,0,0
2018-03-28,01:40:00,0,0,0,0,0,0,0
2018-03-28,02:00:00,0,0,0,0,0,0,0
2018-03-28,02:20:00,0,0,0,0,0,0,0
2018-03-28,02:40:00,0,0,0,0,0,0,0
2018-03-28,03:00:00,0,0,0,0,0,0,0
2018-03-28,03:20:00,0,0,0,0,0,0,0
2018-03-28,03:40:00,0,0,0,0,0,0,0
2018-03-28,04:00:00,0,0,0,0,0,0,0
2018-03-28,04:20:00,0,0,0,0,0,0,0
2018-03-28,04:40:00,0,0,0,0,0,0,0
2018-03-28,05:00:00,0,0,0,0,0,0,0
2018-03-28,05:20:00,0,0,0,0,0,0,0
2018-03-28,05:40:00,0,0,0,0,0,0,0
2018-03-28,06:00:00,0.2012,0.17905,0.13755,0.20665,0.20115,0.20205,0.20495
2018-03-28,06:20:00,0.64665,0.55645,0.61625,0.65025,0.6551,0.63695,0.6511
2018-03-28,06:40:00,1.2607,1.19305,1.20795,1.2709,1.2656,1.2326,1.2517
2018-03-28,07:00:00,1.80145,1.716,1.7378,1.83345,1.8107,1.7598,1.7915
2018-03-28,07:20:00,2.6534,2.53605,2.56985,2.65175,2.6286,2.59265,2.6077
2018-03-28,07:40:00,3.4247,3.2727,3.31375,3.3511,3.3606,3.3384,3.33415
2018-03-28,08:00:00,4.1901,4.00675,4.0647,4.07855,3.88655,4.0877,4.06075
2018-03-28,08:20:00,5.0017,4.77865,4.8447,4.8427,4.8832,4.8699,4.82885
2018-03-28,08:40:00,5.6763,5.42755,5.48875,5.4696,5.5163,5.5143,5.4685
2018-03-28,09:00:00,6.3392,6.05685,6.13175,6.08815,6.15805,6.16285,6.1011
2018-03-28,09:20:00,6.5111,6.20885,6.2947,6.2745,6.3515,6.36055,6.29365
2018-03-28,09:40:00,5.8794,5.50445,5.7413,5.7121,5.8013,5.75725,5.65195
2018-03-28,10:00:00,6.0246,5.79145,5.79955,5.77775,5.839,5.82935,5.8511
2018-03-28,10:20:00,6.0024,5.67175,5.4173,5.7174,5.73805,5.7178,5.7222
2018-03-28,10:40:00,7.602,7.26705,7.41775,7.44255,7.48335,7.47765,7.4777
2018-03-28,11:00:00,6.3039,6.08975,6.1382,6.11555,6.17005,6.18355,6.188
2018-03-28,11:20:00,6.8218,6.5722,6.54665,6.4464,6.60365,6.60995,6.6251
2018-03-28,11:40:00,7.7129,7.60385,7.4139,7.4241,7.3729,7.54755,7.5902
2018-03-28,12:00:00,7.136,6.8017,6.86305,6.9066,6.94375,6.9406,6.91695
2018-03-28,12:20:00,7.54695,7.31085,7.3237,7.30825,7.39235,7.3405,7.4124
2018-03-28,12:40:00,7.35445,7.1247,7.2558,7.20475,7.2696,7.2779,7.2184
2018-03-28,13:00:00,7.26185,7.0031,6.9479,6.89485,7.0208,7.04225,7.0455
