﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1151416000002PV-5000W-V 1151416000002國姓林月敏一場9.12kW,1151416000003PV-5000W-V 1151416000003國姓林月敏一場
2018-03-06,00:00:00,0,0
2018-03-06,00:20:00,0,0
2018-03-06,00:40:00,0,0
2018-03-06,01:00:00,0,0
2018-03-06,01:20:00,0,0
2018-03-06,01:40:00,0,0
2018-03-06,02:00:00,0,0
2018-03-06,02:20:00,0,0
2018-03-06,02:40:00,0,0
2018-03-06,03:00:00,0,0
2018-03-06,03:20:00,0,0
2018-03-06,03:40:00,0,0
2018-03-06,04:00:00,0,0
2018-03-06,04:20:00,0,0
2018-03-06,04:40:00,0,0
2018-03-06,05:00:00,0,0
2018-03-06,05:20:00,0,0
2018-03-06,05:40:00,0,0
2018-03-06,06:00:00,0,0
2018-03-06,06:20:00,0.01325,0.01385
2018-03-06,06:40:00,0.08815,0.088
2018-03-06,07:00:00,0.2227,0.22565
2018-03-06,07:20:00,0.4188,0.3948
2018-03-06,07:40:00,0.69365,0.6649
2018-03-06,08:00:00,1.0193,0.99515
2018-03-06,08:20:00,1.34645,1.3617
2018-03-06,08:40:00,1.2917,1.3232
2018-03-06,09:00:00,1.04715,1.0929
2018-03-06,09:20:00,1.39095,1.4472
2018-03-06,09:40:00,1.71765,1.79745
2018-03-06,10:00:00,1.6947,1.78635
2018-03-06,10:20:00,2.3381,2.46825
2018-03-06,10:40:00,2.46725,2.63455
2018-03-06,11:00:00,2.1732,2.3352
2018-03-06,11:20:00,2.4842,2.7161
2018-03-06,11:40:00,1.42295,1.56585
2018-03-06,12:00:00,1.25475,1.39555
2018-03-06,12:20:00,1.2186,1.3727
2018-03-06,12:40:00,1.70055,1.9031
2018-03-06,13:00:00,1.9329,2.1942
2018-03-06,13:20:00,2.243,2.5998
2018-03-06,13:40:00,0.9095,1.0294
2018-03-06,14:00:00,0.75365,0.8513
2018-03-06,14:20:00,0.99375,1.11655
2018-03-06,14:40:00,0.7846,0.8969
2018-03-06,15:00:00,0.74685,0.86575
2018-03-06,15:20:00,0.69325,0.7998
2018-03-06,15:40:00,1.2222,1.47605
2018-03-06,16:00:00,0.92875,1.1182
2018-03-06,16:20:00,0.5174,0.63125
2018-03-06,16:40:00,0.3883,0.4788
2018-03-06,17:00:00,0.2544,0.3104
2018-03-06,17:20:00,0.137,0.16095
2018-03-06,17:40:00,0.04575,0.04875
2018-03-06,18:00:00,0.016,0.0091
2018-03-06,18:20:00,0.00185,0.0012
2018-03-06,18:40:00,0,0
2018-03-06,19:00:00,0,0
2018-03-06,19:20:00,0,0
2018-03-06,19:40:00,0,0
2018-03-06,20:00:00,0,0
2018-03-06,20:20:00,0,0
2018-03-06,20:40:00,0,0
2018-03-06,21:00:00,0,0
2018-03-06,21:20:00,0,0
2018-03-06,21:40:00,0,0
2018-03-06,22:00:00,0,0
2018-03-06,22:20:00,0,0
2018-03-06,22:40:00,0,0
2018-03-06,23:00:00,0,0
2018-03-06,23:20:00,0,0
2018-03-06,23:40:00,0,0
